"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2.9,26,5,"21005Acatzingo",18.994,-97.806
2017-01-02,0,3.6,26,5,"21005Acatzingo",18.994,-97.806
2017-01-03,0,3.2,27.5,6,"21005Acatzingo",18.994,-97.806
2017-01-04,0,5.3,28,3,"21005Acatzingo",18.994,-97.806
2017-01-05,0,4.1,26,2,"21005Acatzingo",18.994,-97.806
2017-01-06,0,4.2,27.5,3,"21005Acatzingo",18.994,-97.806
2017-01-07,0,3.4,19,6.5,"21005Acatzingo",18.994,-97.806
2017-01-08,0,0.8,17,4,"21005Acatzingo",18.994,-97.806
2017-01-09,0,3.4,19.5,1,"21005Acatzingo",18.994,-97.806
2017-01-10,0,4.8,22,-0.5,"21005Acatzingo",18.994,-97.806
2017-01-11,0,3.6,25,2,"21005Acatzingo",18.994,-97.806
2017-01-12,0,5.2,25,1,"21005Acatzingo",18.994,-97.806
2017-01-13,0,3.4,26,2,"21005Acatzingo",18.994,-97.806
2017-01-14,0,4.2,26,4,"21005Acatzingo",18.994,-97.806
2017-01-15,0,4.3,25,6,"21005Acatzingo",18.994,-97.806
2017-01-16,0,4.3,27,7,"21005Acatzingo",18.994,-97.806
2017-01-17,0,4.8,26,5,"21005Acatzingo",18.994,-97.806
2017-01-18,0,3.4,25,4,"21005Acatzingo",18.994,-97.806
2017-01-19,0,5.3,23,0.5,"21005Acatzingo",18.994,-97.806
2017-01-20,0,3.8,22,5,"21005Acatzingo",18.994,-97.806
2017-01-21,0,5.4,23,4,"21005Acatzingo",18.994,-97.806
2017-01-22,0,5.3,22,3.5,"21005Acatzingo",18.994,-97.806
2017-01-23,0,4.2,26,3.5,"21005Acatzingo",18.994,-97.806
2017-01-24,0,4.8,24,4,"21005Acatzingo",18.994,-97.806
2017-01-25,0,4.3,26,0.5,"21005Acatzingo",18.994,-97.806
2017-01-26,0,5.8,27.5,2,"21005Acatzingo",18.994,-97.806
2017-01-27,0,4.6,24,3,"21005Acatzingo",18.994,-97.806
2017-01-28,0,4.2,26,1,"21005Acatzingo",18.994,-97.806
2017-01-29,0,4.8,26,2,"21005Acatzingo",18.994,-97.806
2017-01-30,0,4.2,25,1.5,"21005Acatzingo",18.994,-97.806
2017-01-31,0,5.6,25,4,"21005Acatzingo",18.994,-97.806
2017-02-01,0,4.1,25,4,"21005Acatzingo",18.994,-97.806
2017-02-02,0,4.1,23,6,"21005Acatzingo",18.994,-97.806
2017-02-03,0,3.4,24,5,"21005Acatzingo",18.994,-97.806
2017-02-04,0,0.3,22.5,2.5,"21005Acatzingo",18.994,-97.806
2017-02-05,0,4.2,24,4,"21005Acatzingo",18.994,-97.806
2017-02-06,0,4.9,25.5,5,"21005Acatzingo",18.994,-97.806
2017-02-07,0,5.7,28,3,"21005Acatzingo",18.994,-97.806
2017-02-08,0,4.2,28.5,6.5,"21005Acatzingo",18.994,-97.806
2017-02-09,0,4.2,27,8.5,"21005Acatzingo",18.994,-97.806
2017-02-10,0,3.9,20,6.5,"21005Acatzingo",18.994,-97.806
2017-02-11,0,4.1,26,2.5,"21005Acatzingo",18.994,-97.806
2017-02-12,0,3.7,26,4,"21005Acatzingo",18.994,-97.806
2017-02-13,1.5,5.8,26,5,"21005Acatzingo",18.994,-97.806
2017-02-14,0,2.9,25,8,"21005Acatzingo",18.994,-97.806
2017-02-15,0,4.4,26,5,"21005Acatzingo",18.994,-97.806
2017-02-16,0,3.6,26,4,"21005Acatzingo",18.994,-97.806
2017-02-17,0,5.6,25.5,5,"21005Acatzingo",18.994,-97.806
2017-02-18,0,5.4,26,6,"21005Acatzingo",18.994,-97.806
2017-02-19,0,5.8,26,4,"21005Acatzingo",18.994,-97.806
2017-02-20,0,4.5,27.5,5,"21005Acatzingo",18.994,-97.806
2017-02-21,0,5.5,26,1,"21005Acatzingo",18.994,-97.806
2017-02-22,0,4.6,26,4,"21005Acatzingo",18.994,-97.806
2017-02-23,0,4.1,27,3,"21005Acatzingo",18.994,-97.806
2017-02-24,0,4.8,27.5,6,"21005Acatzingo",18.994,-97.806
2017-02-25,0,5.4,28,10,"21005Acatzingo",18.994,-97.806
2017-02-26,0,5.3,28,9,"21005Acatzingo",18.994,-97.806
2017-02-27,0,5.2,27,10,"21005Acatzingo",18.994,-97.806
2017-02-28,0,4.7,29,8,"21005Acatzingo",18.994,-97.806
2017-03-01,0,7.3,31,3,"21005Acatzingo",18.994,-97.806
2017-03-02,0,5.8,25,8,"21005Acatzingo",18.994,-97.806
2017-03-03,0,2.7,25,6,"21005Acatzingo",18.994,-97.806
2017-03-04,0,3.5,25,7,"21005Acatzingo",18.994,-97.806
2017-03-05,0,4.3,27,6,"21005Acatzingo",18.994,-97.806
2017-03-06,0,3.7,26,9,"21005Acatzingo",18.994,-97.806
2017-03-07,0,5.8,27,4.5,"21005Acatzingo",18.994,-97.806
2017-03-08,0,5.2,28,8,"21005Acatzingo",18.994,-97.806
2017-03-09,0,4.8,26,9,"21005Acatzingo",18.994,-97.806
2017-03-10,0,5.3,27,6.5,"21005Acatzingo",18.994,-97.806
2017-03-11,0,5.9,28,5.5,"21005Acatzingo",18.994,-97.806
2017-03-12,2,6.4,27,7,"21005Acatzingo",18.994,-97.806
2017-03-13,1,5.5,26,6,"21005Acatzingo",18.994,-97.806
2017-03-14,3,8,22,8,"21005Acatzingo",18.994,-97.806
2017-03-15,0,3.5,25,9.5,"21005Acatzingo",18.994,-97.806
2017-03-16,0,2.2,26,6,"21005Acatzingo",18.994,-97.806
2017-03-17,0,3.2,26.5,7,"21005Acatzingo",18.994,-97.806
2017-03-18,0,6.5,27,5.5,"21005Acatzingo",18.994,-97.806
2017-03-19,0,5.3,26,9,"21005Acatzingo",18.994,-97.806
2017-03-20,0,6.3,28,4,"21005Acatzingo",18.994,-97.806
2017-03-21,0,4.4,27,4,"21005Acatzingo",18.994,-97.806
2017-03-22,0,4.8,27.5,4.5,"21005Acatzingo",18.994,-97.806
2017-03-23,0,6.5,27,7,"21005Acatzingo",18.994,-97.806
2017-03-24,0,5.2,29,2,"21005Acatzingo",18.994,-97.806
