"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2.2,26,8,"21012Atlixco",18.922,-98.454
2017-01-02,0,3.6,28,7,"21012Atlixco",18.922,-98.454
2017-01-03,0,4,28,12,"21012Atlixco",18.922,-98.454
2017-01-04,0,3.9,27,11,"21012Atlixco",18.922,-98.454
2017-01-05,0,2.8,27,10,"21012Atlixco",18.922,-98.454
2017-01-06,0,3.2,27,8,"21012Atlixco",18.922,-98.454
2017-01-07,0,3.7,25,9,"21012Atlixco",18.922,-98.454
2017-01-08,0,3.2,23,7,"21012Atlixco",18.922,-98.454
2017-01-09,0,3.6,25,5,"21012Atlixco",18.922,-98.454
2017-01-10,0,3.4,27,6,"21012Atlixco",18.922,-98.454
2017-01-11,0,3.8,25,8,"21012Atlixco",18.922,-98.454
2017-01-12,0,4.2,27,8,"21012Atlixco",18.922,-98.454
2017-01-13,0,4.4,27,8,"21012Atlixco",18.922,-98.454
2017-01-14,0,3.2,26,7,"21012Atlixco",18.922,-98.454
2017-01-15,0,3.4,25,8,"21012Atlixco",18.922,-98.454
2017-01-16,0,2.8,27,8,"21012Atlixco",18.922,-98.454
2017-01-17,0,2.8,28,8,"21012Atlixco",18.922,-98.454
2017-01-18,0,3.7,27,9,"21012Atlixco",18.922,-98.454
2017-01-19,0,3.2,26,8,"21012Atlixco",18.922,-98.454
2017-01-20,0,3.4,26,8,"21012Atlixco",18.922,-98.454
2017-01-21,0,4.1,27,8,"21012Atlixco",18.922,-98.454
2017-01-22,0,5.4,28,6,"21012Atlixco",18.922,-98.454
2017-01-23,0,5.3,29,7,"21012Atlixco",18.922,-98.454
2017-01-24,0,4,25,8,"21012Atlixco",18.922,-98.454
2017-01-25,0,4.4,25,7,"21012Atlixco",18.922,-98.454
2017-01-26,0,4.9,28,10,"21012Atlixco",18.922,-98.454
2017-01-27,0,4.4,27,10,"21012Atlixco",18.922,-98.454
2017-01-28,0,3.9,25,8,"21012Atlixco",18.922,-98.454
2017-01-29,0,3.2,27,7,"21012Atlixco",18.922,-98.454
2017-01-30,0,5.3,27,8,"21012Atlixco",18.922,-98.454
2017-01-31,0,3.7,25,8,"21012Atlixco",18.922,-98.454
2017-02-01,0,4.8,27,8,"21012Atlixco",18.922,-98.454
2017-02-02,0,5.1,26,9,"21012Atlixco",18.922,-98.454
2017-02-03,0,4.4,27,9,"21012Atlixco",18.922,-98.454
2017-02-04,0,4.4,27,9,"21012Atlixco",18.922,-98.454
2017-02-05,0,5.2,27,10,"21012Atlixco",18.922,-98.454
2017-02-06,0,5.3,26,10,"21012Atlixco",18.922,-98.454
2017-02-07,0,5.1,28,11,"21012Atlixco",18.922,-98.454
2017-02-08,0,3.8,27,10,"21012Atlixco",18.922,-98.454
2017-02-09,0,5.3,28,10,"21012Atlixco",18.922,-98.454
2017-02-10,0,4.9,27,11,"21012Atlixco",18.922,-98.454
2017-02-11,0,5.5,29,9,"21012Atlixco",18.922,-98.454
2017-02-12,0,4.9,28,10,"21012Atlixco",18.922,-98.454
2017-02-13,0,5.2,26,9,"21012Atlixco",18.922,-98.454
2017-02-14,0,5.5,28,7,"21012Atlixco",18.922,-98.454
2017-02-15,0,4.8,27,10,"21012Atlixco",18.922,-98.454
2017-02-16,0,4,26,10,"21012Atlixco",18.922,-98.454
2017-02-17,0,5.2,27,10,"21012Atlixco",18.922,-98.454
2017-02-18,0,4.8,27,9,"21012Atlixco",18.922,-98.454
2017-02-19,0,5.6,28,9,"21012Atlixco",18.922,-98.454
2017-02-20,0,5.3,27,9,"21012Atlixco",18.922,-98.454
2017-02-21,0,4.9,28,10,"21012Atlixco",18.922,-98.454
2017-02-22,0,5.8,27,10,"21012Atlixco",18.922,-98.454
2017-02-23,0,5.2,27,9,"21012Atlixco",18.922,-98.454
2017-02-24,0,5.3,28,10,"21012Atlixco",18.922,-98.454
2017-02-25,0,4.9,27,9,"21012Atlixco",18.922,-98.454
2017-02-26,0,6.4,28,10,"21012Atlixco",18.922,-98.454
2017-02-27,0,6.6,28,10,"21012Atlixco",18.922,-98.454
2017-02-28,0,6,29,11,"21012Atlixco",18.922,-98.454
2017-03-01,0,6.8,30,12,"21012Atlixco",18.922,-98.454
2017-03-02,0,5.5,29,11,"21012Atlixco",18.922,-98.454
