"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,0.9,21,3,"21016Baldiablo",18.898,-98.132
2017-01-02,0,1.5,24,5,"21016Baldiablo",18.898,-98.132
2017-01-03,0,1.6,25,4,"21016Baldiablo",18.898,-98.132
2017-01-04,0,3.4,21,2,"21016Baldiablo",18.898,-98.132
2017-01-05,0,3.5,22,3.5,"21016Baldiablo",18.898,-98.132
2017-01-06,0,NA,23,3,"21016Baldiablo",18.898,-98.132
2017-01-07,0,2,22.5,5,"21016Baldiablo",18.898,-98.132
2017-01-08,0,4.8,20,4,"21016Baldiablo",18.898,-98.132
2017-01-09,0,NA,22.5,1,"21016Baldiablo",18.898,-98.132
2017-01-10,0,2.5,22.5,3.5,"21016Baldiablo",18.898,-98.132
2017-01-11,0,0.8,21.5,1,"21016Baldiablo",18.898,-98.132
2017-01-12,0,0.1,23,2,"21016Baldiablo",18.898,-98.132
2017-01-13,0,2.3,23.5,2,"21016Baldiablo",18.898,-98.132
2017-01-14,0,NA,21.5,2,"21016Baldiablo",18.898,-98.132
2017-01-15,0,3,22.5,2.5,"21016Baldiablo",18.898,-98.132
2017-01-16,0,0.8,21,1,"21016Baldiablo",18.898,-98.132
2017-01-17,0,2.2,20,4.5,"21016Baldiablo",18.898,-98.132
2017-01-18,0,1.1,22.5,3,"21016Baldiablo",18.898,-98.132
2017-01-19,0,NA,20.5,3.5,"21016Baldiablo",18.898,-98.132
2017-01-20,0,NA,19.5,3.5,"21016Baldiablo",18.898,-98.132
2017-01-21,0,1.4,22,2.5,"21016Baldiablo",18.898,-98.132
2017-01-22,0,3,21,2,"21016Baldiablo",18.898,-98.132
2017-01-23,0,NA,25.5,3,"21016Baldiablo",18.898,-98.132
2017-01-24,0,2.5,21.5,1,"21016Baldiablo",18.898,-98.132
2017-01-25,0,1.9,21.5,3,"21016Baldiablo",18.898,-98.132
2017-01-26,0,0.6,24,4,"21016Baldiablo",18.898,-98.132
2017-01-27,0,0.2,23.5,6.5,"21016Baldiablo",18.898,-98.132
2017-01-28,0,3.2,21.5,3.5,"21016Baldiablo",18.898,-98.132
2017-01-29,0,2.5,18,5.5,"21016Baldiablo",18.898,-98.132
2017-01-30,0,0.3,20,1,"21016Baldiablo",18.898,-98.132
2017-01-31,0,0.2,21,1,"21016Baldiablo",18.898,-98.132
2017-02-01,0,1.8,22.5,4,"21016Baldiablo",18.898,-98.132
2017-02-02,0,0.4,24,4,"21016Baldiablo",18.898,-98.132
2017-02-03,0,0.5,23.5,6.5,"21016Baldiablo",18.898,-98.132
2017-02-04,0,3.6,22,6,"21016Baldiablo",18.898,-98.132
2017-02-05,0,NA,24,4.5,"21016Baldiablo",18.898,-98.132
2017-02-06,0,2.5,23,5,"21016Baldiablo",18.898,-98.132
2017-02-07,0,NA,25.5,4,"21016Baldiablo",18.898,-98.132
2017-02-08,0,1.9,23.5,5,"21016Baldiablo",18.898,-98.132
2017-02-09,0,0.4,26.5,7,"21016Baldiablo",18.898,-98.132
2017-02-10,0,2.9,25,1,"21016Baldiablo",18.898,-98.132
2017-02-11,0,0.8,24,3,"21016Baldiablo",18.898,-98.132
2017-02-12,0,0.1,25,2,"21016Baldiablo",18.898,-98.132
2017-02-13,0,3,23,3,"21016Baldiablo",18.898,-98.132
2017-02-14,0,3,21.5,4,"21016Baldiablo",18.898,-98.132
2017-02-15,0,3.6,21,5,"21016Baldiablo",18.898,-98.132
2017-02-16,0,1.3,19.5,7,"21016Baldiablo",18.898,-98.132
2017-02-17,0,2.1,20.5,4,"21016Baldiablo",18.898,-98.132
2017-02-18,0,NA,25,2.5,"21016Baldiablo",18.898,-98.132
2017-02-19,0,NA,24,4.5,"21016Baldiablo",18.898,-98.132
2017-02-20,0,3.5,21.5,3,"21016Baldiablo",18.898,-98.132
2017-02-21,0,2.5,24,4,"21016Baldiablo",18.898,-98.132
2017-02-22,0,NA,25,3.5,"21016Baldiablo",18.898,-98.132
2017-02-23,0,3.5,22,4.5,"21016Baldiablo",18.898,-98.132
2017-02-24,0,3.4,25.5,4.5,"21016Baldiablo",18.898,-98.132
2017-02-25,0,3.2,24,3,"21016Baldiablo",18.898,-98.132
2017-02-26,0,3.1,21.5,5.5,"21016Baldiablo",18.898,-98.132
2017-02-27,0,0.2,25.5,4.5,"21016Baldiablo",18.898,-98.132
2017-02-28,0,1.2,25,6.5,"21016Baldiablo",18.898,-98.132
2017-03-01,0,2.2,26,6,"21016Baldiablo",18.898,-98.132
2017-03-02,0,3.2,24.5,5,"21016Baldiablo",18.898,-98.132
2017-03-03,0,0.8,24.5,5.5,"21016Baldiablo",18.898,-98.132
2017-03-04,0,4,24,7,"21016Baldiablo",18.898,-98.132
2017-03-05,0,3.3,24,6,"21016Baldiablo",18.898,-98.132
