"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2.9,30,6,"21023Chapulco",18.62,-97.411
2017-01-02,0,2.9,30,7,"21023Chapulco",18.62,-97.411
2017-01-03,0,2.6,29,8,"21023Chapulco",18.62,-97.411
2017-01-04,0,4.7,30,5,"21023Chapulco",18.62,-97.411
2017-01-05,0,3,30,4,"21023Chapulco",18.62,-97.411
2017-01-06,0,2.4,31,6,"21023Chapulco",18.62,-97.411
2017-01-07,0,3.7,20,9,"21023Chapulco",18.62,-97.411
2017-01-08,0,1.6,17,5,"21023Chapulco",18.62,-97.411
2017-01-09,0,3.1,23,4,"21023Chapulco",18.62,-97.411
2017-01-10,0,2.8,29,2,"21023Chapulco",18.62,-97.411
2017-01-11,0,2.1,29,2,"21023Chapulco",18.62,-97.411
2017-01-12,0,2.8,30,5,"21023Chapulco",18.62,-97.411
2017-01-13,0,3.5,25,4,"21023Chapulco",18.62,-97.411
2017-01-14,0,2.8,28,4,"21023Chapulco",18.62,-97.411
2017-01-15,0,2.9,29,5,"21023Chapulco",18.62,-97.411
2017-01-16,0,3,30,5,"21023Chapulco",18.62,-97.411
2017-01-17,0,4.9,30,5,"21023Chapulco",18.62,-97.411
2017-01-18,0,2.2,30,6,"21023Chapulco",18.62,-97.411
2017-01-19,0,4.1,29,6,"21023Chapulco",18.62,-97.411
2017-01-20,0,2.9,29,6,"21023Chapulco",18.62,-97.411
2017-01-21,0,2.6,30,6,"21023Chapulco",18.62,-97.411
2017-01-22,0,4.4,32,6,"21023Chapulco",18.62,-97.411
2017-01-23,0,3,28,6,"21023Chapulco",18.62,-97.411
2017-01-24,0,1.8,30,3,"21023Chapulco",18.62,-97.411
2017-01-25,0,2.8,31,7,"21023Chapulco",18.62,-97.411
2017-01-26,0,3.1,30,7,"21023Chapulco",18.62,-97.411
2017-01-27,0,4,30,7,"21023Chapulco",18.62,-97.411
2017-01-28,0,3.3,28,7,"21023Chapulco",18.62,-97.411
2017-01-29,0,3,26,6,"21023Chapulco",18.62,-97.411
2017-01-30,0,1.5,23,2,"21023Chapulco",18.62,-97.411
2017-01-31,0,3.5,29,2,"21023Chapulco",18.62,-97.411
2017-02-01,0,2.9,30,6,"21023Chapulco",18.62,-97.411
2017-02-02,0,2.1,29,6,"21023Chapulco",18.62,-97.411
2017-02-03,0,2.9,26,6,"21023Chapulco",18.62,-97.411
2017-02-04,0,2.1,26,5,"21023Chapulco",18.62,-97.411
2017-02-05,0,1.8,27,5,"21023Chapulco",18.62,-97.411
2017-02-06,0,3.2,28,6,"21023Chapulco",18.62,-97.411
2017-02-07,0,2.7,30,6,"21023Chapulco",18.62,-97.411
2017-02-08,0,3.7,32,7,"21023Chapulco",18.62,-97.411
2017-02-09,0,3.5,27,7,"21023Chapulco",18.62,-97.411
2017-02-10,0,2.5,27,6,"21023Chapulco",18.62,-97.411
2017-02-11,0,2,24,6,"21023Chapulco",18.62,-97.411
2017-02-12,0,3.4,30,5,"21023Chapulco",18.62,-97.411
2017-02-13,0,2.9,30,5,"21023Chapulco",18.62,-97.411
2017-02-14,0,3.6,31,7,"21023Chapulco",18.62,-97.411
2017-02-15,0,3.3,27,6,"21023Chapulco",18.62,-97.411
2017-02-16,0,3.2,29,6,"21023Chapulco",18.62,-97.411
2017-02-17,0,2.6,24,8,"21023Chapulco",18.62,-97.411
2017-02-18,0,3,27,6,"21023Chapulco",18.62,-97.411
2017-02-19,0,2.8,29,6,"21023Chapulco",18.62,-97.411
2017-02-20,0,3.2,28,6,"21023Chapulco",18.62,-97.411
2017-02-21,0,3.4,25,6,"21023Chapulco",18.62,-97.411
2017-02-22,0,4.8,26,6,"21023Chapulco",18.62,-97.411
2017-02-23,0,3.9,30,6,"21023Chapulco",18.62,-97.411
2017-02-24,0,4.1,31,8,"21023Chapulco",18.62,-97.411
2017-02-25,0,5.8,31,8,"21023Chapulco",18.62,-97.411
2017-02-26,0,3.9,31,7,"21023Chapulco",18.62,-97.411
2017-02-27,0,3.8,31,7,"21023Chapulco",18.62,-97.411
2017-02-28,0,4.5,31,6,"21023Chapulco",18.62,-97.411
2017-03-01,0,4.8,33,10,"21023Chapulco",18.62,-97.411
2017-03-02,0,2.6,27,9,"21023Chapulco",18.62,-97.411
2017-03-03,0,4.3,27,7,"21023Chapulco",18.62,-97.411
2017-03-04,0,4.1,25,7,"21023Chapulco",18.62,-97.411
