"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.2,30,12,"21024Chietla",18.527,-98.582
2017-01-02,0,4.7,30,13,"21024Chietla",18.527,-98.582
2017-01-03,0,4.4,30,11,"21024Chietla",18.527,-98.582
2017-01-04,0,6.7,31,12,"21024Chietla",18.527,-98.582
2017-01-05,0,4.8,30,13,"21024Chietla",18.527,-98.582
2017-01-06,0,3.5,31,12,"21024Chietla",18.527,-98.582
2017-01-07,0,6.6,30,15,"21024Chietla",18.527,-98.582
2017-01-08,0,4.5,25,14,"21024Chietla",18.527,-98.582
2017-01-09,0,6.6,28,8,"21024Chietla",18.527,-98.582
2017-01-10,0,4.3,28,10,"21024Chietla",18.527,-98.582
2017-01-11,0,5.6,28,12,"21024Chietla",18.527,-98.582
2017-01-12,0,4.8,26,11,"21024Chietla",18.527,-98.582
2017-01-13,0,6.1,31,10,"21024Chietla",18.527,-98.582
2017-01-14,0,4.4,32,12,"21024Chietla",18.527,-98.582
2017-01-15,0,5.8,30,12,"21024Chietla",18.527,-98.582
2017-01-16,0,4.5,30,10,"21024Chietla",18.527,-98.582
2017-01-17,0,5.4,29,11,"21024Chietla",18.527,-98.582
2017-01-18,0,4.1,29,12,"21024Chietla",18.527,-98.582
2017-01-19,0,3.8,28,11,"21024Chietla",18.527,-98.582
2017-01-20,0,4.8,29,10,"21024Chietla",18.527,-98.582
2017-01-21,0,4.6,28,12,"21024Chietla",18.527,-98.582
2017-01-22,0,6.2,28,12,"21024Chietla",18.527,-98.582
2017-01-23,0,6.6,30,11,"21024Chietla",18.527,-98.582
2017-01-24,0,3.9,30,10,"21024Chietla",18.527,-98.582
2017-01-25,0,4.8,30,13,"21024Chietla",18.527,-98.582
2017-01-26,0,5.8,30,12,"21024Chietla",18.527,-98.582
2017-01-27,0,4.3,31,11,"21024Chietla",18.527,-98.582
2017-01-28,0,4.5,28,12,"21024Chietla",18.527,-98.582
2017-01-29,0,6.7,28,10,"21024Chietla",18.527,-98.582
2017-01-30,0,6.9,28,11,"21024Chietla",18.527,-98.582
2017-01-31,0,4.9,28,12,"21024Chietla",18.527,-98.582
2017-02-01,0,4.6,30,11,"21024Chietla",18.527,-98.582
2017-02-02,0,5.3,30,13,"21024Chietla",18.527,-98.582
2017-02-03,0,5.5,31,14,"21024Chietla",18.527,-98.582
2017-02-04,0,6.9,30,14,"21024Chietla",18.527,-98.582
2017-02-05,0,7.8,32,14,"21024Chietla",18.527,-98.582
2017-02-06,0,5.8,32,15,"21024Chietla",18.527,-98.582
2017-02-07,0,5.7,32,14,"21024Chietla",18.527,-98.582
2017-02-08,0,5.6,33,13,"21024Chietla",18.527,-98.582
2017-02-09,0,6.4,31,15,"21024Chietla",18.527,-98.582
2017-02-10,0,6.8,32,12,"21024Chietla",18.527,-98.582
2017-02-11,0,5.9,32,13,"21024Chietla",18.527,-98.582
