"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.1,22,3,"21026CDSerdan",18.984,-97.442
2017-01-02,0,2.2,24,5,"21026CDSerdan",18.984,-97.442
2017-01-03,0,3.7,24,3,"21026CDSerdan",18.984,-97.442
2017-01-04,0,3.9,25,0,"21026CDSerdan",18.984,-97.442
2017-01-05,0,4.1,26,4,"21026CDSerdan",18.984,-97.442
2017-01-06,0,4.1,26,7,"21026CDSerdan",18.984,-97.442
2017-01-07,0,3.9,22,4,"21026CDSerdan",18.984,-97.442
2017-01-08,0,3.5,17,3,"21026CDSerdan",18.984,-97.442
2017-01-09,0,4.4,18,-1,"21026CDSerdan",18.984,-97.442
2017-01-10,0,4.1,22,-3,"21026CDSerdan",18.984,-97.442
2017-01-11,0,3.9,22,4,"21026CDSerdan",18.984,-97.442
2017-01-12,0,1.1,20,5,"21026CDSerdan",18.984,-97.442
2017-01-13,0,4.7,22,2,"21026CDSerdan",18.984,-97.442
2017-01-14,0,5.1,21,-3,"21026CDSerdan",18.984,-97.442
2017-01-15,0,4.8,23,3,"21026CDSerdan",18.984,-97.442
2017-01-16,0,2.4,22,3,"21026CDSerdan",18.984,-97.442
2017-01-17,0,3.7,22,3,"21026CDSerdan",18.984,-97.442
2017-01-18,0,4.1,23,5,"21026CDSerdan",18.984,-97.442
2017-01-19,0,4.2,22,4,"21026CDSerdan",18.984,-97.442
2017-01-20,0,3.7,22,4,"21026CDSerdan",18.984,-97.442
2017-01-21,0,4.1,20,5,"21026CDSerdan",18.984,-97.442
2017-01-22,0,3.9,20,4,"21026CDSerdan",18.984,-97.442
2017-01-23,0,3.3,23,3,"21026CDSerdan",18.984,-97.442
2017-01-24,0,3,21,1,"21026CDSerdan",18.984,-97.442
2017-01-25,0,2.5,23,3,"21026CDSerdan",18.984,-97.442
2017-01-26,0,3.5,23,3,"21026CDSerdan",18.984,-97.442
2017-01-27,0,3.8,22,4,"21026CDSerdan",18.984,-97.442
2017-01-28,0,3.2,21,4,"21026CDSerdan",18.984,-97.442
2017-01-29,0,3,15,3,"21026CDSerdan",18.984,-97.442
2017-01-30,0,3,18,-1,"21026CDSerdan",18.984,-97.442
2017-01-31,0,3,19,0,"21026CDSerdan",18.984,-97.442
2017-02-01,0,3.2,22,1,"21026CDSerdan",18.984,-97.442
2017-02-02,0,2.8,21,3,"21026CDSerdan",18.984,-97.442
2017-02-03,0,3,22,2,"21026CDSerdan",18.984,-97.442
2017-02-04,0,3,24,3,"21026CDSerdan",18.984,-97.442
2017-02-05,0,3.7,20,4,"21026CDSerdan",18.984,-97.442
2017-02-06,0,4.1,26,3,"21026CDSerdan",18.984,-97.442
2017-02-07,0,3.9,25,7,"21026CDSerdan",18.984,-97.442
2017-02-08,0,4.1,29,3,"21026CDSerdan",18.984,-97.442
2017-02-09,0,4.7,23,4,"21026CDSerdan",18.984,-97.442
2017-02-10,0,3.9,21,-1,"21026CDSerdan",18.984,-97.442
2017-02-11,0,4.1,22,-2,"21026CDSerdan",18.984,-97.442
2017-02-12,0,2.3,23,1,"21026CDSerdan",18.984,-97.442
2017-02-13,0,3.7,26,1,"21026CDSerdan",18.984,-97.442
2017-02-14,0,4.1,23,3,"21026CDSerdan",18.984,-97.442
2017-02-15,0,3.9,21,4,"21026CDSerdan",18.984,-97.442
2017-02-16,0,4.1,20,5,"21026CDSerdan",18.984,-97.442
2017-02-17,0,4.9,20,6,"21026CDSerdan",18.984,-97.442
2017-02-18,0,3.9,22,2,"21026CDSerdan",18.984,-97.442
2017-02-19,0,4.2,22,3,"21026CDSerdan",18.984,-97.442
2017-02-20,0,4.9,23,5,"21026CDSerdan",18.984,-97.442
2017-02-21,0,4.1,24,3,"21026CDSerdan",18.984,-97.442
2017-02-22,0,3.9,24,5,"21026CDSerdan",18.984,-97.442
2017-02-23,0,3.9,23,4,"21026CDSerdan",18.984,-97.442
2017-02-24,0,4.2,23,4,"21026CDSerdan",18.984,-97.442
2017-02-25,0,3.9,20,5,"21026CDSerdan",18.984,-97.442
2017-02-26,0,3.3,25,5,"21026CDSerdan",18.984,-97.442
2017-02-27,0,4,26,5,"21026CDSerdan",18.984,-97.442
2017-02-28,0,4,26,5,"21026CDSerdan",18.984,-97.442
2017-03-01,0,3.6,25,5,"21026CDSerdan",18.984,-97.442
2017-03-02,0,4.2,20,4,"21026CDSerdan",18.984,-97.442
2017-03-03,0,4.9,23,1,"21026CDSerdan",18.984,-97.442
2017-03-04,0,4.1,20,2,"21026CDSerdan",18.984,-97.442
2017-03-05,0,4.9,21,4,"21026CDSerdan",18.984,-97.442
2017-03-06,0,3.3,22,6,"21026CDSerdan",18.984,-97.442
2017-03-07,0,4,23,5,"21026CDSerdan",18.984,-97.442
2017-03-08,0,3.6,22,2,"21026CDSerdan",18.984,-97.442
2017-03-09,1,3.4,23,3,"21026CDSerdan",18.984,-97.442
2017-03-10,0,3.7,22,5,"21026CDSerdan",18.984,-97.442
2017-03-11,0,4.1,25,4,"21026CDSerdan",18.984,-97.442
2017-03-12,7,3.9,22,7,"21026CDSerdan",18.984,-97.442
2017-03-13,0,5.1,21,9,"21026CDSerdan",18.984,-97.442
2017-03-14,1,3.9,20,5,"21026CDSerdan",18.984,-97.442
2017-03-15,1,3.3,17,7,"21026CDSerdan",18.984,-97.442
2017-03-16,0,3.7,20,6,"21026CDSerdan",18.984,-97.442
2017-03-17,0,4.1,23,4,"21026CDSerdan",18.984,-97.442
2017-03-18,0,3.9,22,3,"21026CDSerdan",18.984,-97.442
2017-03-19,0,3.7,20,2,"21026CDSerdan",18.984,-97.442
2017-03-20,0,3.8,22,1,"21026CDSerdan",18.984,-97.442
2017-03-21,0,4.9,22,5,"21026CDSerdan",18.984,-97.442
2017-03-22,0,4.1,23,2,"21026CDSerdan",18.984,-97.442
2017-03-23,0,3.8,23,1,"21026CDSerdan",18.984,-97.442
2017-03-24,0,4.2,28,-1,"21026CDSerdan",18.984,-97.442
2017-03-25,0,3.9,22,5,"21026CDSerdan",18.984,-97.442
2017-03-26,6,5.1,26,6,"21026CDSerdan",18.984,-97.442
2017-03-27,2,3.9,26,6,"21026CDSerdan",18.984,-97.442
2017-03-28,0,4.4,26,8,"21026CDSerdan",18.984,-97.442
2017-03-29,0,4.6,25,7,"21026CDSerdan",18.984,-97.442
2017-03-30,0,5.1,26,8,"21026CDSerdan",18.984,-97.442
2017-03-31,0,3.9,15,8,"21026CDSerdan",18.984,-97.442
2017-04-01,0,4.1,25,7,"21026CDSerdan",18.984,-97.442
2017-04-02,0,3.9,25,6,"21026CDSerdan",18.984,-97.442
2017-04-03,0,4.1,27,2,"21026CDSerdan",18.984,-97.442
2017-04-04,0,3.8,25,8,"21026CDSerdan",18.984,-97.442
2017-04-05,0,4.1,30,7,"21026CDSerdan",18.984,-97.442
2017-04-06,0,4.1,23,9,"21026CDSerdan",18.984,-97.442
2017-04-07,4,3.9,28,7,"21026CDSerdan",18.984,-97.442
2017-04-08,3,3.9,25,8,"21026CDSerdan",18.984,-97.442
2017-04-09,0,5.1,24,9,"21026CDSerdan",18.984,-97.442
2017-04-10,0,4.1,25,8,"21026CDSerdan",18.984,-97.442
2017-04-11,0,3.9,24,10,"21026CDSerdan",18.984,-97.442
2017-04-12,0,4.1,23,2,"21026CDSerdan",18.984,-97.442
2017-04-13,4,4.7,20,3,"21026CDSerdan",18.984,-97.442
2017-04-14,0,5.1,23,4,"21026CDSerdan",18.984,-97.442
2017-04-15,0,3.8,26,4,"21026CDSerdan",18.984,-97.442
2017-04-16,1,4.1,23,6,"21026CDSerdan",18.984,-97.442
2017-04-17,15,4.1,22,5,"21026CDSerdan",18.984,-97.442
2017-04-18,14,3.9,20,7,"21026CDSerdan",18.984,-97.442
2017-04-19,3,4.1,20,5,"21026CDSerdan",18.984,-97.442
2017-04-20,0,4.8,22,4,"21026CDSerdan",18.984,-97.442
2017-04-21,3,4.1,23,4,"21026CDSerdan",18.984,-97.442
2017-04-22,2,4.1,25,6,"21026CDSerdan",18.984,-97.442
2017-04-23,0,4.2,23,7,"21026CDSerdan",18.984,-97.442
2017-04-24,0,3.7,26,6,"21026CDSerdan",18.984,-97.442
2017-04-25,0,4.1,26,8,"21026CDSerdan",18.984,-97.442
2017-04-26,0,3.9,26,8,"21026CDSerdan",18.984,-97.442
2017-04-27,0,4.9,28,9,"21026CDSerdan",18.984,-97.442
2017-04-28,0,4.1,27,10,"21026CDSerdan",18.984,-97.442
2017-04-29,0,4.1,27,10,"21026CDSerdan",18.984,-97.442
2017-04-30,0,3.9,30,9,"21026CDSerdan",18.984,-97.442
2017-05-01,0,3.9,30,10,"21026CDSerdan",18.984,-97.442
2017-05-02,0,4.4,29,11,"21026CDSerdan",18.984,-97.442
2017-05-03,23,3,28,12,"21026CDSerdan",18.984,-97.442
2017-05-04,2,3.7,20,10,"21026CDSerdan",18.984,-97.442
2017-05-05,2,4.1,23,8,"21026CDSerdan",18.984,-97.442
2017-05-06,0,3.9,23,7,"21026CDSerdan",18.984,-97.442
2017-05-07,0,3.9,24,8,"21026CDSerdan",18.984,-97.442
2017-05-08,0,4.1,25,10,"21026CDSerdan",18.984,-97.442
2017-05-09,0,4.1,25,9,"21026CDSerdan",18.984,-97.442
2017-05-10,0,4.2,29,8,"21026CDSerdan",18.984,-97.442
2017-05-11,0,4.5,29,7,"21026CDSerdan",18.984,-97.442
2017-05-12,13,4.2,27,9,"21026CDSerdan",18.984,-97.442
2017-05-13,4,4.1,23,8,"21026CDSerdan",18.984,-97.442
2017-05-14,0,3.9,25,9,"21026CDSerdan",18.984,-97.442
2017-05-15,0,4.1,25,8,"21026CDSerdan",18.984,-97.442
2017-05-16,0,3.8,28,9,"21026CDSerdan",18.984,-97.442
2017-05-17,0,4.1,29,12,"21026CDSerdan",18.984,-97.442
2017-05-18,0,4.1,30,11,"21026CDSerdan",18.984,-97.442
2017-05-19,10,3.9,30,11,"21026CDSerdan",18.984,-97.442
2017-05-20,0,4.9,28,10,"21026CDSerdan",18.984,-97.442
2017-05-21,0,4.1,27,9,"21026CDSerdan",18.984,-97.442
2017-05-22,0,4.1,28,9,"21026CDSerdan",18.984,-97.442
2017-05-23,8,3.9,29,11,"21026CDSerdan",18.984,-97.442
2017-05-24,0,4.1,27,12,"21026CDSerdan",18.984,-97.442
2017-05-25,0,3.9,25,12,"21026CDSerdan",18.984,-97.442
2017-05-26,0,4.1,28,9,"21026CDSerdan",18.984,-97.442
2017-05-27,12,3.9,26,12,"21026CDSerdan",18.984,-97.442
2017-05-28,34,3.9,23,10,"21026CDSerdan",18.984,-97.442
2017-05-29,3,4.1,22,9,"21026CDSerdan",18.984,-97.442
2017-05-30,18,5.1,24,10,"21026CDSerdan",18.984,-97.442
2017-05-31,36,4.9,20,11,"21026CDSerdan",18.984,-97.442
2017-06-01,2,4.1,18,12,"21026CDSerdan",18.984,-97.442
2017-06-02,20,4.9,22,10,"21026CDSerdan",18.984,-97.442
2017-06-03,3,4.1,25,11,"21026CDSerdan",18.984,-97.442
2017-06-04,3,3.9,27,7,"21026CDSerdan",18.984,-97.442
2017-06-05,0,4.3,25,9,"21026CDSerdan",18.984,-97.442
2017-06-06,0,3.7,25,12,"21026CDSerdan",18.984,-97.442
2017-06-07,20,4.1,24,8,"21026CDSerdan",18.984,-97.442
2017-06-08,0,3.9,24,10,"21026CDSerdan",18.984,-97.442
2017-06-09,2,5.1,25,8,"21026CDSerdan",18.984,-97.442
2017-06-10,0,5.2,26,9,"21026CDSerdan",18.984,-97.442
2017-06-11,0,3.7,24,10,"21026CDSerdan",18.984,-97.442
2017-06-12,0,4.1,25,12,"21026CDSerdan",18.984,-97.442
2017-06-13,10,4.9,23,12,"21026CDSerdan",18.984,-97.442
2017-06-14,0,4,26,11,"21026CDSerdan",18.984,-97.442
2017-06-15,0,4.3,25,10,"21026CDSerdan",18.984,-97.442
2017-06-16,0,3.8,27,8,"21026CDSerdan",18.984,-97.442
2017-06-17,0,4,25,9,"21026CDSerdan",18.984,-97.442
2017-06-18,0,4.8,25,11,"21026CDSerdan",18.984,-97.442
2017-06-19,0,4.2,23,9,"21026CDSerdan",18.984,-97.442
2017-06-20,0,3.9,24,7,"21026CDSerdan",18.984,-97.442
2017-06-21,0,4.1,24,8,"21026CDSerdan",18.984,-97.442
