"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,7.7,22,2,"21031CuestaBlanca",18.859,-97.463
2017-01-02,0,6.8,26,2,"21031CuestaBlanca",18.859,-97.463
2017-01-03,0,5.3,21,3,"21031CuestaBlanca",18.859,-97.463
2017-01-04,0,8,24,8,"21031CuestaBlanca",18.859,-97.463
2017-01-05,0,6.1,27,-3,"21031CuestaBlanca",18.859,-97.463
2017-01-06,0,8.4,27,1,"21031CuestaBlanca",18.859,-97.463
2017-01-07,0,6.8,13,4,"21031CuestaBlanca",18.859,-97.463
2017-01-08,0,2.4,11,5,"21031CuestaBlanca",18.859,-97.463
2017-01-09,0,7.8,14,5,"21031CuestaBlanca",18.859,-97.463
2017-01-10,0,4.2,22,-4,"21031CuestaBlanca",18.859,-97.463
2017-01-11,0,6.3,22,2,"21031CuestaBlanca",18.859,-97.463
2017-01-12,0,7.5,23,-3,"21031CuestaBlanca",18.859,-97.463
2017-01-13,0,6.4,14,-1,"21031CuestaBlanca",18.859,-97.463
2017-01-14,0,6.5,14,2,"21031CuestaBlanca",18.859,-97.463
2017-01-15,0,4.4,23,2,"21031CuestaBlanca",18.859,-97.463
2017-01-16,0,6,23,-3,"21031CuestaBlanca",18.859,-97.463
2017-01-17,0,7.3,24,-1,"21031CuestaBlanca",18.859,-97.463
2017-01-18,0,4.6,25,2,"21031CuestaBlanca",18.859,-97.463
2017-01-19,0,8.1,23,2,"21031CuestaBlanca",18.859,-97.463
2017-01-20,0,3.9,22,3,"21031CuestaBlanca",18.859,-97.463
2017-01-21,0,7.7,21,1,"21031CuestaBlanca",18.859,-97.463
2017-01-22,0,7.8,27,2,"21031CuestaBlanca",18.859,-97.463
2017-01-23,0,8.2,23,0,"21031CuestaBlanca",18.859,-97.463
2017-01-24,0,7.9,23,-4,"21031CuestaBlanca",18.859,-97.463
2017-01-25,0,6.3,24,2,"21031CuestaBlanca",18.859,-97.463
2017-01-26,0,7.5,23,1,"21031CuestaBlanca",18.859,-97.463
2017-01-27,0,6.4,26,2,"21031CuestaBlanca",18.859,-97.463
2017-01-28,0,7.6,22,-2,"21031CuestaBlanca",18.859,-97.463
2017-01-29,0,6.8,11,-2,"21031CuestaBlanca",18.859,-97.463
2017-01-30,0,6.3,15,-2,"21031CuestaBlanca",18.859,-97.463
2017-01-31,0,5.3,23,2,"21031CuestaBlanca",18.859,-97.463
2017-02-01,0,7.1,24,1,"21031CuestaBlanca",18.859,-97.463
2017-02-02,0,NA,21,2,"21031CuestaBlanca",18.859,-97.463
2017-02-03,0,5.8,17,7,"21031CuestaBlanca",18.859,-97.463
2017-02-04,0,6.8,17,8,"21031CuestaBlanca",18.859,-97.463
2017-02-05,0,8.4,19,3,"21031CuestaBlanca",18.859,-97.463
2017-02-06,0,6.8,25,2,"21031CuestaBlanca",18.859,-97.463
2017-02-07,0,9,27,2,"21031CuestaBlanca",18.859,-97.463
2017-02-08,0,9.4,26,2,"21031CuestaBlanca",18.859,-97.463
2017-02-09,0,7.8,20,2,"21031CuestaBlanca",18.859,-97.463
2017-02-10,0,6.9,18,2,"21031CuestaBlanca",18.859,-97.463
2017-02-11,0,8.8,23,-2,"21031CuestaBlanca",18.859,-97.463
2017-02-12,0,10.6,24,-3,"21031CuestaBlanca",18.859,-97.463
2017-02-13,0,7.1,22,2,"21031CuestaBlanca",18.859,-97.463
2017-02-14,0,5.9,24,2,"21031CuestaBlanca",18.859,-97.463
2017-02-15,0,8.2,20,2,"21031CuestaBlanca",18.859,-97.463
2017-02-16,0,10.5,20,3,"21031CuestaBlanca",18.859,-97.463
2017-02-17,0,5,22,9,"21031CuestaBlanca",18.859,-97.463
2017-02-18,0,8.3,24,2,"21031CuestaBlanca",18.859,-97.463
2017-02-19,0,9.3,23,2,"21031CuestaBlanca",18.859,-97.463
2017-02-20,0,9.3,24,4,"21031CuestaBlanca",18.859,-97.463
2017-02-21,0,7,20,5,"21031CuestaBlanca",18.859,-97.463
2017-02-22,0,9,25,3,"21031CuestaBlanca",18.859,-97.463
2017-02-23,0,10.7,24,2,"21031CuestaBlanca",18.859,-97.463
2017-02-24,0,4.3,26,2,"21031CuestaBlanca",18.859,-97.463
2017-02-25,0,10.2,23,0,"21031CuestaBlanca",18.859,-97.463
2017-02-26,0,7.6,26,3,"21031CuestaBlanca",18.859,-97.463
2017-02-27,0,11.3,26,1,"21031CuestaBlanca",18.859,-97.463
2017-02-28,0,2.6,24,1,"21031CuestaBlanca",18.859,-97.463
2017-03-01,0,9.7,28,2,"21031CuestaBlanca",18.859,-97.463
2017-03-02,0,9.5,27,2,"21031CuestaBlanca",18.859,-97.463
