"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,5.1,26,5,"21034Echeverria",18.956,-98.275
2017-01-02,0,5.2,25,6,"21034Echeverria",18.956,-98.275
2017-01-03,0,6.2,26,5,"21034Echeverria",18.956,-98.275
2017-01-04,0,5.3,25,6,"21034Echeverria",18.956,-98.275
2017-01-05,0,5.3,24,5,"21034Echeverria",18.956,-98.275
2017-01-06,0,5.9,25,6,"21034Echeverria",18.956,-98.275
2017-01-07,0,4.8,24,5,"21034Echeverria",18.956,-98.275
2017-01-08,0,5.3,25,5,"21034Echeverria",18.956,-98.275
2017-01-09,0,5.1,26,4,"21034Echeverria",18.956,-98.275
2017-01-10,0,5.2,24,4,"21034Echeverria",18.956,-98.275
2017-01-11,0,5.4,25,5,"21034Echeverria",18.956,-98.275
2017-01-12,0,5,26,6,"21034Echeverria",18.956,-98.275
2017-01-13,0,5,25,7,"21034Echeverria",18.956,-98.275
2017-01-14,0,5,25,5,"21034Echeverria",18.956,-98.275
2017-01-15,0,4.4,24,5,"21034Echeverria",18.956,-98.275
2017-01-16,0,5.5,26,6,"21034Echeverria",18.956,-98.275
2017-01-17,0,5.1,25,7,"21034Echeverria",18.956,-98.275
2017-01-18,0,4.9,25,5,"21034Echeverria",18.956,-98.275
2017-01-19,0,4.6,24,6,"21034Echeverria",18.956,-98.275
2017-01-20,0,5.5,25,5,"21034Echeverria",18.956,-98.275
2017-01-21,0,5.4,24,5,"21034Echeverria",18.956,-98.275
2017-01-22,0,5.3,26,5,"21034Echeverria",18.956,-98.275
2017-01-23,0,4.3,25,6,"21034Echeverria",18.956,-98.275
2017-01-24,0,4.8,25,7,"21034Echeverria",18.956,-98.275
2017-01-25,0,5.1,26,5,"21034Echeverria",18.956,-98.275
2017-01-26,0,4.1,26,6,"21034Echeverria",18.956,-98.275
2017-01-27,0,4.9,25,5,"21034Echeverria",18.956,-98.275
2017-01-28,0,5.2,26,6,"21034Echeverria",18.956,-98.275
