"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,NA,21,-1,"21040GuadalupeB",19.37,-97.356
2017-01-02,0,NA,20,0,"21040GuadalupeB",19.37,-97.356
2017-01-03,0,NA,18,-3,"21040GuadalupeB",19.37,-97.356
2017-01-04,0,NA,20,-2,"21040GuadalupeB",19.37,-97.356
2017-01-05,0,NA,19,-5,"21040GuadalupeB",19.37,-97.356
2017-01-06,0,NA,21,-3,"21040GuadalupeB",19.37,-97.356
2017-01-07,0,NA,19,-4,"21040GuadalupeB",19.37,-97.356
2017-01-08,0,NA,20,-3,"21040GuadalupeB",19.37,-97.356
2017-01-09,0,NA,21,-2,"21040GuadalupeB",19.37,-97.356
2017-01-10,0,NA,22,-6,"21040GuadalupeB",19.37,-97.356
2017-01-11,0,NA,20,-7,"21040GuadalupeB",19.37,-97.356
2017-01-12,0,NA,21,-2,"21040GuadalupeB",19.37,-97.356
2017-01-13,0,NA,20,-2,"21040GuadalupeB",19.37,-97.356
2017-01-14,0,NA,21,-3,"21040GuadalupeB",19.37,-97.356
2017-01-15,0,NA,20,-4,"21040GuadalupeB",19.37,-97.356
2017-01-16,0,NA,21,-1,"21040GuadalupeB",19.37,-97.356
2017-01-17,0,NA,20,0,"21040GuadalupeB",19.37,-97.356
2017-01-18,0,NA,19,-2,"21040GuadalupeB",19.37,-97.356
2017-01-19,0,NA,19,-5,"21040GuadalupeB",19.37,-97.356
2017-01-20,0,NA,20,-5,"21040GuadalupeB",19.37,-97.356
2017-01-21,0,NA,21,-4,"21040GuadalupeB",19.37,-97.356
2017-01-22,0,NA,20,-1,"21040GuadalupeB",19.37,-97.356
2017-01-23,0,NA,20,-3,"21040GuadalupeB",19.37,-97.356
2017-01-24,0,NA,21,2,"21040GuadalupeB",19.37,-97.356
2017-01-25,0,NA,19,5,"21040GuadalupeB",19.37,-97.356
2017-01-26,0,NA,19,-3,"21040GuadalupeB",19.37,-97.356
2017-01-27,0,NA,20,-3,"21040GuadalupeB",19.37,-97.356
2017-01-28,0,NA,20,-2,"21040GuadalupeB",19.37,-97.356
2017-01-29,0,NA,19,-1,"21040GuadalupeB",19.37,-97.356
2017-01-30,0,NA,20,-3,"21040GuadalupeB",19.37,-97.356
2017-01-31,0,NA,20,-4,"21040GuadalupeB",19.37,-97.356
2017-02-01,0,NA,22,4,"21040GuadalupeB",19.37,-97.356
2017-02-02,0,NA,21,3,"21040GuadalupeB",19.37,-97.356
2017-02-03,0,NA,22,5,"21040GuadalupeB",19.37,-97.356
2017-02-04,0,NA,20,6,"21040GuadalupeB",19.37,-97.356
2017-02-05,0,NA,22,4,"21040GuadalupeB",19.37,-97.356
2017-02-06,0,NA,23,4,"21040GuadalupeB",19.37,-97.356
2017-02-07,0,NA,22,5,"21040GuadalupeB",19.37,-97.356
2017-02-08,0,NA,23,5,"21040GuadalupeB",19.37,-97.356
2017-02-09,0,NA,23,4,"21040GuadalupeB",19.37,-97.356
2017-02-10,0,NA,14,5,"21040GuadalupeB",19.37,-97.356
2017-02-11,0,NA,7,-4,"21040GuadalupeB",19.37,-97.356
2017-02-12,0,NA,5,-3,"21040GuadalupeB",19.37,-97.356
2017-02-13,0,NA,9,-4,"21040GuadalupeB",19.37,-97.356
2017-02-14,0,NA,11,1,"21040GuadalupeB",19.37,-97.356
2017-02-15,0,NA,11,0,"21040GuadalupeB",19.37,-97.356
2017-02-16,0,NA,14,0,"21040GuadalupeB",19.37,-97.356
2017-02-17,0,NA,11,-2,"21040GuadalupeB",19.37,-97.356
2017-02-18,0,NA,10,0,"21040GuadalupeB",19.37,-97.356
2017-02-19,0,NA,15,2,"21040GuadalupeB",19.37,-97.356
2017-02-20,0,NA,22,1,"21040GuadalupeB",19.37,-97.356
2017-02-21,0,NA,23,2,"21040GuadalupeB",19.37,-97.356
2017-02-22,0,NA,22,0,"21040GuadalupeB",19.37,-97.356
2017-02-23,0,NA,23,0,"21040GuadalupeB",19.37,-97.356
2017-02-24,0,NA,21,2,"21040GuadalupeB",19.37,-97.356
2017-02-25,0,NA,20,1,"21040GuadalupeB",19.37,-97.356
2017-02-26,0,NA,21,1,"21040GuadalupeB",19.37,-97.356
2017-02-27,0,NA,21,1,"21040GuadalupeB",19.37,-97.356
2017-02-28,0,NA,23,1,"21040GuadalupeB",19.37,-97.356
2017-03-01,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-02,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-03,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-04,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-05,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-06,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-07,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-08,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-09,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-10,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-11,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-12,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-13,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-14,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-15,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-16,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-17,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-18,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-19,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-20,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-21,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-22,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-23,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-24,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-25,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-26,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-27,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-28,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-29,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-30,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-03-31,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-01,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-02,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-03,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-04,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-05,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-06,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-07,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-08,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-09,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-10,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-11,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-12,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-13,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-14,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-15,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-16,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-17,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-18,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-19,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-20,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-21,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-22,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-23,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-24,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-25,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-26,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-27,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-28,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-29,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-04-30,NA,NA,NA,NA,"21040GuadalupeB",19.37,-97.356
2017-05-01,0,NA,19,4,"21040GuadalupeB",19.37,-97.356
2017-05-02,0,NA,18,6,"21040GuadalupeB",19.37,-97.356
2017-05-03,0,NA,19,7,"21040GuadalupeB",19.37,-97.356
2017-05-04,0,NA,17,8,"21040GuadalupeB",19.37,-97.356
