"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.1,23,7,"21046Huejotzingo",19.162,-98.406
2017-01-02,0,2.2,26,6,"21046Huejotzingo",19.162,-98.406
2017-01-03,0,3.5,25,6,"21046Huejotzingo",19.162,-98.406
2017-01-04,0,3.3,26,4,"21046Huejotzingo",19.162,-98.406
2017-01-05,0,3.3,24,5,"21046Huejotzingo",19.162,-98.406
2017-01-06,0,4.5,25,6,"21046Huejotzingo",19.162,-98.406
2017-01-07,0,3.2,26,6,"21046Huejotzingo",19.162,-98.406
2017-01-08,0,0.9,20,4,"21046Huejotzingo",19.162,-98.406
2017-01-09,0,3.8,21,3,"21046Huejotzingo",19.162,-98.406
2017-01-10,0,3.8,22,2,"21046Huejotzingo",19.162,-98.406
2017-01-11,0,1.7,22,3,"21046Huejotzingo",19.162,-98.406
2017-01-12,0,4.3,22,4,"21046Huejotzingo",19.162,-98.406
2017-01-13,0,4.3,22,3,"21046Huejotzingo",19.162,-98.406
2017-01-14,0,2.3,21,2,"21046Huejotzingo",19.162,-98.406
2017-01-15,0,3.6,20,3,"21046Huejotzingo",19.162,-98.406
2017-01-16,0,2.9,22,2,"21046Huejotzingo",19.162,-98.406
2017-01-17,0,2.6,23,3,"21046Huejotzingo",19.162,-98.406
2017-01-18,0,3.5,24,4,"21046Huejotzingo",19.162,-98.406
2017-01-19,0,2.9,22,2,"21046Huejotzingo",19.162,-98.406
2017-01-20,0,3.3,23,4,"21046Huejotzingo",19.162,-98.406
2017-01-21,0,2.2,21,2,"21046Huejotzingo",19.162,-98.406
2017-01-22,0,2.9,26,3,"21046Huejotzingo",19.162,-98.406
2017-01-23,0,5.5,25,3,"21046Huejotzingo",19.162,-98.406
2017-01-24,0,3.2,26,2,"21046Huejotzingo",19.162,-98.406
2017-01-25,0,2.4,23,3,"21046Huejotzingo",19.162,-98.406
2017-01-26,0,3.8,26,4,"21046Huejotzingo",19.162,-98.406
