"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,NA,26,8,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-02,0,NA,27,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-03,0,NA,26,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-04,0,NA,27,0,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-05,0,NA,31,0,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-06,0,NA,29,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-07,0,NA,16,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-08,0,NA,16,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-09,0,NA,23,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-10,0,NA,27,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-11,0,NA,26,0,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-12,0,NA,26,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-13,0,NA,23,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-14,0,NA,26,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-15,0,NA,26,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-16,0,NA,26,0,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-17,0,NA,27,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-18,0,NA,26,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-19,0,NA,27,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-20,0,NA,29,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-21,0,NA,29,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-22,0,NA,29,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-23,0,NA,26,-2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-24,0,NA,29,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-25,0,NA,29,-2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-26,0,NA,30,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-27,0,NA,29,0,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-28,0,NA,20,0,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-29,0,NA,19,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-30,0,NA,20,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-01-31,0,NA,27,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-01,0,NA,26,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-02,0,NA,26,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-03,0,NA,26,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-04,0,NA,25,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-05,0,NA,26,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-06,0,NA,27,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-07,0,NA,27,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-08,0,NA,29,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-09,0,NA,25,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-10,0,NA,27,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-11,0,NA,29,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-12,0,NA,28,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-13,0,NA,28,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-14,0,NA,30,-1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-15,0,NA,21,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-16,0,NA,24,8,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-17,0,NA,26,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-18,0,NA,30,0,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-19,0,NA,27,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-20,0,NA,28,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-21,0,NA,23,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-22,0,NA,26,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-23,0,NA,30,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-24,0,NA,31,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-25,0,NA,29,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-26,0,NA,30,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-27,0,NA,30,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-02-28,0,NA,30,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-01,0,NA,30,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-02,0,NA,21,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-03,0,NA,23,8,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-04,5.9,NA,22,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-05,0,NA,24,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-06,0,NA,27,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-07,0,NA,27,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-08,0,NA,24,7,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-09,6.5,NA,27,9,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-10,0,NA,27,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-11,5.6,NA,28,4,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-12,3.7,NA,23,6,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-13,0.6,NA,21,9,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-14,5.6,NA,19,9,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-15,8.2,NA,22,8,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-16,0,NA,22,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-17,0,NA,28,6,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-18,0,NA,25,7,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-19,0,NA,27,6,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-20,0,NA,27,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-21,0,NA,26,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-22,0,NA,27,1,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-23,0,NA,28,3,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-24,0,NA,32,2,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-25,0,NA,30,6,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-26,6.6,NA,31,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-27,0,NA,26,6,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-28,0,NA,29,6,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-29,0,NA,31,5,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-30,0,NA,30,6,"21047Ixtacamaxtitlan",19.623,-97.814
2017-03-31,0,NA,30,8,"21047Ixtacamaxtitlan",19.623,-97.814
