"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.8,20,1.5,"210521Alchichica",19.412,-97.394
2017-01-02,0,4.2,22,0,"210521Alchichica",19.412,-97.394
2017-01-03,0,3.4,21,0.5,"210521Alchichica",19.412,-97.394
2017-01-04,0,4.1,22.5,-3.5,"210521Alchichica",19.412,-97.394
2017-01-05,0,3.2,26,-2.5,"210521Alchichica",19.412,-97.394
2017-01-06,0,3.5,24.5,0,"210521Alchichica",19.412,-97.394
2017-01-07,0,2.3,13,3,"210521Alchichica",19.412,-97.394
2017-01-08,0,2.7,12,1.5,"210521Alchichica",19.412,-97.394
2017-01-09,0,3,18.5,-1.5,"210521Alchichica",19.412,-97.394
2017-01-10,0,2.9,21,-4,"210521Alchichica",19.412,-97.394
2017-01-11,0,3.7,21,-3,"210521Alchichica",19.412,-97.394
2017-01-12,0,2.4,21.5,-3,"210521Alchichica",19.412,-97.394
2017-01-13,0,2.1,18.5,-3,"210521Alchichica",19.412,-97.394
2017-01-14,0,2.9,18,-2,"210521Alchichica",19.412,-97.394
2017-01-15,0,3.5,21,-3.5,"210521Alchichica",19.412,-97.394
2017-01-16,0,3,21.5,-2.5,"210521Alchichica",19.412,-97.394
2017-01-17,0,2.8,22,-1,"210521Alchichica",19.412,-97.394
2017-01-18,0,2.2,22,-1,"210521Alchichica",19.412,-97.394
2017-01-19,0,3.3,21.5,2,"210521Alchichica",19.412,-97.394
2017-01-20,0,4.7,22.5,3,"210521Alchichica",19.412,-97.394
2017-01-21,0,5.4,21,4,"210521Alchichica",19.412,-97.394
2017-01-22,0,6.2,24,1,"210521Alchichica",19.412,-97.394
2017-01-23,0,5.1,21,-4,"210521Alchichica",19.412,-97.394
2017-01-24,0,2.8,22,-5,"210521Alchichica",19.412,-97.394
2017-01-25,0,3.7,24,-2.5,"210521Alchichica",19.412,-97.394
2017-01-26,0,2.7,23,-2,"210521Alchichica",19.412,-97.394
2017-01-27,0,3.3,24.5,-1.5,"210521Alchichica",19.412,-97.394
2017-01-28,0,2.8,17,-1,"210521Alchichica",19.412,-97.394
2017-01-29,0,3.5,13,1,"210521Alchichica",19.412,-97.394
2017-01-30,0,4,18,1.5,"210521Alchichica",19.412,-97.394
2017-01-31,0,2.5,21,-2,"210521Alchichica",19.412,-97.394
2017-02-01,0,4,22.5,0,"210521Alchichica",19.412,-97.394
2017-02-02,0,2,19,0,"210521Alchichica",19.412,-97.394
2017-02-03,0,4.4,19,1.5,"210521Alchichica",19.412,-97.394
2017-02-04,0,2.6,20,3,"210521Alchichica",19.412,-97.394
2017-02-05,0,4.3,21.5,0,"210521Alchichica",19.412,-97.394
2017-02-06,0,4.3,22,0.5,"210521Alchichica",19.412,-97.394
2017-02-07,0,4.3,22,-1,"210521Alchichica",19.412,-97.394
2017-02-08,0,8.6,23,-0.5,"210521Alchichica",19.412,-97.394
2017-02-09,0,0.7,29.5,-3.5,"210521Alchichica",19.412,-97.394
2017-02-10,0,3.9,20,-0.5,"210521Alchichica",19.412,-97.394
2017-02-11,0,4.6,24,-2,"210521Alchichica",19.412,-97.394
2017-02-12,0,2.2,24,-4,"210521Alchichica",19.412,-97.394
2017-02-13,0,3.7,23,-3,"210521Alchichica",19.412,-97.394
2017-02-14,0,4.1,24,2,"210521Alchichica",19.412,-97.394
2017-02-15,0,2.5,23,3.5,"210521Alchichica",19.412,-97.394
2017-02-16,0,4.3,21,0.5,"210521Alchichica",19.412,-97.394
2017-02-17,0,5.7,20.5,4,"210521Alchichica",19.412,-97.394
2017-02-18,0,6,23.1,2,"210521Alchichica",19.412,-97.394
2017-02-19,0,3.5,23,1.5,"210521Alchichica",19.412,-97.394
2017-02-20,0,4.9,23,4,"210521Alchichica",19.412,-97.394
2017-02-21,0,4,18,5,"210521Alchichica",19.412,-97.394
2017-02-22,0,5.4,21,-3,"210521Alchichica",19.412,-97.394
2017-02-23,0,5.4,23,-1.5,"210521Alchichica",19.412,-97.394
2017-02-24,0,5.3,24.5,4,"210521Alchichica",19.412,-97.394
2017-02-25,0,3.9,21.5,-0.5,"210521Alchichica",19.412,-97.394
2017-02-26,0,4.1,25,1.5,"210521Alchichica",19.412,-97.394
2017-02-27,0,4.9,25.5,1.5,"210521Alchichica",19.412,-97.394
2017-02-28,0,4.7,26,1.5,"210521Alchichica",19.412,-97.394
2017-03-01,0,5.2,24.5,0.5,"210521Alchichica",19.412,-97.394
2017-03-02,0,3.2,16,4,"210521Alchichica",19.412,-97.394
2017-03-03,0,2.9,16.5,4,"210521Alchichica",19.412,-97.394
2017-03-04,0,3.9,21,5,"210521Alchichica",19.412,-97.394
2017-03-05,0,2.1,20,5,"210521Alchichica",19.412,-97.394
2017-03-06,0,4.1,22.5,3,"210521Alchichica",19.412,-97.394
2017-03-07,0,4.7,23,1.5,"210521Alchichica",19.412,-97.394
2017-03-08,0,4,19,3,"210521Alchichica",19.412,-97.394
2017-03-09,9.5,2.6,21,3,"210521Alchichica",19.412,-97.394
2017-03-10,0,1.2,19,5.5,"210521Alchichica",19.412,-97.394
2017-03-11,0,4.2,23,6,"210521Alchichica",19.412,-97.394
2017-03-12,1.7,3.2,21,8,"210521Alchichica",19.412,-97.394
2017-03-13,5.4,1.9,20,8,"210521Alchichica",19.412,-97.394
2017-03-14,4.1,0.8,16,4,"210521Alchichica",19.412,-97.394
2017-03-15,1,1.8,15.5,6.5,"210521Alchichica",19.412,-97.394
2017-03-16,0,3.8,17,6.5,"210521Alchichica",19.412,-97.394
2017-03-17,0,3.4,21.5,3.5,"210521Alchichica",19.412,-97.394
2017-03-18,0,3.1,19,5,"210521Alchichica",19.412,-97.394
2017-03-19,0,5.3,18,3,"210521Alchichica",19.412,-97.394
2017-03-20,0,3.5,21.5,1,"210521Alchichica",19.412,-97.394
2017-03-21,0,6.9,22,0,"210521Alchichica",19.412,-97.394
2017-03-22,0,7.4,21,0,"210521Alchichica",19.412,-97.394
2017-03-23,0,7,19,-1,"210521Alchichica",19.412,-97.394
2017-03-24,0,3.1,21,0.5,"210521Alchichica",19.412,-97.394
2017-03-25,0,5.7,24,5,"210521Alchichica",19.412,-97.394
2017-03-26,16.2,5.2,26,4,"210521Alchichica",19.412,-97.394
2017-03-27,0,5.3,23.5,5,"210521Alchichica",19.412,-97.394
2017-03-28,0,2.7,24,6,"210521Alchichica",19.412,-97.394
2017-03-29,0,4.1,25.5,8,"210521Alchichica",19.412,-97.394
2017-03-30,0,3.2,25,5,"210521Alchichica",19.412,-97.394
2017-03-31,0,2.9,24,7,"210521Alchichica",19.412,-97.394
2017-04-01,0,3.9,26,7,"210521Alchichica",19.412,-97.394
2017-04-02,0,4.2,26,8,"210521Alchichica",19.412,-97.394
2017-04-03,0,2.1,26,3.5,"210521Alchichica",19.412,-97.394
2017-04-04,0,3.7,27,4,"210521Alchichica",19.412,-97.394
2017-04-05,0,5.4,27,5,"210521Alchichica",19.412,-97.394
2017-04-06,5.4,4.2,24,5,"210521Alchichica",19.412,-97.394
2017-04-07,0,5.1,25,5.5,"210521Alchichica",19.412,-97.394
2017-04-08,0,3.2,23,6,"210521Alchichica",19.412,-97.394
2017-04-09,0,3.5,24,3.5,"210521Alchichica",19.412,-97.394
2017-04-10,0,4.1,26,5,"210521Alchichica",19.412,-97.394
2017-04-11,0,0.9,23,4,"210521Alchichica",19.412,-97.394
2017-04-12,0,9.4,28,2,"210521Alchichica",19.412,-97.394
