"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,NA,26,1,"21060PalmarB",18.837,-97.547
2017-01-02,0,NA,29,0,"21060PalmarB",18.837,-97.547
2017-01-03,0,NA,27,3,"21060PalmarB",18.837,-97.547
2017-01-04,0,NA,29,7,"21060PalmarB",18.837,-97.547
2017-01-05,0,NA,27,-3,"21060PalmarB",18.837,-97.547
2017-01-06,0,NA,26,-2,"21060PalmarB",18.837,-97.547
2017-01-07,0,NA,25,-1,"21060PalmarB",18.837,-97.547
2017-01-08,0,NA,26,-1,"21060PalmarB",18.837,-97.547
2017-01-09,0,NA,20,4,"21060PalmarB",18.837,-97.547
2017-01-10,0,NA,26,-3,"21060PalmarB",18.837,-97.547
2017-01-11,0,NA,26,-2,"21060PalmarB",18.837,-97.547
2017-01-12,0,NA,27,-2,"21060PalmarB",18.837,-97.547
2017-01-13,0,NA,24,-4,"21060PalmarB",18.837,-97.547
2017-01-14,0,NA,24,-2,"21060PalmarB",18.837,-97.547
2017-01-15,0,NA,26,-2,"21060PalmarB",18.837,-97.547
2017-01-16,0,NA,27,-2,"21060PalmarB",18.837,-97.547
2017-01-17,0,NA,24,-1,"21060PalmarB",18.837,-97.547
2017-01-18,0,NA,22,1,"21060PalmarB",18.837,-97.547
2017-01-19,0,NA,25,1,"21060PalmarB",18.837,-97.547
2017-01-20,0,NA,24,2,"21060PalmarB",18.837,-97.547
2017-01-21,0,NA,28,0,"21060PalmarB",18.837,-97.547
2017-01-22,0,NA,25,1,"21060PalmarB",18.837,-97.547
2017-01-23,0,NA,24,1,"21060PalmarB",18.837,-97.547
2017-01-24,0,NA,27,2,"21060PalmarB",18.837,-97.547
2017-01-25,0,NA,28,1,"21060PalmarB",18.837,-97.547
2017-01-26,0,NA,29,5,"21060PalmarB",18.837,-97.547
2017-01-27,0,NA,28,4,"21060PalmarB",18.837,-97.547
2017-01-28,0,NA,29,-2,"21060PalmarB",18.837,-97.547
2017-01-29,0,NA,28,-5,"21060PalmarB",18.837,-97.547
2017-01-30,0,NA,27,5,"21060PalmarB",18.837,-97.547
2017-01-31,0,NA,29,0,"21060PalmarB",18.837,-97.547
2017-02-01,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-02,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-03,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-04,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-05,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-06,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-07,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-08,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-09,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-10,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-11,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-12,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-13,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-14,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-15,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-16,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-17,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-18,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-19,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-20,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-21,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-22,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-23,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-24,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-25,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-26,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-27,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-02-28,NA,NA,NA,NA,"21060PalmarB",18.837,-97.547
2017-03-01,0,4.8,25,2,"21060PalmarB",18.837,-97.547
2017-03-02,0,6,26,3,"21060PalmarB",18.837,-97.547
2017-03-03,0,5.8,25,4,"21060PalmarB",18.837,-97.547
