"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.1,23.6,6.7,"21065Puebla2",19.05,-98.167
2017-01-02,0,3.5,25.8,6.4,"21065Puebla2",19.05,-98.167
2017-01-03,0,5,26.8,6.5,"21065Puebla2",19.05,-98.167
2017-01-04,0,3.7,28,5.7,"21065Puebla2",19.05,-98.167
2017-01-05,0,5,26.6,5,"21065Puebla2",19.05,-98.167
2017-01-06,0,1.6,26.2,6.4,"21065Puebla2",19.05,-98.167
2017-01-07,0,2.8,21.8,9.2,"21065Puebla2",19.05,-98.167
2017-01-08,0,3.8,20.2,3.1,"21065Puebla2",19.05,-98.167
2017-01-09,0,4.2,20.4,2.4,"21065Puebla2",19.05,-98.167
2017-01-10,0,3.8,22.6,2.7,"21065Puebla2",19.05,-98.167
2017-01-11,0,3.6,24.2,3.8,"21065Puebla2",19.05,-98.167
2017-01-12,0,4.4,24.6,3.4,"21065Puebla2",19.05,-98.167
2017-01-13,0,2.2,24,2.8,"21065Puebla2",19.05,-98.167
2017-01-14,0,4.8,22.4,3.4,"21065Puebla2",19.05,-98.167
2017-01-15,0,4.6,22.8,4,"21065Puebla2",19.05,-98.167
2017-01-16,0,3.6,23.6,4.4,"21065Puebla2",19.05,-98.167
2017-01-17,0,2.8,22.6,5.3,"21065Puebla2",19.05,-98.167
2017-01-18,0,3.5,23.4,4.9,"21065Puebla2",19.05,-98.167
2017-01-19,0,4,22.6,6.4,"21065Puebla2",19.05,-98.167
2017-01-20,0,4.4,21.8,9,"21065Puebla2",19.05,-98.167
2017-01-21,0,3.3,22.4,8.6,"21065Puebla2",19.05,-98.167
2017-01-22,0,4.7,21.8,4.3,"21065Puebla2",19.05,-98.167
2017-01-23,0,4.5,26.2,3.6,"21065Puebla2",19.05,-98.167
2017-01-24,0,3.9,23.4,3.1,"21065Puebla2",19.05,-98.167
2017-01-25,0,4,23.6,4.8,"21065Puebla2",19.05,-98.167
2017-01-26,0,3.8,26.8,4.4,"21065Puebla2",19.05,-98.167
2017-01-27,0,3.9,26,5.4,"21065Puebla2",19.05,-98.167
2017-01-28,0,2.9,24.4,6,"21065Puebla2",19.05,-98.167
2017-01-29,0,3.5,21.2,7.6,"21065Puebla2",19.05,-98.167
2017-01-30,0,3.6,22.4,4.7,"21065Puebla2",19.05,-98.167
2017-01-31,0,4.6,23.6,3.6,"21065Puebla2",19.05,-98.167
2017-02-01,0,4.2,24.8,6.1,"21065Puebla2",19.05,-98.167
2017-02-02,0,3.9,25.4,6.2,"21065Puebla2",19.05,-98.167
2017-02-03,0,3.3,24,7.6,"21065Puebla2",19.05,-98.167
2017-02-04,0,2.5,24.2,8.2,"21065Puebla2",19.05,-98.167
2017-02-05,0,6.1,25.2,6.7,"21065Puebla2",19.05,-98.167
2017-02-06,0,3.2,25.2,6.1,"21065Puebla2",19.05,-98.167
2017-02-07,0,4.8,27,6,"21065Puebla2",19.05,-98.167
2017-02-08,0,5.7,28,7.5,"21065Puebla2",19.05,-98.167
2017-02-09,0,4.2,26,4.3,"21065Puebla2",19.05,-98.167
2017-02-10,0,3.7,21.8,4.6,"21065Puebla2",19.05,-98.167
2017-02-11,0,8.6,26.4,6.6,"21065Puebla2",19.05,-98.167
2017-02-12,0,4.3,27.6,4,"21065Puebla2",19.05,-98.167
2017-02-13,0,5.6,26,5.2,"21065Puebla2",19.05,-98.167
2017-02-14,0,4.3,24.4,6,"21065Puebla2",19.05,-98.167
2017-02-15,0,5.7,24.2,8,"21065Puebla2",19.05,-98.167
2017-02-16,0,2.6,20.8,9.7,"21065Puebla2",19.05,-98.167
2017-02-17,0,2.4,22.8,9.8,"21065Puebla2",19.05,-98.167
2017-02-18,0,5.2,24.4,6,"21065Puebla2",19.05,-98.167
2017-02-19,0,5.5,22,6.6,"21065Puebla2",19.05,-98.167
2017-02-20,0,5.2,24.4,8.9,"21065Puebla2",19.05,-98.167
2017-02-21,0,2.7,26,5.9,"21065Puebla2",19.05,-98.167
2017-02-22,0,6,27.4,6.9,"21065Puebla2",19.05,-98.167
2017-02-23,0,5.2,25.6,5.7,"21065Puebla2",19.05,-98.167
2017-02-24,0,3.8,26,7.4,"21065Puebla2",19.05,-98.167
2017-02-25,0,4.2,27,6.4,"21065Puebla2",19.05,-98.167
2017-02-26,0,8.2,25.8,7.5,"21065Puebla2",19.05,-98.167
2017-02-27,0,5,28,6.8,"21065Puebla2",19.05,-98.167
2017-02-28,0,4.7,27.8,7.1,"21065Puebla2",19.05,-98.167
2017-03-01,0,4,30.2,8.3,"21065Puebla2",19.05,-98.167
2017-03-02,0,5.5,27,7.5,"21065Puebla2",19.05,-98.167
2017-03-03,0,3.7,27,6.6,"21065Puebla2",19.05,-98.167
2017-03-04,0,3.9,25.2,8.6,"21065Puebla2",19.05,-98.167
2017-03-05,0,5.9,25.6,9,"21065Puebla2",19.05,-98.167
2017-03-06,0,5.6,25.6,9,"21065Puebla2",19.05,-98.167
2017-03-07,0,5.3,26.8,9,"21065Puebla2",19.05,-98.167
2017-03-08,0,4.6,26.4,9,"21065Puebla2",19.05,-98.167
2017-03-09,5.6,5,24.8,9.5,"21065Puebla2",19.05,-98.167
2017-03-10,0.5,5.5,27,9.2,"21065Puebla2",19.05,-98.167
2017-03-11,0,3.5,36.6,9.4,"21065Puebla2",19.05,-98.167
2017-03-12,0.2,4.6,25.6,11,"21065Puebla2",19.05,-98.167
2017-03-13,0,4.9,25.4,10.2,"21065Puebla2",19.05,-98.167
2017-03-14,8.7,5.1,23.4,7.7,"21065Puebla2",19.05,-98.167
2017-03-15,1.9,3.1,21.4,10.7,"21065Puebla2",19.05,-98.167
2017-03-16,0.4,3.6,24.8,6.7,"21065Puebla2",19.05,-98.167
2017-03-17,0,5.1,26.6,8.6,"21065Puebla2",19.05,-98.167
2017-03-18,0,5.8,27.6,8.2,"21065Puebla2",19.05,-98.167
2017-03-19,0,5.3,26.8,5.8,"21065Puebla2",19.05,-98.167
2017-03-20,0,5.6,27.4,7,"21065Puebla2",19.05,-98.167
2017-03-21,0,7.3,28.2,5.7,"21065Puebla2",19.05,-98.167
2017-03-22,0,6.7,27.4,8.5,"21065Puebla2",19.05,-98.167
2017-03-23,0,5.9,27.2,4.7,"21065Puebla2",19.05,-98.167
2017-03-24,0,5.3,29.2,8.4,"21065Puebla2",19.05,-98.167
2017-03-25,0.6,5.7,29.8,10.4,"21065Puebla2",19.05,-98.167
2017-03-26,4.1,5.4,29.8,9.8,"21065Puebla2",19.05,-98.167
2017-03-27,0,4.9,29.4,8.2,"21065Puebla2",19.05,-98.167
2017-03-28,0,6.6,28.6,9.8,"21065Puebla2",19.05,-98.167
2017-03-29,0,6.5,27.8,10.3,"21065Puebla2",19.05,-98.167
2017-03-30,0,6.5,28.6,9.3,"21065Puebla2",19.05,-98.167
2017-03-31,0,4.5,27.4,11.8,"21065Puebla2",19.05,-98.167
2017-04-01,0,7.6,28.6,10.2,"21065Puebla2",19.05,-98.167
2017-04-02,0,6.3,27.8,11.3,"21065Puebla2",19.05,-98.167
2017-04-03,0,6.8,29.2,8.7,"21065Puebla2",19.05,-98.167
2017-04-04,0,7.6,29,10.5,"21065Puebla2",19.05,-98.167
2017-04-05,0,6.1,31.4,9.3,"21065Puebla2",19.05,-98.167
2017-04-06,0,6.4,27.6,11.8,"21065Puebla2",19.05,-98.167
2017-04-07,0,6.3,31.2,10.8,"21065Puebla2",19.05,-98.167
2017-04-08,1.9,3.5,29,12.8,"21065Puebla2",19.05,-98.167
2017-04-09,0.7,6.9,28.4,10.2,"21065Puebla2",19.05,-98.167
2017-04-10,0,4.2,29.2,10.6,"21065Puebla2",19.05,-98.167
2017-04-11,1.7,4.8,28.8,10.8,"21065Puebla2",19.05,-98.167
2017-04-12,0,5,28.2,6.8,"21065Puebla2",19.05,-98.167
2017-04-13,3.4,5.9,27.8,8.5,"21065Puebla2",19.05,-98.167
2017-04-14,1.5,4.1,28.4,8.4,"21065Puebla2",19.05,-98.167
2017-04-15,0,4.8,28.8,9.8,"21065Puebla2",19.05,-98.167
2017-04-16,0.4,5.4,28.8,12.5,"21065Puebla2",19.05,-98.167
2017-04-17,22.8,7.3,27.2,9.4,"21065Puebla2",19.05,-98.167
2017-04-18,0,3.5,23.6,10.3,"21065Puebla2",19.05,-98.167
2017-04-19,1,4.5,25.4,7.1,"21065Puebla2",19.05,-98.167
2017-04-20,0,6,26.2,7.2,"21065Puebla2",19.05,-98.167
2017-04-21,1.4,5.9,27.4,10.2,"21065Puebla2",19.05,-98.167
2017-04-22,0,5.8,29.8,9.6,"21065Puebla2",19.05,-98.167
2017-04-23,2.9,5.9,29.8,8.6,"21065Puebla2",19.05,-98.167
2017-04-24,0,4.7,27.6,9.2,"21065Puebla2",19.05,-98.167
2017-04-25,0,6.7,27.6,11.4,"21065Puebla2",19.05,-98.167
2017-04-26,0,6.6,28.2,13.5,"21065Puebla2",19.05,-98.167
2017-04-27,0,7,29,10.5,"21065Puebla2",19.05,-98.167
2017-04-28,0,4.8,28,13.2,"21065Puebla2",19.05,-98.167
2017-04-29,0,7.5,30.4,12.4,"21065Puebla2",19.05,-98.167
2017-04-30,0,6.9,31.6,10.8,"21065Puebla2",19.05,-98.167
2017-05-01,0,5.7,30.2,13.3,"21065Puebla2",19.05,-98.167
2017-05-02,0,7.4,31.4,14.3,"21065Puebla2",19.05,-98.167
2017-05-03,0.8,6.5,29.4,13.2,"21065Puebla2",19.05,-98.167
2017-05-04,2.8,2.1,27.6,13,"21065Puebla2",19.05,-98.167
2017-05-05,6.7,4.3,27.2,11.6,"21065Puebla2",19.05,-98.167
2017-05-06,0,5.5,28.7,9,"21065Puebla2",19.05,-98.167
2017-05-07,0,5,27.8,12.8,"21065Puebla2",19.05,-98.167
2017-05-08,0,5.6,30.4,13.5,"21065Puebla2",19.05,-98.167
2017-05-09,0,5.4,29.2,12.3,"21065Puebla2",19.05,-98.167
2017-05-10,0,7.4,31.2,12.6,"21065Puebla2",19.05,-98.167
2017-05-11,22.6,9.7,30.4,13,"21065Puebla2",19.05,-98.167
2017-05-12,0.8,6.8,29,12.6,"21065Puebla2",19.05,-98.167
2017-05-13,5.3,4.8,28.6,13.6,"21065Puebla2",19.05,-98.167
2017-05-14,0.4,3.5,28.8,12,"21065Puebla2",19.05,-98.167
2017-05-15,0,6.1,30.2,12.6,"21065Puebla2",19.05,-98.167
2017-05-16,0,8,29.4,16.4,"21065Puebla2",19.05,-98.167
2017-05-17,7.9,7.2,32,15.4,"21065Puebla2",19.05,-98.167
2017-05-18,0,4.7,31.4,14.1,"21065Puebla2",19.05,-98.167
2017-05-19,2.4,7.4,31,15.2,"21065Puebla2",19.05,-98.167
2017-05-20,3.2,5.8,31,15.2,"21065Puebla2",19.05,-98.167
2017-05-21,0,4.6,29.6,12,"21065Puebla2",19.05,-98.167
2017-05-22,0,4.9,30.6,13.6,"21065Puebla2",19.05,-98.167
2017-05-23,0,4.9,28.8,15.6,"21065Puebla2",19.05,-98.167
2017-05-24,0.1,3.8,29,17.6,"21065Puebla2",19.05,-98.167
2017-05-25,0,3.6,25.6,14.7,"21065Puebla2",19.05,-98.167
2017-05-26,3.5,5.8,30.6,13.8,"21065Puebla2",19.05,-98.167
2017-05-27,19.3,6.6,28.8,15.6,"21065Puebla2",19.05,-98.167
2017-05-28,3.9,4.1,28.8,14.2,"21065Puebla2",19.05,-98.167
2017-05-29,6.5,3.7,24.4,14.2,"21065Puebla2",19.05,-98.167
2017-05-30,24.7,4.2,25.2,13.3,"21065Puebla2",19.05,-98.167
2017-05-31,29.6,5.7,22,13.8,"21065Puebla2",19.05,-98.167
