"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2.4,24,2,"21080salvadorseco",19.134,-97.663
2017-01-02,0,2.8,25,3,"21080salvadorseco",19.134,-97.663
2017-01-03,0,2.9,27,3,"21080salvadorseco",19.134,-97.663
2017-01-04,0,2.8,26,0,"21080salvadorseco",19.134,-97.663
2017-01-05,0,3.1,27,0,"21080salvadorseco",19.134,-97.663
2017-01-06,0,3.2,28,1,"21080salvadorseco",19.134,-97.663
2017-01-07,0,2.6,22,2,"21080salvadorseco",19.134,-97.663
2017-01-08,0,2.3,23,-2,"21080salvadorseco",19.134,-97.663
2017-01-09,0,2.4,22,-2,"21080salvadorseco",19.134,-97.663
2017-01-10,0,2.4,23,0,"21080salvadorseco",19.134,-97.663
2017-01-11,0,2.5,24,0,"21080salvadorseco",19.134,-97.663
2017-01-12,0,2.9,25,0,"21080salvadorseco",19.134,-97.663
2017-01-13,0,3,24,-1,"21080salvadorseco",19.134,-97.663
2017-01-14,0,3.1,25,0,"21080salvadorseco",19.134,-97.663
2017-01-15,0,3,26,0,"21080salvadorseco",19.134,-97.663
2017-01-16,0,2.9,24,-1,"21080salvadorseco",19.134,-97.663
2017-01-17,0,3,26,1,"21080salvadorseco",19.134,-97.663
2017-01-18,0,2.9,24,0,"21080salvadorseco",19.134,-97.663
2017-01-19,0,2.7,22,3,"21080salvadorseco",19.134,-97.663
2017-01-20,0,2.5,23,1,"21080salvadorseco",19.134,-97.663
2017-01-21,0,2.8,25,0,"21080salvadorseco",19.134,-97.663
2017-01-22,0,2.9,26,-1,"21080salvadorseco",19.134,-97.663
2017-01-23,0,2.9,26,-2,"21080salvadorseco",19.134,-97.663
2017-01-24,0,2.8,24,-1,"21080salvadorseco",19.134,-97.663
2017-01-25,0,2.8,23,0,"21080salvadorseco",19.134,-97.663
2017-01-26,0,3.1,25,-1,"21080salvadorseco",19.134,-97.663
2017-01-27,0,3.2,26,1,"21080salvadorseco",19.134,-97.663
2017-01-28,0,3,24,0,"21080salvadorseco",19.134,-97.663
2017-01-29,0,2.6,21,0,"21080salvadorseco",19.134,-97.663
2017-01-30,0,2.5,22,-2,"21080salvadorseco",19.134,-97.663
2017-01-31,0,2.6,24,-3,"21080salvadorseco",19.134,-97.663
2017-02-01,0,2.8,23,4,"21080salvadorseco",19.134,-97.663
2017-02-02,0,3.1,25,4,"21080salvadorseco",19.134,-97.663
2017-02-03,0,3.1,24,5,"21080salvadorseco",19.134,-97.663
2017-02-04,0,3.1,26,1,"21080salvadorseco",19.134,-97.663
2017-02-05,0,2.9,24,2,"21080salvadorseco",19.134,-97.663
2017-02-06,0,3,23,1,"21080salvadorseco",19.134,-97.663
2017-02-07,0,3.4,27,2,"21080salvadorseco",19.134,-97.663
2017-02-08,0,5.4,30,4,"21080salvadorseco",19.134,-97.663
2017-02-09,0,2.8,24,3,"21080salvadorseco",19.134,-97.663
2017-02-10,0,3.8,25,-1,"21080salvadorseco",19.134,-97.663
2017-02-11,0,5,25,3,"21080salvadorseco",19.134,-97.663
2017-02-12,0,5.1,26,0,"21080salvadorseco",19.134,-97.663
2017-02-13,0,4.3,25,1,"21080salvadorseco",19.134,-97.663
2017-02-14,0,3.9,22,3,"21080salvadorseco",19.134,-97.663
