"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.2,26,8,"21082Tecamachalco",18.898,-97.728
2017-01-02,0,3.6,24,9,"21082Tecamachalco",18.898,-97.728
2017-01-03,0,3,26,10,"21082Tecamachalco",18.898,-97.728
2017-01-04,0,3.2,25,4,"21082Tecamachalco",18.898,-97.728
2017-01-05,0,2.2,26,3,"21082Tecamachalco",18.898,-97.728
2017-01-06,0,5,27,2,"21082Tecamachalco",18.898,-97.728
2017-01-07,0,0.7,21,6,"21082Tecamachalco",18.898,-97.728
2017-01-08,0,2,17,6,"21082Tecamachalco",18.898,-97.728
2017-01-09,0,2.2,21,3,"21082Tecamachalco",18.898,-97.728
2017-01-10,0,2,24,2,"21082Tecamachalco",18.898,-97.728
2017-01-11,0,2.2,24,2,"21082Tecamachalco",18.898,-97.728
2017-01-12,0,3.7,22,3,"21082Tecamachalco",18.898,-97.728
2017-01-13,0,1.3,26,2,"21082Tecamachalco",18.898,-97.728
2017-01-14,0,4.6,21,3,"21082Tecamachalco",18.898,-97.728
2017-01-15,0,2.1,24,5,"21082Tecamachalco",18.898,-97.728
2017-01-16,0,1.3,25,3,"21082Tecamachalco",18.898,-97.728
2017-01-17,0,2.3,25,4,"21082Tecamachalco",18.898,-97.728
2017-01-18,0,2.8,25,5,"21082Tecamachalco",18.898,-97.728
2017-01-19,0,3.4,24,4,"21082Tecamachalco",18.898,-97.728
2017-01-20,0,1.4,22,5,"21082Tecamachalco",18.898,-97.728
2017-01-21,0,2.3,23,4,"21082Tecamachalco",18.898,-97.728
2017-01-22,0,5,28,5,"21082Tecamachalco",18.898,-97.728
2017-01-23,0,2.1,24,6,"21082Tecamachalco",18.898,-97.728
2017-01-24,0,3.1,24,1,"21082Tecamachalco",18.898,-97.728
2017-01-25,0,2.3,23,1,"21082Tecamachalco",18.898,-97.728
2017-01-26,0,3.1,27,4,"21082Tecamachalco",18.898,-97.728
2017-01-27,0,3.2,26,4,"21082Tecamachalco",18.898,-97.728
2017-01-28,0,3.2,26,5,"21082Tecamachalco",18.898,-97.728
2017-01-29,0,4.3,18,4,"21082Tecamachalco",18.898,-97.728
2017-01-30,0,2,21,3,"21082Tecamachalco",18.898,-97.728
2017-01-31,0,2.6,24,2,"21082Tecamachalco",18.898,-97.728
2017-02-01,0,3,25,3,"21082Tecamachalco",18.898,-97.728
2017-02-02,0,3.9,26,5,"21082Tecamachalco",18.898,-97.728
2017-02-03,0,4.4,23,7,"21082Tecamachalco",18.898,-97.728
2017-02-04,0,2.6,24,7,"21082Tecamachalco",18.898,-97.728
2017-02-05,0,3.4,25,6,"21082Tecamachalco",18.898,-97.728
2017-02-06,0,3.1,26,5,"21082Tecamachalco",18.898,-97.728
2017-02-07,0,3.5,27,5,"21082Tecamachalco",18.898,-97.728
2017-02-08,0,6.5,29,6,"21082Tecamachalco",18.898,-97.728
2017-02-09,0,2.8,24,7,"21082Tecamachalco",18.898,-97.728
2017-02-10,0,2.4,24,7,"21082Tecamachalco",18.898,-97.728
2017-02-11,0,3.2,26,4,"21082Tecamachalco",18.898,-97.728
2017-02-12,0,2.7,25,6,"21082Tecamachalco",18.898,-97.728
2017-02-13,0,3.8,26,3,"21082Tecamachalco",18.898,-97.728
2017-02-14,0,4,24,4,"21082Tecamachalco",18.898,-97.728
2017-02-15,0,3.1,25,7,"21082Tecamachalco",18.898,-97.728
2017-02-16,0,2.9,27,7,"21082Tecamachalco",18.898,-97.728
2017-02-17,0,2.5,23,9,"21082Tecamachalco",18.898,-97.728
2017-02-18,0,3.3,25,3,"21082Tecamachalco",18.898,-97.728
2017-02-19,0,4.5,24,4,"21082Tecamachalco",18.898,-97.728
2017-02-20,0,3.7,25,6,"21082Tecamachalco",18.898,-97.728
2017-02-21,0,3,26,6,"21082Tecamachalco",18.898,-97.728
2017-02-22,0,3.9,27,7,"21082Tecamachalco",18.898,-97.728
2017-02-23,0,4,26,8,"21082Tecamachalco",18.898,-97.728
2017-02-24,0,3.8,25,4,"21082Tecamachalco",18.898,-97.728
2017-02-25,0,3.2,27,6,"21082Tecamachalco",18.898,-97.728
2017-02-26,0,3.5,26,8,"21082Tecamachalco",18.898,-97.728
