"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2.3,15.5,9,"21084Telpatlan",18.528,-97.145
2017-01-02,0,2.5,18.5,11,"21084Telpatlan",18.528,-97.145
2017-01-03,0,1.4,15.5,13,"21084Telpatlan",18.528,-97.145
2017-01-04,0,4.3,17.5,10,"21084Telpatlan",18.528,-97.145
2017-01-05,0,1.8,19.5,11,"21084Telpatlan",18.528,-97.145
2017-01-06,2,3.8,16,13,"21084Telpatlan",18.528,-97.145
2017-01-07,7,0.9,13,10,"21084Telpatlan",18.528,-97.145
2017-01-08,5,0.6,10.5,6,"21084Telpatlan",18.528,-97.145
2017-01-09,0,1.2,12.5,4,"21084Telpatlan",18.528,-97.145
2017-01-10,0,2.7,11.5,5,"21084Telpatlan",18.528,-97.145
2017-01-11,0,2.7,13.5,4,"21084Telpatlan",18.528,-97.145
2017-01-12,0,3.7,15.5,7,"21084Telpatlan",18.528,-97.145
2017-01-13,0,0.8,17.5,9,"21084Telpatlan",18.528,-97.145
2017-01-14,0,2.4,14.5,10,"21084Telpatlan",18.528,-97.145
2017-01-15,0,3.9,16.5,8,"21084Telpatlan",18.528,-97.145
2017-01-16,0,1.5,13.5,10,"21084Telpatlan",18.528,-97.145
2017-01-17,0,1.5,15.5,7,"21084Telpatlan",18.528,-97.145
2017-01-18,0,2.6,17.5,9,"21084Telpatlan",18.528,-97.145
2017-01-19,0,1.2,19.5,11,"21084Telpatlan",18.528,-97.145
2017-01-20,0,3.1,16,13,"21084Telpatlan",18.528,-97.145
2017-01-21,0,2.9,13.5,10,"21084Telpatlan",18.528,-97.145
2017-01-22,0,4.2,15.5,8,"21084Telpatlan",18.528,-97.145
2017-01-23,0,1.8,13.5,9,"21084Telpatlan",18.528,-97.145
2017-01-24,0,3.6,16.5,7,"21084Telpatlan",18.528,-97.145
2017-01-25,0,3.1,18.5,9,"21084Telpatlan",18.528,-97.145
2017-01-26,0,3.2,15.5,11,"21084Telpatlan",18.528,-97.145
2017-01-27,0,4.3,14,10,"21084Telpatlan",18.528,-97.145
2017-01-28,2,2.9,12.5,8,"21084Telpatlan",18.528,-97.145
2017-01-29,5,0.5,10.5,7,"21084Telpatlan",18.528,-97.145
2017-01-30,0,0.4,12.5,5,"21084Telpatlan",18.528,-97.145
2017-01-31,0,2.3,14.5,7,"21084Telpatlan",18.528,-97.145
2017-02-01,0,3.1,13.5,9,"21084Telpatlan",18.528,-97.145
2017-02-02,0,2.5,12.5,8,"21084Telpatlan",18.528,-97.145
2017-02-03,2,0.7,10.5,7,"21084Telpatlan",18.528,-97.145
2017-02-04,3,4.5,11.5,5,"21084Telpatlan",18.528,-97.145
2017-02-05,0,1.9,13.5,6,"21084Telpatlan",18.528,-97.145
2017-02-06,0,2.3,12.5,7,"21084Telpatlan",18.528,-97.145
2017-02-07,0,2.9,14.5,6,"21084Telpatlan",18.528,-97.145
2017-02-08,0,1.9,16.5,9,"21084Telpatlan",18.528,-97.145
2017-02-09,0,2.7,13,11,"21084Telpatlan",18.528,-97.145
2017-02-10,0,2.2,10.5,7,"21084Telpatlan",18.528,-97.145
2017-02-11,0,2.3,12.5,5,"21084Telpatlan",18.528,-97.145
2017-02-12,0,3.1,15.5,7,"21084Telpatlan",18.528,-97.145
2017-02-13,0,3.4,17.5,9,"21084Telpatlan",18.528,-97.145
2017-02-14,0,3.8,16.5,11,"21084Telpatlan",18.528,-97.145
2017-02-15,0,3.3,14.5,10,"21084Telpatlan",18.528,-97.145
2017-02-16,0,2.8,17.5,8,"21084Telpatlan",18.528,-97.145
2017-02-17,0,4.2,15.5,10,"21084Telpatlan",18.528,-97.145
2017-02-18,0,4.9,17.5,8,"21084Telpatlan",18.528,-97.145
2017-02-19,0,3.8,16.5,10,"21084Telpatlan",18.528,-97.145
2017-02-20,0,2.8,17.5,9,"21084Telpatlan",18.528,-97.145
2017-02-21,0,1.1,13,11,"21084Telpatlan",18.528,-97.145
2017-02-22,0,4.7,14.5,6,"21084Telpatlan",18.528,-97.145
2017-02-23,0,3.7,17.5,8,"21084Telpatlan",18.528,-97.145
2017-02-24,0,4.9,15.5,10,"21084Telpatlan",18.528,-97.145
2017-02-25,0,5.2,17.5,7,"21084Telpatlan",18.528,-97.145
2017-02-26,0,2.9,19.5,9,"21084Telpatlan",18.528,-97.145
2017-02-27,0,3.9,18.5,11,"21084Telpatlan",18.528,-97.145
2017-02-28,0,3.6,20.5,10,"21084Telpatlan",18.528,-97.145
2017-03-01,0,3.1,22.5,11,"21084Telpatlan",18.528,-97.145
2017-03-02,0,1.7,13.5,7,"21084Telpatlan",18.528,-97.145
2017-03-03,4,4,10.5,8,"21084Telpatlan",18.528,-97.145
2017-03-04,2,2,12.5,6,"21084Telpatlan",18.528,-97.145
2017-03-05,0,4.8,9.5,7,"21084Telpatlan",18.528,-97.145
2017-03-06,0,2.9,11.5,5,"21084Telpatlan",18.528,-97.145
2017-03-07,0,4.4,13.5,7,"21084Telpatlan",18.528,-97.145
2017-03-08,0,3.8,12.5,9,"21084Telpatlan",18.528,-97.145
2017-03-09,0,3.8,10.5,8,"21084Telpatlan",18.528,-97.145
2017-03-10,0,2.8,13.5,6,"21084Telpatlan",18.528,-97.145
2017-03-11,0,5.9,15.5,8,"21084Telpatlan",18.528,-97.145
2017-03-12,18,4.2,17.5,10,"21084Telpatlan",18.528,-97.145
2017-03-13,2,4.3,13.5,11,"21084Telpatlan",18.528,-97.145
2017-03-14,2,0.4,11.5,8,"21084Telpatlan",18.528,-97.145
2017-03-15,6,9.3,13.5,6,"21084Telpatlan",18.528,-97.145
2017-03-16,0,2.8,10.5,8,"21084Telpatlan",18.528,-97.145
2017-03-17,0,3.3,13.5,5,"21084Telpatlan",18.528,-97.145
2017-03-18,0,5.2,15.5,7,"21084Telpatlan",18.528,-97.145
2017-03-19,0,1.9,17.5,9,"21084Telpatlan",18.528,-97.145
2017-03-20,0,2.6,19.5,10,"21084Telpatlan",18.528,-97.145
2017-03-21,6,7.8,14.5,11,"21084Telpatlan",18.528,-97.145
2017-03-22,0,2.7,12.5,9,"21084Telpatlan",18.528,-97.145
2017-03-23,0,4.7,14.5,7,"21084Telpatlan",18.528,-97.145
2017-03-24,0,3.4,17.5,9,"21084Telpatlan",18.528,-97.145
2017-03-25,0,5.1,19.5,11,"21084Telpatlan",18.528,-97.145
2017-03-26,0,4.5,18.5,13,"21084Telpatlan",18.528,-97.145
2017-03-27,0,6.6,20.5,12,"21084Telpatlan",18.528,-97.145
2017-03-28,0,3.7,18.5,13,"21084Telpatlan",18.528,-97.145
2017-03-29,0,6.1,22.5,11,"21084Telpatlan",18.528,-97.145
2017-03-30,0,1.4,18.5,12,"21084Telpatlan",18.528,-97.145
2017-03-31,0,2.3,20.5,10,"21084Telpatlan",18.528,-97.145
2017-04-01,0,8.2,18.5,12,"21084Telpatlan",18.528,-97.145
2017-04-02,0,3.6,20.5,11,"21084Telpatlan",18.528,-97.145
2017-04-03,0,6.7,19.5,14,"21084Telpatlan",18.528,-97.145
2017-04-04,0,7.7,22.5,13,"21084Telpatlan",18.528,-97.145
2017-04-05,3,6.8,20.5,12,"21084Telpatlan",18.528,-97.145
2017-04-06,2,5.2,15,11,"21084Telpatlan",18.528,-97.145
2017-04-07,0,4.2,16.5,7,"21084Telpatlan",18.528,-97.145
2017-04-08,6,6,18.5,9,"21084Telpatlan",18.528,-97.145
2017-04-09,7,2.8,20.5,11,"21084Telpatlan",18.528,-97.145
2017-04-10,0,5.3,17.5,13,"21084Telpatlan",18.528,-97.145
2017-04-11,0,8.1,15.5,11,"21084Telpatlan",18.528,-97.145
2017-04-12,0,5.7,18.5,8,"21084Telpatlan",18.528,-97.145
2017-04-13,0,4.1,14.5,10,"21084Telpatlan",18.528,-97.145
2017-04-14,0,7.1,16.5,7,"21084Telpatlan",18.528,-97.145
2017-04-15,0,4.1,13.5,9,"21084Telpatlan",18.528,-97.145
2017-04-16,19,5.5,16.5,6,"21084Telpatlan",18.528,-97.145
2017-04-17,13,2.7,18.5,9,"21084Telpatlan",18.528,-97.145
2017-04-18,10,1.9,14.5,10,"21084Telpatlan",18.528,-97.145
2017-04-19,9,1.5,16.5,7,"21084Telpatlan",18.528,-97.145
2017-04-20,0,1.2,18.5,9,"21084Telpatlan",18.528,-97.145
2017-04-21,0,3.2,15.5,11,"21084Telpatlan",18.528,-97.145
2017-04-22,0,3.5,13.5,10,"21084Telpatlan",18.528,-97.145
2017-04-23,0,4.4,16.5,7,"21084Telpatlan",18.528,-97.145
2017-04-24,0,9.5,18.5,9,"21084Telpatlan",18.528,-97.145
2017-04-25,0,1.6,20.5,11,"21084Telpatlan",18.528,-97.145
