"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.7,24,8,"21119Libres",19.5,-97.758
2017-01-02,0,4.2,25,9,"21119Libres",19.5,-97.758
2017-01-03,0,2.8,24,6,"21119Libres",19.5,-97.758
2017-01-04,0,2.3,26,3,"21119Libres",19.5,-97.758
2017-01-05,0,4.3,27,4,"21119Libres",19.5,-97.758
2017-01-06,0,3.4,26,6,"21119Libres",19.5,-97.758
2017-01-07,0,2.7,9,6,"21119Libres",19.5,-97.758
2017-01-08,0,2.4,19,3,"21119Libres",19.5,-97.758
2017-01-09,0,2.5,22,-2,"21119Libres",19.5,-97.758
2017-01-10,0,3.2,23,0,"21119Libres",19.5,-97.758
2017-01-11,0,3.3,23,3,"21119Libres",19.5,-97.758
2017-01-12,0,3.2,24,3,"21119Libres",19.5,-97.758
2017-01-13,0,3.3,23,3,"21119Libres",19.5,-97.758
2017-01-14,0,3,18,0,"21119Libres",19.5,-97.758
2017-01-15,0,2,21,0,"21119Libres",19.5,-97.758
2017-01-16,0,3.2,25,3,"21119Libres",19.5,-97.758
2017-01-17,0,3.1,23,4,"21119Libres",19.5,-97.758
2017-01-18,0,3,23,5,"21119Libres",19.5,-97.758
2017-01-19,0,3.2,23,5,"21119Libres",19.5,-97.758
2017-01-20,0,2.3,20,7,"21119Libres",19.5,-97.758
2017-01-21,0,2.4,23,5,"21119Libres",19.5,-97.758
2017-01-22,0,3.4,26,4,"21119Libres",19.5,-97.758
2017-01-23,0,3.2,23,5,"21119Libres",19.5,-97.758
2017-01-24,0,3.2,25,1,"21119Libres",19.5,-97.758
2017-01-25,0,3.5,23,5,"21119Libres",19.5,-97.758
2017-01-26,0,3.2,26,4,"21119Libres",19.5,-97.758
2017-01-27,0,3.3,25,3,"21119Libres",19.5,-97.758
2017-01-28,0,4.2,23,5,"21119Libres",19.5,-97.758
2017-01-29,0,1.9,18,6,"21119Libres",19.5,-97.758
2017-01-30,0,3.1,22,0,"21119Libres",19.5,-97.758
2017-01-31,0,3,25,2,"21119Libres",19.5,-97.758
2017-02-01,0,4.1,24,5,"21119Libres",19.5,-97.758
2017-02-02,0,4.8,22,6,"21119Libres",19.5,-97.758
2017-02-03,0,3,23,5,"21119Libres",19.5,-97.758
2017-02-04,0,3.3,24,6,"21119Libres",19.5,-97.758
2017-02-05,0,3.2,24,5,"21119Libres",19.5,-97.758
2017-02-06,0,3,22,5,"21119Libres",19.5,-97.758
2017-02-07,0,3.4,27,5,"21119Libres",19.5,-97.758
2017-02-08,0,3.4,26,7,"21119Libres",19.5,-97.758
2017-02-09,0,3.3,22,6,"21119Libres",19.5,-97.758
2017-02-10,0,3.7,25,5,"21119Libres",19.5,-97.758
2017-02-11,0,3.8,27,2,"21119Libres",19.5,-97.758
2017-02-12,0,1.8,27,3,"21119Libres",19.5,-97.758
2017-02-13,0,3.4,26,3,"21119Libres",19.5,-97.758
2017-02-14,0,3.1,25,6,"21119Libres",19.5,-97.758
2017-02-15,0,3.1,23,7,"21119Libres",19.5,-97.758
2017-02-16,0,1.8,20,7,"21119Libres",19.5,-97.758
2017-02-17,0,1.9,22,9,"21119Libres",19.5,-97.758
2017-02-18,0,3.1,24,5,"21119Libres",19.5,-97.758
2017-02-19,0,2.9,23,7,"21119Libres",19.5,-97.758
2017-02-20,0,3,24,7,"21119Libres",19.5,-97.758
2017-02-21,0,3.1,28,9,"21119Libres",19.5,-97.758
2017-02-22,0,3.2,24,4,"21119Libres",19.5,-97.758
2017-02-23,0,3.2,25,4,"21119Libres",19.5,-97.758
2017-02-24,0,3.4,27,7,"21119Libres",19.5,-97.758
