"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.2,25,11,"21123Huaquechula",18.779,-98.541
2017-01-02,0,2.9,29,10,"21123Huaquechula",18.779,-98.541
2017-01-03,0,2.7,28,12,"21123Huaquechula",18.779,-98.541
2017-01-04,0,3.4,29,12,"21123Huaquechula",18.779,-98.541
2017-01-05,0,2.2,30,11,"21123Huaquechula",18.779,-98.541
2017-01-06,0,2.3,29,10,"21123Huaquechula",18.779,-98.541
2017-01-07,0,1.7,27,12,"21123Huaquechula",18.779,-98.541
2017-01-08,0,3.1,23,10,"21123Huaquechula",18.779,-98.541
2017-01-09,0,2.2,24,9,"21123Huaquechula",18.779,-98.541
2017-01-10,0,3.2,27,10,"21123Huaquechula",18.779,-98.541
2017-01-11,0,3,29,8,"21123Huaquechula",18.779,-98.541
2017-01-12,0,2.3,28,11,"21123Huaquechula",18.779,-98.541
2017-01-13,0,2.9,25,11,"21123Huaquechula",18.779,-98.541
2017-01-14,0,4,28,9,"21123Huaquechula",18.779,-98.541
2017-01-15,0,3.5,26,10,"21123Huaquechula",18.779,-98.541
2017-01-16,0,3.1,28,9,"21123Huaquechula",18.779,-98.541
2017-01-17,0,2,26,10,"21123Huaquechula",18.779,-98.541
2017-01-18,0,2.6,27,9,"21123Huaquechula",18.779,-98.541
2017-01-19,0,3.5,26,10,"21123Huaquechula",18.779,-98.541
2017-01-20,0,2.9,27,10,"21123Huaquechula",18.779,-98.541
2017-01-21,0,3.5,26,9,"21123Huaquechula",18.779,-98.541
2017-01-22,0,2.9,28,9,"21123Huaquechula",18.779,-98.541
2017-01-23,0,3.1,29,11,"21123Huaquechula",18.779,-98.541
2017-01-24,0,4,28,9,"21123Huaquechula",18.779,-98.541
2017-01-25,0,4.1,27,10,"21123Huaquechula",18.779,-98.541
2017-01-26,0,4.2,28,9,"21123Huaquechula",18.779,-98.541
2017-01-27,0,3,29,11,"21123Huaquechula",18.779,-98.541
2017-01-28,0,3.5,27,10,"21123Huaquechula",18.779,-98.541
2017-01-29,0,3.2,26,9,"21123Huaquechula",18.779,-98.541
2017-01-30,0,3.6,27,10,"21123Huaquechula",18.779,-98.541
2017-01-31,0,3.7,28,9,"21123Huaquechula",18.779,-98.541
2017-02-01,0,2.9,29,10,"21123Huaquechula",18.779,-98.541
2017-02-02,0,4.3,28,11,"21123Huaquechula",18.779,-98.541
2017-02-03,0,3.2,27,9,"21123Huaquechula",18.779,-98.541
2017-02-04,0,4.6,28,10,"21123Huaquechula",18.779,-98.541
2017-02-05,0,3.2,27,12,"21123Huaquechula",18.779,-98.541
2017-02-06,0,4.2,29,11,"21123Huaquechula",18.779,-98.541
2017-02-07,0,4.6,30,12,"21123Huaquechula",18.779,-98.541
2017-02-08,0,5.1,30,13,"21123Huaquechula",18.779,-98.541
2017-02-09,0,5.3,27,15,"21123Huaquechula",18.779,-98.541
2017-02-10,0,4.9,28,10,"21123Huaquechula",18.779,-98.541
2017-02-11,0,5.1,30,11,"21123Huaquechula",18.779,-98.541
2017-02-12,0,5.4,29,12,"21123Huaquechula",18.779,-98.541
2017-02-13,0,4.9,28,12,"21123Huaquechula",18.779,-98.541
2017-02-14,0,4.5,30,13,"21123Huaquechula",18.779,-98.541
2017-02-15,0,4.4,27,12,"21123Huaquechula",18.779,-98.541
2017-02-16,0,4.1,28,11,"21123Huaquechula",18.779,-98.541
2017-02-17,0,3.6,27,11,"21123Huaquechula",18.779,-98.541
2017-02-18,0,3.3,29,10,"21123Huaquechula",18.779,-98.541
2017-02-19,0,4.4,28,10,"21123Huaquechula",18.779,-98.541
2017-02-20,0,4.1,30,11,"21123Huaquechula",18.779,-98.541
2017-02-21,0,4.9,30,13,"21123Huaquechula",18.779,-98.541
2017-02-22,0,5.3,29,12,"21123Huaquechula",18.779,-98.541
2017-02-23,0,5.9,30,11,"21123Huaquechula",18.779,-98.541
2017-02-24,0,5.8,31,10,"21123Huaquechula",18.779,-98.541
2017-02-25,0,4.6,32,11,"21123Huaquechula",18.779,-98.541
2017-02-26,0,5.5,30,12,"21123Huaquechula",18.779,-98.541
2017-02-27,0,5.5,31,11,"21123Huaquechula",18.779,-98.541
2017-02-28,0,4.5,30,12,"21123Huaquechula",18.779,-98.541
2017-03-01,0,5.4,32,11,"21123Huaquechula",18.779,-98.541
2017-03-02,0,5.2,31,12,"21123Huaquechula",18.779,-98.541
2017-03-03,0,5.1,30,14,"21123Huaquechula",18.779,-98.541
2017-03-04,0,5.3,31,13,"21123Huaquechula",18.779,-98.541
2017-03-05,0,5.1,30,15,"21123Huaquechula",18.779,-98.541
2017-03-06,0,5.8,31,14,"21123Huaquechula",18.779,-98.541
2017-03-07,0,6.8,31,13,"21123Huaquechula",18.779,-98.541
2017-03-08,0,7.8,32,14,"21123Huaquechula",18.779,-98.541
2017-03-09,1,6.1,31,15,"21123Huaquechula",18.779,-98.541
2017-03-10,0,5.7,32,11,"21123Huaquechula",18.779,-98.541
2017-03-11,0,5.6,32,14,"21123Huaquechula",18.779,-98.541
2017-03-12,0,5.4,31,16,"21123Huaquechula",18.779,-98.541
2017-03-13,0,3.8,28,14,"21123Huaquechula",18.779,-98.541
2017-03-14,8,5.1,29,10,"21123Huaquechula",18.779,-98.541
2017-03-15,1.5,3.5,28,14,"21123Huaquechula",18.779,-98.541
2017-03-16,0,4.9,27,12,"21123Huaquechula",18.779,-98.541
2017-03-17,0,4.9,30,10,"21123Huaquechula",18.779,-98.541
2017-03-18,0,5.1,29,14,"21123Huaquechula",18.779,-98.541
2017-03-19,0,5.1,28,13,"21123Huaquechula",18.779,-98.541
2017-03-20,0,6.4,31,11,"21123Huaquechula",18.779,-98.541
2017-03-21,0,7,30,12,"21123Huaquechula",18.779,-98.541
2017-03-22,0,7.2,31,11,"21123Huaquechula",18.779,-98.541
2017-03-23,0,5.6,29,10,"21123Huaquechula",18.779,-98.541
2017-03-24,0,5.1,30,13,"21123Huaquechula",18.779,-98.541
2017-03-25,6,5,27,15,"21123Huaquechula",18.779,-98.541
2017-03-26,2.5,5.6,29,12,"21123Huaquechula",18.779,-98.541
2017-03-27,0,6.5,30,13,"21123Huaquechula",18.779,-98.541
2017-03-28,0,5.1,30,15,"21123Huaquechula",18.779,-98.541
2017-03-29,0,6.5,29,14,"21123Huaquechula",18.779,-98.541
2017-03-30,0,6.8,30,15,"21123Huaquechula",18.779,-98.541
2017-03-31,0,7.2,31,15,"21123Huaquechula",18.779,-98.541
2017-04-01,0,7.4,27,16,"21123Huaquechula",18.779,-98.541
2017-04-02,0,7.2,29,12,"21123Huaquechula",18.779,-98.541
2017-04-03,0,7.4,29,13,"21123Huaquechula",18.779,-98.541
2017-04-04,0,5.9,30,12,"21123Huaquechula",18.779,-98.541
2017-04-05,0,6.1,31,12,"21123Huaquechula",18.779,-98.541
2017-04-06,0,6.6,30,15,"21123Huaquechula",18.779,-98.541
2017-04-07,2,8.5,27,14,"21123Huaquechula",18.779,-98.541
2017-04-08,0.2,4.8,28,12,"21123Huaquechula",18.779,-98.541
2017-04-09,0,5.4,30,13,"21123Huaquechula",18.779,-98.541
2017-04-10,0,5.4,29,14,"21123Huaquechula",18.779,-98.541
2017-04-11,0,4.9,28,13,"21123Huaquechula",18.779,-98.541
2017-04-12,0,5.3,29,12,"21123Huaquechula",18.779,-98.541
2017-04-13,0,6.8,30,13,"21123Huaquechula",18.779,-98.541
2017-04-14,1,7.2,30,15,"21123Huaquechula",18.779,-98.541
2017-04-15,6.5,3.8,29,14,"21123Huaquechula",18.779,-98.541
2017-04-16,0,4.5,30,13,"21123Huaquechula",18.779,-98.541
2017-04-17,0,5.6,30,13,"21123Huaquechula",18.779,-98.541
2017-04-18,3.8,5.5,26,14,"21123Huaquechula",18.779,-98.541
2017-04-19,0,4.9,28,10,"21123Huaquechula",18.779,-98.541
2017-04-20,0,6.1,30,11,"21123Huaquechula",18.779,-98.541
2017-04-21,0,5.8,30,13,"21123Huaquechula",18.779,-98.541
2017-04-22,0,6.1,29,14,"21123Huaquechula",18.779,-98.541
2017-04-23,0,6.5,30,12,"21123Huaquechula",18.779,-98.541
2017-04-24,0,6.7,28,15,"21123Huaquechula",18.779,-98.541
2017-04-25,0,1.3,31,12,"21123Huaquechula",18.779,-98.541
2017-04-26,0,10.1,19,13,"21123Huaquechula",18.779,-98.541
2017-04-27,0,6.9,32,14,"21123Huaquechula",18.779,-98.541
2017-04-28,0,5.8,28,15,"21123Huaquechula",18.779,-98.541
2017-04-29,0,6.3,30,14,"21123Huaquechula",18.779,-98.541
2017-04-30,0,6.3,31,14,"21123Huaquechula",18.779,-98.541
2017-05-01,0,5.8,30,15,"21123Huaquechula",18.779,-98.541
2017-05-02,6.8,7.9,30,16,"21123Huaquechula",18.779,-98.541
2017-05-03,0,6.8,31,14,"21123Huaquechula",18.779,-98.541
2017-05-04,0,6.7,30,15,"21123Huaquechula",18.779,-98.541
2017-05-05,3.7,5.7,30,13,"21123Huaquechula",18.779,-98.541
2017-05-06,0,5.8,31,14,"21123Huaquechula",18.779,-98.541
2017-05-07,3.2,5.7,30,16,"21123Huaquechula",18.779,-98.541
2017-05-08,8,5.7,29,15,"21123Huaquechula",18.779,-98.541
2017-05-09,0,5.2,31,14,"21123Huaquechula",18.779,-98.541
2017-05-10,0,5.8,30,15,"21123Huaquechula",18.779,-98.541
2017-05-11,11.2,6.1,29,16,"21123Huaquechula",18.779,-98.541
2017-05-12,0.5,6.4,29,15,"21123Huaquechula",18.779,-98.541
2017-05-13,0,6.2,31,16,"21123Huaquechula",18.779,-98.541
2017-05-14,0,5.9,30,16,"21123Huaquechula",18.779,-98.541
2017-05-15,0,5.3,30,16,"21123Huaquechula",18.779,-98.541
2017-05-16,0,5.9,31,16,"21123Huaquechula",18.779,-98.541
2017-05-17,0,5.6,31,17,"21123Huaquechula",18.779,-98.541
2017-05-18,25,6.4,30,18,"21123Huaquechula",18.779,-98.541
2017-05-19,2.3,7.2,32,17,"21123Huaquechula",18.779,-98.541
2017-05-20,0,6.9,31,18,"21123Huaquechula",18.779,-98.541
2017-05-21,0,6.3,32,17,"21123Huaquechula",18.779,-98.541
2017-05-22,0,5.8,32,18,"21123Huaquechula",18.779,-98.541
2017-05-23,0,5.3,33,19,"21123Huaquechula",18.779,-98.541
2017-05-24,0.5,1.5,32,18,"21123Huaquechula",18.779,-98.541
2017-05-25,0,5.8,30,17,"21123Huaquechula",18.779,-98.541
2017-05-26,2,5.4,31,16,"21123Huaquechula",18.779,-98.541
2017-05-27,1.5,5.7,30,18,"21123Huaquechula",18.779,-98.541
2017-05-28,4.1,5.4,30,17,"21123Huaquechula",18.779,-98.541
2017-05-29,11.6,6.1,28,16,"21123Huaquechula",18.779,-98.541
2017-05-30,16,4.3,27,17,"21123Huaquechula",18.779,-98.541
2017-05-31,15.2,3.4,26,15,"21123Huaquechula",18.779,-98.541
2017-06-01,2.5,4.3,27,15,"21123Huaquechula",18.779,-98.541
2017-06-02,6,4,29,14,"21123Huaquechula",18.779,-98.541
2017-06-03,0,4.4,30,16,"21123Huaquechula",18.779,-98.541
2017-06-04,3,4.7,29,17,"21123Huaquechula",18.779,-98.541
2017-06-05,0,5.1,29,16,"21123Huaquechula",18.779,-98.541
2017-06-06,4.2,4.5,29,15,"21123Huaquechula",18.779,-98.541
2017-06-07,12.3,4.8,28,14,"21123Huaquechula",18.779,-98.541
2017-06-08,0,4.6,29,16,"21123Huaquechula",18.779,-98.541
2017-06-09,0,4.5,27,15,"21123Huaquechula",18.779,-98.541
2017-06-10,0,4.7,28,17,"21123Huaquechula",18.779,-98.541
2017-06-11,1,5.4,29,15,"21123Huaquechula",18.779,-98.541
2017-06-12,0,4.1,30,15,"21123Huaquechula",18.779,-98.541
2017-06-13,7,4.3,31,17,"21123Huaquechula",18.779,-98.541
2017-06-14,21.3,4.1,29,16,"21123Huaquechula",18.779,-98.541
2017-06-15,6.2,4.2,30,15,"21123Huaquechula",18.779,-98.541
2017-06-16,6.8,4.8,30,14,"21123Huaquechula",18.779,-98.541
2017-06-17,0,4.3,29,15,"21123Huaquechula",18.779,-98.541
2017-06-18,0,4.3,30,15,"21123Huaquechula",18.779,-98.541
2017-06-19,14,4.7,29,16,"21123Huaquechula",18.779,-98.541
2017-06-20,0,4.1,29,14,"21123Huaquechula",18.779,-98.541
2017-06-21,0,5.8,30,13,"21123Huaquechula",18.779,-98.541
2017-06-22,2,5.6,30,15,"21123Huaquechula",18.779,-98.541
2017-06-23,4.9,5.8,29,14,"21123Huaquechula",18.779,-98.541
2017-06-24,6,5.1,30,16,"21123Huaquechula",18.779,-98.541
2017-06-25,16,4.5,27,17,"21123Huaquechula",18.779,-98.541
2017-06-26,0.3,3.5,29,14,"21123Huaquechula",18.779,-98.541
2017-06-27,12,3.7,28,15,"21123Huaquechula",18.779,-98.541
2017-06-28,4,3.5,26,15,"21123Huaquechula",18.779,-98.541
2017-06-29,23,3.5,27,14,"21123Huaquechula",18.779,-98.541
2017-06-30,11,4.1,27,15,"21123Huaquechula",18.779,-98.541
2017-07-01,0,4.4,27,17,"21123Huaquechula",18.779,-98.541
2017-07-02,0,4.4,29,15,"21123Huaquechula",18.779,-98.541
2017-07-03,0,5.1,28,16,"21123Huaquechula",18.779,-98.541
2017-07-04,6.2,5.2,29,15,"21123Huaquechula",18.779,-98.541
2017-07-05,17.8,4.8,29,14,"21123Huaquechula",18.779,-98.541
2017-07-06,19,4.8,28,13,"21123Huaquechula",18.779,-98.541
2017-07-07,49,NA,28,14,"21123Huaquechula",18.779,-98.541
2017-07-08,8.3,4.8,27,15,"21123Huaquechula",18.779,-98.541
2017-07-09,16,3.7,23,16,"21123Huaquechula",18.779,-98.541
2017-07-10,9.2,3.3,25,14,"21123Huaquechula",18.779,-98.541
2017-07-11,0.5,3.1,27,14,"21123Huaquechula",18.779,-98.541
2017-07-12,3.8,4.5,28,15,"21123Huaquechula",18.779,-98.541
2017-07-13,0,4.8,30,16,"21123Huaquechula",18.779,-98.541
2017-07-14,0,4.7,29,14,"21123Huaquechula",18.779,-98.541
2017-07-15,0,5.6,29,13,"21123Huaquechula",18.779,-98.541
2017-07-16,2,4.7,30,14,"21123Huaquechula",18.779,-98.541
2017-07-17,0,4.5,28,13,"21123Huaquechula",18.779,-98.541
2017-07-18,5.3,4.5,29,15,"21123Huaquechula",18.779,-98.541
2017-07-19,0,4.4,27,16,"21123Huaquechula",18.779,-98.541
2017-07-20,0,4.6,30,15,"21123Huaquechula",18.779,-98.541
2017-07-21,0,4.2,30,13,"21123Huaquechula",18.779,-98.541
2017-07-22,0,4.9,31,15,"21123Huaquechula",18.779,-98.541
2017-07-23,22,4.5,28,16,"21123Huaquechula",18.779,-98.541
2017-07-24,0,3.4,28,16,"21123Huaquechula",18.779,-98.541
2017-07-25,60,3.4,29,16,"21123Huaquechula",18.779,-98.541
2017-07-26,29,3.9,29,15,"21123Huaquechula",18.779,-98.541
2017-07-27,0,3.6,28,13,"21123Huaquechula",18.779,-98.541
2017-07-28,0,4.1,30,14,"21123Huaquechula",18.779,-98.541
2017-07-29,5.7,5.2,29,14,"21123Huaquechula",18.779,-98.541
2017-07-30,15,4.1,30,14,"21123Huaquechula",18.779,-98.541
2017-07-31,23,4.4,30,15,"21123Huaquechula",18.779,-98.541
2017-08-01,0,4.7,29,14,"21123Huaquechula",18.779,-98.541
2017-08-02,0,4.4,30,15,"21123Huaquechula",18.779,-98.541
2017-08-03,21.5,5.3,30,15,"21123Huaquechula",18.779,-98.541
2017-08-04,10,5.7,28,16,"21123Huaquechula",18.779,-98.541
2017-08-05,0,5.1,30,15,"21123Huaquechula",18.779,-98.541
2017-08-06,0,4.2,31,16,"21123Huaquechula",18.779,-98.541
2017-08-07,0,5.2,30,15,"21123Huaquechula",18.779,-98.541
2017-08-08,1,4.6,30,14,"21123Huaquechula",18.779,-98.541
2017-08-09,16,4.6,26,13,"21123Huaquechula",18.779,-98.541
2017-08-10,18,3.3,20,15,"21123Huaquechula",18.779,-98.541
2017-08-11,0,3.8,28,13,"21123Huaquechula",18.779,-98.541
2017-08-12,0,3.8,29,14,"21123Huaquechula",18.779,-98.541
2017-08-13,7,3.9,30,14,"21123Huaquechula",18.779,-98.541
2017-08-14,0,4.7,29,13,"21123Huaquechula",18.779,-98.541
2017-08-15,18.8,5.1,29,14,"21123Huaquechula",18.779,-98.541
2017-08-16,3.5,4.5,29,15,"21123Huaquechula",18.779,-98.541
2017-08-17,0,4,28,15,"21123Huaquechula",18.779,-98.541
2017-08-18,2,4.7,29,14,"21123Huaquechula",18.779,-98.541
2017-08-19,0,4.3,30,16,"21123Huaquechula",18.779,-98.541
2017-08-20,0,5,30,15,"21123Huaquechula",18.779,-98.541
2017-08-21,0,4.7,30,14,"21123Huaquechula",18.779,-98.541
2017-08-22,4.5,6.2,31,15,"21123Huaquechula",18.779,-98.541
2017-08-23,8.3,4.9,30,16,"21123Huaquechula",18.779,-98.541
2017-08-24,5,4.9,29,15,"21123Huaquechula",18.779,-98.541
2017-08-25,5.5,5,30,15,"21123Huaquechula",18.779,-98.541
2017-08-26,37,4.6,29,17,"21123Huaquechula",18.779,-98.541
2017-08-27,25.2,5.9,28,16,"21123Huaquechula",18.779,-98.541
2017-08-28,46,NA,28,15,"21123Huaquechula",18.779,-98.541
2017-08-29,27,3.4,27,16,"21123Huaquechula",18.779,-98.541
2017-08-30,36,3.8,24,15,"21123Huaquechula",18.779,-98.541
2017-08-31,28,4.6,27,16,"21123Huaquechula",18.779,-98.541
2017-09-01,0,3.5,24,15,"21123Huaquechula",18.779,-98.541
2017-09-02,1,2.9,26,17,"21123Huaquechula",18.779,-98.541
2017-09-03,35.3,3.9,29,16,"21123Huaquechula",18.779,-98.541
2017-09-04,0,3.4,27,15,"21123Huaquechula",18.779,-98.541
2017-09-05,2,3.7,28,14,"21123Huaquechula",18.779,-98.541
2017-09-06,6,3.5,26,16,"21123Huaquechula",18.779,-98.541
2017-09-07,1,3.1,27,15,"21123Huaquechula",18.779,-98.541
2017-09-08,6.5,3.3,26,15,"21123Huaquechula",18.779,-98.541
2017-09-09,11,2.8,27,16,"21123Huaquechula",18.779,-98.541
2017-09-10,2,2.6,24,14,"21123Huaquechula",18.779,-98.541
2017-09-11,0,2.8,28,11,"21123Huaquechula",18.779,-98.541
2017-09-12,0,3,29,13,"21123Huaquechula",18.779,-98.541
2017-09-13,5,2.4,28,14,"21123Huaquechula",18.779,-98.541
2017-09-14,2,2.7,27,15,"21123Huaquechula",18.779,-98.541
2017-09-15,2.5,3.7,29,14,"21123Huaquechula",18.779,-98.541
2017-09-16,4,4.6,30,17,"21123Huaquechula",18.779,-98.541
2017-09-17,1,3.2,30,16,"21123Huaquechula",18.779,-98.541
