"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-01-02,0,NA,28,14,"21132Izucar",18.612,-98.468
2017-01-03,0,NA,29,15,"21132Izucar",18.612,-98.468
2017-01-04,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-01-05,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-01-06,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-01-07,0,NA,30,16,"21132Izucar",18.612,-98.468
2017-01-08,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-01-09,0,NA,28,12,"21132Izucar",18.612,-98.468
2017-01-10,0,NA,27,13,"21132Izucar",18.612,-98.468
2017-01-11,0,NA,28,14,"21132Izucar",18.612,-98.468
2017-01-12,0,NA,28,13,"21132Izucar",18.612,-98.468
2017-01-13,0,NA,29,14,"21132Izucar",18.612,-98.468
2017-01-14,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-01-15,0,NA,29,14,"21132Izucar",18.612,-98.468
2017-01-16,0,NA,28,14,"21132Izucar",18.612,-98.468
2017-01-17,0,NA,27,15,"21132Izucar",18.612,-98.468
2017-01-18,0,NA,28,13,"21132Izucar",18.612,-98.468
2017-01-19,0,NA,27,12,"21132Izucar",18.612,-98.468
2017-01-20,0,NA,28,13,"21132Izucar",18.612,-98.468
2017-01-21,0,NA,27,13,"21132Izucar",18.612,-98.468
2017-01-22,0,NA,28,12,"21132Izucar",18.612,-98.468
2017-01-23,0,NA,28,12,"21132Izucar",18.612,-98.468
2017-01-24,0,NA,28,13,"21132Izucar",18.612,-98.468
2017-01-25,0,NA,27,12,"21132Izucar",18.612,-98.468
2017-01-26,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-01-27,0,NA,30,12,"21132Izucar",18.612,-98.468
2017-01-28,0,NA,27,13,"21132Izucar",18.612,-98.468
2017-01-29,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-01-30,0,NA,28,11,"21132Izucar",18.612,-98.468
2017-01-31,0,NA,29,12,"21132Izucar",18.612,-98.468
2017-02-01,0,NA,30,13,"21132Izucar",18.612,-98.468
2017-02-02,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-02-03,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-02-04,0,NA,30,13,"21132Izucar",18.612,-98.468
2017-02-05,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-02-06,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-02-07,0,NA,30,15,"21132Izucar",18.612,-98.468
2017-02-08,0,NA,31,14,"21132Izucar",18.612,-98.468
2017-02-09,0,NA,30,16,"21132Izucar",18.612,-98.468
2017-02-10,0,NA,30,17,"21132Izucar",18.612,-98.468
2017-02-11,0,NA,30,13,"21132Izucar",18.612,-98.468
2017-02-12,0,NA,31,14,"21132Izucar",18.612,-98.468
2017-02-13,0,NA,31,14,"21132Izucar",18.612,-98.468
2017-02-14,0,NA,30,13,"21132Izucar",18.612,-98.468
2017-02-15,0,NA,31,14,"21132Izucar",18.612,-98.468
2017-02-16,0,NA,27,15,"21132Izucar",18.612,-98.468
2017-02-17,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-02-18,0,NA,31,14,"21132Izucar",18.612,-98.468
2017-02-19,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-02-20,0,NA,29,13,"21132Izucar",18.612,-98.468
2017-02-21,0,NA,30,12,"21132Izucar",18.612,-98.468
2017-02-22,0,NA,29,14,"21132Izucar",18.612,-98.468
2017-02-23,0,NA,30,15,"21132Izucar",18.612,-98.468
2017-02-24,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-02-25,0,NA,31,15,"21132Izucar",18.612,-98.468
2017-02-26,0,NA,30,14,"21132Izucar",18.612,-98.468
2017-02-27,0,NA,30,15,"21132Izucar",18.612,-98.468
2017-02-28,0,NA,31,14,"21132Izucar",18.612,-98.468
2017-03-01,0,NA,32,14,"21132Izucar",18.612,-98.468
2017-03-02,0,NA,31,15,"21132Izucar",18.612,-98.468
2017-03-03,0,NA,32,16,"21132Izucar",18.612,-98.468
2017-03-04,0,NA,32,16,"21132Izucar",18.612,-98.468
2017-03-05,0,NA,31,15,"21132Izucar",18.612,-98.468
2017-03-06,0,NA,32,16,"21132Izucar",18.612,-98.468
2017-03-07,0,NA,31,15,"21132Izucar",18.612,-98.468
2017-03-08,0,NA,32,16,"21132Izucar",18.612,-98.468
2017-03-09,1,NA,32,15,"21132Izucar",18.612,-98.468
2017-03-10,0,NA,32,17,"21132Izucar",18.612,-98.468
2017-03-11,0,NA,32,16,"21132Izucar",18.612,-98.468
2017-03-12,0,5.2,31,17,"21132Izucar",18.612,-98.468
2017-03-13,0,5.9,30,16,"21132Izucar",18.612,-98.468
2017-03-14,2,4.9,30,17,"21132Izucar",18.612,-98.468
2017-03-15,0,5.1,30,15,"21132Izucar",18.612,-98.468
2017-03-16,0,6.2,30,13,"21132Izucar",18.612,-98.468
2017-03-17,0,5.8,30,14,"21132Izucar",18.612,-98.468
2017-03-18,0,5.2,31,15,"21132Izucar",18.612,-98.468
2017-03-19,0,5.7,31,16,"21132Izucar",18.612,-98.468
2017-03-20,0,6.3,31,17,"21132Izucar",18.612,-98.468
2017-03-21,0,6.1,32,15,"21132Izucar",18.612,-98.468
2017-03-22,0,6.9,31,15,"21132Izucar",18.612,-98.468
2017-03-23,0,5.7,30,16,"21132Izucar",18.612,-98.468
2017-03-24,0,6.8,32,16,"21132Izucar",18.612,-98.468
2017-03-25,1,5.8,32,17,"21132Izucar",18.612,-98.468
2017-03-26,0,5.6,31,16,"21132Izucar",18.612,-98.468
2017-03-27,0,6.4,33,17,"21132Izucar",18.612,-98.468
2017-03-28,0,6.5,32,18,"21132Izucar",18.612,-98.468
2017-03-29,0,6.1,33,17,"21132Izucar",18.612,-98.468
2017-03-30,0,6.3,32,16,"21132Izucar",18.612,-98.468
2017-03-31,0,6,33,18,"21132Izucar",18.612,-98.468
2017-04-01,0,7,33,17,"21132Izucar",18.612,-98.468
2017-04-02,0,7.2,32,16,"21132Izucar",18.612,-98.468
2017-04-03,0,7.8,33,15,"21132Izucar",18.612,-98.468
2017-04-04,0,7.5,32,16,"21132Izucar",18.612,-98.468
