"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.2,23,5,"21148Canoa",19.132,-98.078
2017-01-02,0,5.9,23,5,"21148Canoa",19.132,-98.078
2017-01-03,0,5.2,24,6,"21148Canoa",19.132,-98.078
2017-01-04,0,5.3,25,4,"21148Canoa",19.132,-98.078
2017-01-05,0,5.5,24,6,"21148Canoa",19.132,-98.078
2017-01-06,0,5.3,24,6,"21148Canoa",19.132,-98.078
2017-01-07,0,4.3,23,6,"21148Canoa",19.132,-98.078
2017-01-08,0,4.4,19,2,"21148Canoa",19.132,-98.078
2017-01-09,0,4.2,18,3,"21148Canoa",19.132,-98.078
2017-01-10,0,5.2,22,2,"21148Canoa",19.132,-98.078
2017-01-11,0,4.5,19,3,"21148Canoa",19.132,-98.078
2017-01-12,0,4.7,23,4,"21148Canoa",19.132,-98.078
2017-01-13,0,4.6,19,6,"21148Canoa",19.132,-98.078
2017-01-14,0,2.3,19,2,"21148Canoa",19.132,-98.078
2017-01-15,0,4.6,21,2,"21148Canoa",19.132,-98.078
2017-01-16,0,4.2,21,2,"21148Canoa",19.132,-98.078
2017-01-17,0,4.3,21,5,"21148Canoa",19.132,-98.078
2017-01-18,0,5.8,22,4,"21148Canoa",19.132,-98.078
2017-01-19,0,4.6,21,6,"21148Canoa",19.132,-98.078
2017-01-20,0,4.2,22,4,"21148Canoa",19.132,-98.078
2017-01-21,0,4.9,21,4,"21148Canoa",19.132,-98.078
2017-01-22,0,5.2,23,2,"21148Canoa",19.132,-98.078
2017-01-23,0,5.6,24,2,"21148Canoa",19.132,-98.078
2017-01-24,0,4.6,23,3,"21148Canoa",19.132,-98.078
2017-01-25,0,5.5,23,2,"21148Canoa",19.132,-98.078
2017-01-26,0,6.2,25,4,"21148Canoa",19.132,-98.078
2017-01-27,0,5.4,23,5,"21148Canoa",19.132,-98.078
2017-01-28,0,5.6,25,6,"21148Canoa",19.132,-98.078
2017-01-29,0,4.5,19,2,"21148Canoa",19.132,-98.078
2017-01-30,0,4.2,21,2,"21148Canoa",19.132,-98.078
2017-01-31,0,4.5,21,2,"21148Canoa",19.132,-98.078
2017-02-01,0,5.4,21,2,"21148Canoa",19.132,-98.078
2017-02-02,0,6.2,23,6,"21148Canoa",19.132,-98.078
2017-02-03,0,4.5,21,4,"21148Canoa",19.132,-98.078
2017-02-04,0,4.4,22,2,"21148Canoa",19.132,-98.078
2017-02-05,0,4.8,22,4,"21148Canoa",19.132,-98.078
2017-02-06,0,5.3,22,6,"21148Canoa",19.132,-98.078
2017-02-07,0,6.1,25,6,"21148Canoa",19.132,-98.078
2017-02-08,0,5.4,25,6,"21148Canoa",19.132,-98.078
2017-02-09,0,4.8,23,4,"21148Canoa",19.132,-98.078
2017-02-10,0,5.6,23,2,"21148Canoa",19.132,-98.078
2017-02-11,0,5.7,24,2,"21148Canoa",19.132,-98.078
2017-02-12,0,4.2,23,4,"21148Canoa",19.132,-98.078
2017-02-13,0,5.4,23,4,"21148Canoa",19.132,-98.078
2017-02-14,0,4.1,22,4,"21148Canoa",19.132,-98.078
2017-02-15,0,3.7,21,6,"21148Canoa",19.132,-98.078
2017-02-16,0,4.5,21,6,"21148Canoa",19.132,-98.078
2017-02-17,0,4.5,19,6,"21148Canoa",19.132,-98.078
2017-02-18,0,4.2,22,2,"21148Canoa",19.132,-98.078
2017-02-19,0,4.3,19,4,"21148Canoa",19.132,-98.078
2017-02-20,0,5.4,26,6,"21148Canoa",19.132,-98.078
2017-02-21,0,4.6,24,8,"21148Canoa",19.132,-98.078
2017-02-22,0,5.1,25,6,"21148Canoa",19.132,-98.078
2017-02-23,0,9.4,22,6,"21148Canoa",19.132,-98.078
2017-02-24,0,6.1,23,4,"21148Canoa",19.132,-98.078
2017-02-25,0,5.6,24,6,"21148Canoa",19.132,-98.078
2017-02-26,0,5.6,24,6,"21148Canoa",19.132,-98.078
2017-02-27,0,4.6,25,6,"21148Canoa",19.132,-98.078
