"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.2,21,8,"21167Calpan",19.106,-98.464
2017-01-02,0,4.8,26,5,"21167Calpan",19.106,-98.464
2017-01-03,0,1,26,6,"21167Calpan",19.106,-98.464
2017-01-04,0,3.6,29,8,"21167Calpan",19.106,-98.464
2017-01-05,0,9.3,25,4,"21167Calpan",19.106,-98.464
2017-01-06,0,4.5,23,7,"21167Calpan",19.106,-98.464
2017-01-07,0,3.6,24,6,"21167Calpan",19.106,-98.464
2017-01-08,0,3.1,21,7,"21167Calpan",19.106,-98.464
2017-01-09,0,7.1,23,2,"21167Calpan",19.106,-98.464
2017-01-10,0,3,22,7,"21167Calpan",19.106,-98.464
2017-01-11,0,4.5,22,6,"21167Calpan",19.106,-98.464
2017-01-12,0,4.2,21,7,"21167Calpan",19.106,-98.464
2017-01-13,0,4.9,23,7,"21167Calpan",19.106,-98.464
2017-01-14,0,5.8,22,8,"21167Calpan",19.106,-98.464
2017-01-15,0,2.8,21,4,"21167Calpan",19.106,-98.464
2017-01-16,0,5,22,7,"21167Calpan",19.106,-98.464
2017-01-17,0,3,21,6,"21167Calpan",19.106,-98.464
2017-01-18,0,4.1,21,6,"21167Calpan",19.106,-98.464
2017-01-19,0,2.8,20,5,"21167Calpan",19.106,-98.464
2017-01-20,0,4.9,21,5,"21167Calpan",19.106,-98.464
2017-01-21,0,3.9,20,6,"21167Calpan",19.106,-98.464
2017-01-22,0,5.2,25,5,"21167Calpan",19.106,-98.464
2017-01-23,0,2.3,25,5,"21167Calpan",19.106,-98.464
2017-01-24,0,6.1,23,6,"21167Calpan",19.106,-98.464
2017-01-25,0,2.9,20,7,"21167Calpan",19.106,-98.464
2017-01-26,0,3.2,24,5,"21167Calpan",19.106,-98.464
2017-01-27,0,6.2,23,5,"21167Calpan",19.106,-98.464
2017-01-28,0,6.2,21,6,"21167Calpan",19.106,-98.464
2017-01-29,0,2.8,18,5,"21167Calpan",19.106,-98.464
2017-01-30,0,6.3,23,2,"21167Calpan",19.106,-98.464
2017-01-31,0,6.5,21,6,"21167Calpan",19.106,-98.464
2017-02-01,0,4.2,22,6,"21167Calpan",19.106,-98.464
2017-02-02,0,3.6,23,5,"21167Calpan",19.106,-98.464
2017-02-03,0,3,22,4,"21167Calpan",19.106,-98.464
2017-02-04,0,5.9,22,6,"21167Calpan",19.106,-98.464
2017-02-05,0,3.9,23,5,"21167Calpan",19.106,-98.464
2017-02-06,0,6.6,22,5,"21167Calpan",19.106,-98.464
2017-02-07,0,4.6,20,6,"21167Calpan",19.106,-98.464
2017-02-08,0,5,20,4,"21167Calpan",19.106,-98.464
2017-02-09,0,10.5,20,4,"21167Calpan",19.106,-98.464
2017-02-10,0,4.5,20,3,"21167Calpan",19.106,-98.464
2017-02-11,0,4.2,24,3,"21167Calpan",19.106,-98.464
2017-02-12,0,4,20,5,"21167Calpan",19.106,-98.464
2017-02-13,0,4.6,22,4,"21167Calpan",19.106,-98.464
2017-02-14,0,3.1,24,6,"21167Calpan",19.106,-98.464
2017-02-15,0,6.1,21,7,"21167Calpan",19.106,-98.464
2017-02-16,0,5.3,20,7,"21167Calpan",19.106,-98.464
2017-02-17,0,2.9,22,4,"21167Calpan",19.106,-98.464
2017-02-18,0,1.9,21,2,"21167Calpan",19.106,-98.464
2017-02-19,0,2.7,21,5,"21167Calpan",19.106,-98.464
2017-02-20,0,1.9,20,4,"21167Calpan",19.106,-98.464
2017-02-21,0,8.6,21,5,"21167Calpan",19.106,-98.464
2017-02-22,0,4.3,25,5,"21167Calpan",19.106,-98.464
2017-02-23,0,5.3,20,4,"21167Calpan",19.106,-98.464
2017-02-24,0,9.2,23,3,"21167Calpan",19.106,-98.464
2017-02-25,0,5.8,23,6,"21167Calpan",19.106,-98.464
2017-02-26,0,5.4,23,4,"21167Calpan",19.106,-98.464
2017-02-27,0,5.1,24,6,"21167Calpan",19.106,-98.464
2017-02-28,0,2.1,22,7,"21167Calpan",19.106,-98.464
2017-03-01,0,5.2,23,7,"21167Calpan",19.106,-98.464
2017-03-02,0,5.4,25,3,"21167Calpan",19.106,-98.464
2017-03-03,0,4.5,28,7,"21167Calpan",19.106,-98.464
2017-03-04,0,1.6,26,5,"21167Calpan",19.106,-98.464
2017-03-05,0,6.7,20,6,"21167Calpan",19.106,-98.464
2017-03-06,0,6.1,22,4,"21167Calpan",19.106,-98.464
2017-03-07,5.3,6.7,25,4,"21167Calpan",19.106,-98.464
2017-03-08,5.3,5.9,27,5,"21167Calpan",19.106,-98.464
2017-03-09,7.3,5.5,28,7,"21167Calpan",19.106,-98.464
2017-03-10,5.5,4.9,27,6,"21167Calpan",19.106,-98.464
2017-03-11,0,4.2,25,6,"21167Calpan",19.106,-98.464
2017-03-12,5.4,8,22,4,"21167Calpan",19.106,-98.464
2017-03-13,0,9.6,21,7,"21167Calpan",19.106,-98.464
2017-03-14,0,3.4,23,6,"21167Calpan",19.106,-98.464
2017-03-15,0,3.2,20,5,"21167Calpan",19.106,-98.464
2017-03-16,0,3.7,24,6,"21167Calpan",19.106,-98.464
2017-03-17,0,6.3,23,4,"21167Calpan",19.106,-98.464
2017-03-18,0,3.8,25,4,"21167Calpan",19.106,-98.464
2017-03-19,0,5.8,21,5,"21167Calpan",19.106,-98.464
2017-03-20,0,4.2,20,4,"21167Calpan",19.106,-98.464
2017-03-21,0,6.4,25,5,"21167Calpan",19.106,-98.464
2017-03-22,0,4.1,23,4,"21167Calpan",19.106,-98.464
2017-03-23,0,4.1,24,7,"21167Calpan",19.106,-98.464
2017-03-24,0,3.3,26,5,"21167Calpan",19.106,-98.464
2017-03-25,0,8.8,28,4,"21167Calpan",19.106,-98.464
2017-03-26,1,5.3,25,7,"21167Calpan",19.106,-98.464
2017-03-27,0,5.9,20,6,"21167Calpan",19.106,-98.464
2017-03-28,0,7.2,25,10,"21167Calpan",19.106,-98.464
2017-03-29,0,5,25,7,"21167Calpan",19.106,-98.464
2017-03-30,0,4.2,26,7,"21167Calpan",19.106,-98.464
2017-03-31,0,4.3,21,8,"21167Calpan",19.106,-98.464
2017-04-01,0,8.2,26,6,"21167Calpan",19.106,-98.464
2017-04-02,0,7,25,6,"21167Calpan",19.106,-98.464
2017-04-03,0,9.9,26,6,"21167Calpan",19.106,-98.464
2017-04-04,0,4.3,29,7,"21167Calpan",19.106,-98.464
2017-04-05,0,6.8,24,8,"21167Calpan",19.106,-98.464
2017-04-06,0,6.1,25,8,"21167Calpan",19.106,-98.464
2017-04-07,0,5.9,20,8,"21167Calpan",19.106,-98.464
2017-04-08,5.5,4.8,25,8,"21167Calpan",19.106,-98.464
2017-04-09,0,5.5,24,9,"21167Calpan",19.106,-98.464
2017-04-10,0,4.5,25,9,"21167Calpan",19.106,-98.464
2017-04-11,0,4.4,25,8,"21167Calpan",19.106,-98.464
2017-04-12,0,7.9,26,7,"21167Calpan",19.106,-98.464
2017-04-13,0,5,25,6,"21167Calpan",19.106,-98.464
2017-04-14,0,2.5,26,4,"21167Calpan",19.106,-98.464
2017-04-15,1.6,8,25,6,"21167Calpan",19.106,-98.464
2017-04-16,0,6.3,26,8,"21167Calpan",19.106,-98.464
2017-04-17,2,3.2,24,7,"21167Calpan",19.106,-98.464
2017-04-18,0,2.1,25,8,"21167Calpan",19.106,-98.464
