"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.8,30,14,"21177Tepexco",18.643,-98.691
2017-01-02,0,4.6,31,13,"21177Tepexco",18.643,-98.691
2017-01-03,0,5.3,31,18,"21177Tepexco",18.643,-98.691
2017-01-04,0,3.7,31,14,"21177Tepexco",18.643,-98.691
2017-01-05,0,4.3,32,14,"21177Tepexco",18.643,-98.691
2017-01-06,0,5.3,31,14,"21177Tepexco",18.643,-98.691
2017-01-07,0,4.7,30,15,"21177Tepexco",18.643,-98.691
2017-01-08,0,4.3,26,1,"21177Tepexco",18.643,-98.691
2017-01-09,0,4.2,29,13,"21177Tepexco",18.643,-98.691
2017-01-10,0,5.3,30,11,"21177Tepexco",18.643,-98.691
2017-01-11,0,5.2,30,11,"21177Tepexco",18.643,-98.691
2017-01-12,0,6.4,31,11,"21177Tepexco",18.643,-98.691
2017-01-13,0,7.1,32,11,"21177Tepexco",18.643,-98.691
2017-01-14,0,5.4,30,13,"21177Tepexco",18.643,-98.691
2017-01-15,0,5.8,30,14,"21177Tepexco",18.643,-98.691
2017-01-16,0,5.1,30,12,"21177Tepexco",18.643,-98.691
2017-01-17,0,4.6,29,12,"21177Tepexco",18.643,-98.691
2017-01-18,0,4.8,30,13,"21177Tepexco",18.643,-98.691
2017-01-19,0,4.2,29,15,"21177Tepexco",18.643,-98.691
2017-01-20,0,5.1,30,13,"21177Tepexco",18.643,-98.691
2017-01-21,0,4,30,11,"21177Tepexco",18.643,-98.691
2017-01-22,0,6.6,32,12,"21177Tepexco",18.643,-98.691
2017-01-23,0,6.4,32,11,"21177Tepexco",18.643,-98.691
2017-01-24,0,5.2,30,13,"21177Tepexco",18.643,-98.691
2017-01-25,0,5.8,30,12,"21177Tepexco",18.643,-98.691
2017-01-26,0,4.8,32,13,"21177Tepexco",18.643,-98.691
2017-01-27,0,3.8,31,12,"21177Tepexco",18.643,-98.691
2017-01-28,0,6.5,30,14,"21177Tepexco",18.643,-98.691
2017-01-29,12,5.3,30,14,"21177Tepexco",18.643,-98.691
2017-01-30,0,3.2,28,14,"21177Tepexco",18.643,-98.691
2017-01-31,0,4.2,30,13,"21177Tepexco",18.643,-98.691
2017-02-01,0,3,31,12,"21177Tepexco",18.643,-98.691
2017-02-02,0,7.3,31,14,"21177Tepexco",18.643,-98.691
2017-02-03,0,8.2,31,15,"21177Tepexco",18.643,-98.691
2017-02-04,0,5.8,30,17,"21177Tepexco",18.643,-98.691
2017-02-05,0,6.2,32,16,"21177Tepexco",18.643,-98.691
2017-02-06,0,8,30,15,"21177Tepexco",18.643,-98.691
2017-02-07,0,7.5,33,15,"21177Tepexco",18.643,-98.691
2017-02-08,0,5.9,33,17,"21177Tepexco",18.643,-98.691
2017-02-09,0,10.1,34,15,"21177Tepexco",18.643,-98.691
2017-02-10,0,7,31,15,"21177Tepexco",18.643,-98.691
2017-02-11,0,6.6,32,16,"21177Tepexco",18.643,-98.691
2017-02-12,0,8.5,31,13,"21177Tepexco",18.643,-98.691
2017-02-13,0,4.7,33,13,"21177Tepexco",18.643,-98.691
2017-02-14,0,7.2,32,13,"21177Tepexco",18.643,-98.691
2017-02-15,0,5.8,32,15,"21177Tepexco",18.643,-98.691
2017-02-16,0,4.1,29,16,"21177Tepexco",18.643,-98.691
2017-02-17,0,5.9,30,14,"21177Tepexco",18.643,-98.691
2017-02-18,0,5.7,30,14,"21177Tepexco",18.643,-98.691
2017-02-19,0,4.2,30,13,"21177Tepexco",18.643,-98.691
2017-02-20,0,6.9,32,15,"21177Tepexco",18.643,-98.691
2017-02-21,0,7.4,33,14,"21177Tepexco",18.643,-98.691
2017-02-22,0,5.7,32,14,"21177Tepexco",18.643,-98.691
2017-02-23,0,5,33,16,"21177Tepexco",18.643,-98.691
2017-02-24,0,6.6,31,13,"21177Tepexco",18.643,-98.691
2017-02-25,0,7,32,11,"21177Tepexco",18.643,-98.691
2017-02-26,0,7.2,32,14,"21177Tepexco",18.643,-98.691
2017-02-27,0,6.6,33,14,"21177Tepexco",18.643,-98.691
2017-02-28,0,5.6,33,14,"21177Tepexco",18.643,-98.691
2017-03-01,0,4,34,16,"21177Tepexco",18.643,-98.691
2017-03-02,0,9.4,33,17,"21177Tepexco",18.643,-98.691
2017-03-03,0,9.8,33,18,"21177Tepexco",18.643,-98.691
2017-03-04,0,7.9,33,17,"21177Tepexco",18.643,-98.691
2017-03-05,0,6.7,33,17,"21177Tepexco",18.643,-98.691
2017-03-06,0,8.6,33,17,"21177Tepexco",18.643,-98.691
2017-03-07,0,6.6,33,20,"21177Tepexco",18.643,-98.691
2017-03-08,0,10.5,33,20,"21177Tepexco",18.643,-98.691
2017-03-09,0,6.1,33,19,"21177Tepexco",18.643,-98.691
2017-03-10,0,7,33,16,"21177Tepexco",18.643,-98.691
2017-03-11,0,7.5,33,16,"21177Tepexco",18.643,-98.691
2017-03-12,0,6.7,33,20,"21177Tepexco",18.643,-98.691
2017-03-13,0,9.8,32,21,"21177Tepexco",18.643,-98.691
2017-03-14,0.5,4.3,31,18,"21177Tepexco",18.643,-98.691
2017-03-15,0,4.6,31,17,"21177Tepexco",18.643,-98.691
2017-03-16,0,8.7,30,16,"21177Tepexco",18.643,-98.691
2017-03-17,0,8.5,33,15,"21177Tepexco",18.643,-98.691
2017-03-18,0,7.8,33,17,"21177Tepexco",18.643,-98.691
2017-03-19,0,9.3,33,17,"21177Tepexco",18.643,-98.691
2017-03-20,0,8.5,33,16,"21177Tepexco",18.643,-98.691
2017-03-21,0,8.9,33,16,"21177Tepexco",18.643,-98.691
2017-03-22,0,8.9,30,17,"21177Tepexco",18.643,-98.691
2017-03-23,0,8.8,31,17,"21177Tepexco",18.643,-98.691
2017-03-24,0,4.8,33,17,"21177Tepexco",18.643,-98.691
2017-03-25,0,6.3,33,18,"21177Tepexco",18.643,-98.691
2017-03-26,0,6.9,33,17,"21177Tepexco",18.643,-98.691
2017-03-27,0,8.1,34,18,"21177Tepexco",18.643,-98.691
2017-03-28,0,5,35,18,"21177Tepexco",18.643,-98.691
2017-03-29,0,7.1,34,18,"21177Tepexco",18.643,-98.691
2017-03-30,0,8.3,34,16,"21177Tepexco",18.643,-98.691
2017-03-31,0,7.6,34,15,"21177Tepexco",18.643,-98.691
2017-04-01,0,5.9,33,16,"21177Tepexco",18.643,-98.691
2017-04-02,0,8.9,34,16,"21177Tepexco",18.643,-98.691
2017-04-03,0,3.3,35,16,"21177Tepexco",18.643,-98.691
2017-04-04,0,8.3,36,17,"21177Tepexco",18.643,-98.691
2017-04-05,0,9.3,36,17,"21177Tepexco",18.643,-98.691
2017-04-06,0,8.1,35,22,"21177Tepexco",18.643,-98.691
2017-04-07,0,8.8,35,22,"21177Tepexco",18.643,-98.691
2017-04-08,0,7.4,35,19,"21177Tepexco",18.643,-98.691
2017-04-09,0,8.9,34,19,"21177Tepexco",18.643,-98.691
2017-04-10,0,8.9,34,19,"21177Tepexco",18.643,-98.691
2017-04-11,1,4.2,33,20,"21177Tepexco",18.643,-98.691
2017-04-12,0,5.2,33,20,"21177Tepexco",18.643,-98.691
2017-04-13,0,0.6,32,19,"21177Tepexco",18.643,-98.691
2017-04-14,0,6.9,33,18,"21177Tepexco",18.643,-98.691
2017-04-15,19,3.1,33,20,"21177Tepexco",18.643,-98.691
2017-04-16,0,5.5,30,19,"21177Tepexco",18.643,-98.691
2017-04-17,0,4.5,32,18,"21177Tepexco",18.643,-98.691
2017-04-18,4,6.3,30,18,"21177Tepexco",18.643,-98.691
2017-04-19,0,5.5,28,14,"21177Tepexco",18.643,-98.691
2017-04-20,0,8.2,31,14,"21177Tepexco",18.643,-98.691
2017-04-21,0,6.9,33,19,"21177Tepexco",18.643,-98.691
2017-04-22,0,9.1,33,20,"21177Tepexco",18.643,-98.691
2017-04-23,0,7.8,34,18,"21177Tepexco",18.643,-98.691
2017-04-24,0,7.3,34,20,"21177Tepexco",18.643,-98.691
2017-04-25,0,5.6,33,19,"21177Tepexco",18.643,-98.691
2017-04-26,0,7.4,34,19,"21177Tepexco",18.643,-98.691
2017-04-27,0,6.9,34,20,"21177Tepexco",18.643,-98.691
2017-04-28,0,4.9,34,19,"21177Tepexco",18.643,-98.691
2017-04-29,0,6.8,36,19,"21177Tepexco",18.643,-98.691
2017-04-30,0,4.6,36,18,"21177Tepexco",18.643,-98.691
2017-05-01,0,6.1,35,20,"21177Tepexco",18.643,-98.691
2017-05-02,11.5,6.4,36,20,"21177Tepexco",18.643,-98.691
2017-05-03,0,4.9,33,19,"21177Tepexco",18.643,-98.691
2017-05-04,1.5,6.6,33,19,"21177Tepexco",18.643,-98.691
2017-05-05,0,5.7,31,18,"21177Tepexco",18.643,-98.691
2017-05-06,0,4.8,33,19,"21177Tepexco",18.643,-98.691
2017-05-07,5,NA,33,19,"21177Tepexco",18.643,-98.691
2017-05-08,0,3.4,33,20,"21177Tepexco",18.643,-98.691
2017-05-09,0,6.1,33,20,"21177Tepexco",18.643,-98.691
2017-05-10,0,6.9,35,19,"21177Tepexco",18.643,-98.691
2017-05-11,7,4.9,34,23,"21177Tepexco",18.643,-98.691
2017-05-12,4,5.5,33,19,"21177Tepexco",18.643,-98.691
2017-05-13,0,9.6,33,18,"21177Tepexco",18.643,-98.691
2017-05-14,11,5.9,34,18,"21177Tepexco",18.643,-98.691
2017-05-15,0,5.9,33,19,"21177Tepexco",18.643,-98.691
2017-05-16,0,3.5,35,19,"21177Tepexco",18.643,-98.691
2017-05-17,0,7.5,36,24,"21177Tepexco",18.643,-98.691
2017-05-18,0,NA,35,23,"21177Tepexco",18.643,-98.691
2017-05-19,5.5,5.8,36,23,"21177Tepexco",18.643,-98.691
2017-05-20,0,9.4,35,21,"21177Tepexco",18.643,-98.691
2017-05-21,0,7.4,36,22,"21177Tepexco",18.643,-98.691
2017-05-22,0,8,36,24,"21177Tepexco",18.643,-98.691
2017-05-23,0,4,35,24,"21177Tepexco",18.643,-98.691
2017-05-24,5,7.3,35,25,"21177Tepexco",18.643,-98.691
2017-05-25,0,3.7,28,20,"21177Tepexco",18.643,-98.691
2017-05-26,0,6.6,34,19,"21177Tepexco",18.643,-98.691
2017-05-27,3.5,4.4,33,20,"21177Tepexco",18.643,-98.691
2017-05-28,0,4,30,19,"21177Tepexco",18.643,-98.691
2017-05-29,22.5,5.7,30,19,"21177Tepexco",18.643,-98.691
2017-05-30,33.5,6.7,35,19,"21177Tepexco",18.643,-98.691
2017-05-31,14.5,5.2,27,19,"21177Tepexco",18.643,-98.691
2017-06-01,0,NA,28,19,"21177Tepexco",18.643,-98.691
2017-06-02,23.5,3.2,30,20,"21177Tepexco",18.643,-98.691
2017-06-03,1.2,2,30,19,"21177Tepexco",18.643,-98.691
2017-06-04,3,1.2,30,18,"21177Tepexco",18.643,-98.691
2017-06-05,0,5.2,29,19,"21177Tepexco",18.643,-98.691
2017-06-06,18.5,4.1,30,19,"21177Tepexco",18.643,-98.691
2017-06-07,4.5,4.6,30,19,"21177Tepexco",18.643,-98.691
2017-06-08,0,4.7,28,18,"21177Tepexco",18.643,-98.691
2017-06-09,0,3.6,30,19,"21177Tepexco",18.643,-98.691
2017-06-10,0,3.7,28,19,"21177Tepexco",18.643,-98.691
2017-06-11,2,0.8,30,19,"21177Tepexco",18.643,-98.691
2017-06-12,0,9.8,30,18,"21177Tepexco",18.643,-98.691
