"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,4.2,24,10,"21197Tochimilco",18.847,-98.612
2017-01-02,0,2.7,20,9,"21197Tochimilco",18.847,-98.612
2017-01-03,0,4.3,23,10,"21197Tochimilco",18.847,-98.612
2017-01-04,0,4,25,10,"21197Tochimilco",18.847,-98.612
2017-01-05,0,4.7,22,8,"21197Tochimilco",18.847,-98.612
2017-01-06,0,4.9,24,10,"21197Tochimilco",18.847,-98.612
2017-01-07,0,4.2,28,11,"21197Tochimilco",18.847,-98.612
2017-01-08,0,4.2,19,8,"21197Tochimilco",18.847,-98.612
2017-01-09,0,3.9,21,7,"21197Tochimilco",18.847,-98.612
2017-01-10,0,3.7,20,8,"21197Tochimilco",18.847,-98.612
2017-01-11,0,4.5,23,6,"21197Tochimilco",18.847,-98.612
2017-01-12,0,5.1,24,8,"21197Tochimilco",18.847,-98.612
2017-01-13,0,4.8,23,10,"21197Tochimilco",18.847,-98.612
2017-01-14,0,4.9,25,8,"21197Tochimilco",18.847,-98.612
2017-01-15,0,2,24,9,"21197Tochimilco",18.847,-98.612
2017-01-16,0,4,21,9,"21197Tochimilco",18.847,-98.612
2017-01-17,0,3.2,23,8,"21197Tochimilco",18.847,-98.612
2017-01-18,0,6.1,20,7,"21197Tochimilco",18.847,-98.612
2017-01-19,0,4.9,22,9,"21197Tochimilco",18.847,-98.612
2017-01-20,0,6,22,11,"21197Tochimilco",18.847,-98.612
2017-01-21,0,4.9,24,7,"21197Tochimilco",18.847,-98.612
2017-01-22,0,3.2,24,9,"21197Tochimilco",18.847,-98.612
2017-01-23,0,5.1,30,9,"21197Tochimilco",18.847,-98.612
2017-01-24,0,4.8,20,7,"21197Tochimilco",18.847,-98.612
2017-01-25,0,5.1,22,7,"21197Tochimilco",18.847,-98.612
2017-01-26,0,7.1,23,9,"21197Tochimilco",18.847,-98.612
2017-01-27,0,1.9,32,8,"21197Tochimilco",18.847,-98.612
2017-01-28,0,5.4,23,7,"21197Tochimilco",18.847,-98.612
2017-01-29,0,4,26,8,"21197Tochimilco",18.847,-98.612
2017-01-30,0,5.2,21,7,"21197Tochimilco",18.847,-98.612
2017-01-31,0,6.2,22,8,"21197Tochimilco",18.847,-98.612
2017-02-01,0,5.2,21,9,"21197Tochimilco",18.847,-98.612
2017-02-02,0,7,23,10,"21197Tochimilco",18.847,-98.612
2017-02-03,0,2.5,28,9,"21197Tochimilco",18.847,-98.612
2017-02-04,0,4.6,20,7,"21197Tochimilco",18.847,-98.612
2017-02-05,0,4.2,23,8,"21197Tochimilco",18.847,-98.612
2017-02-06,0,5.2,29,8,"21197Tochimilco",18.847,-98.612
2017-02-07,0,5,28,9,"21197Tochimilco",18.847,-98.612
2017-02-08,0,6.8,26,10,"21197Tochimilco",18.847,-98.612
2017-02-09,0,4.9,23,9,"21197Tochimilco",18.847,-98.612
2017-02-10,0,7.2,29,10,"21197Tochimilco",18.847,-98.612
2017-02-11,0,4.8,25,10,"21197Tochimilco",18.847,-98.612
2017-02-12,0,5.2,22,11,"21197Tochimilco",18.847,-98.612
2017-02-13,0,8.1,24,12,"21197Tochimilco",18.847,-98.612
2017-02-14,0,3,21,8,"21197Tochimilco",18.847,-98.612
2017-02-15,0,4.2,21,9,"21197Tochimilco",18.847,-98.612
2017-02-16,0,3.7,22,10,"21197Tochimilco",18.847,-98.612
2017-02-17,0,6.2,23,8,"21197Tochimilco",18.847,-98.612
2017-02-18,0,2.7,23,10,"21197Tochimilco",18.847,-98.612
