"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2.4,30,7,"21203Molcaxac",18.738,-97.911
2017-01-02,0,3.3,32,8,"21203Molcaxac",18.738,-97.911
2017-01-03,0,3,33,6,"21203Molcaxac",18.738,-97.911
2017-01-04,0,3.8,31,6,"21203Molcaxac",18.738,-97.911
2017-01-05,0,3.3,33,5,"21203Molcaxac",18.738,-97.911
2017-01-06,0,3.1,28,5,"21203Molcaxac",18.738,-97.911
2017-01-07,0,3.2,30,6,"21203Molcaxac",18.738,-97.911
2017-01-08,0,2.7,30,4,"21203Molcaxac",18.738,-97.911
2017-01-09,0,3.1,25,3,"21203Molcaxac",18.738,-97.911
2017-01-10,0,5.8,28,3,"21203Molcaxac",18.738,-97.911
2017-01-11,0,3.9,33,3.5,"21203Molcaxac",18.738,-97.911
2017-01-12,0,3.3,34,4,"21203Molcaxac",18.738,-97.911
2017-01-13,0,3.1,30,5,"21203Molcaxac",18.738,-97.911
2017-01-14,0,3.3,29,4,"21203Molcaxac",18.738,-97.911
2017-01-15,0,3.2,30,5,"21203Molcaxac",18.738,-97.911
2017-01-16,0,4.9,33,4,"21203Molcaxac",18.738,-97.911
2017-01-17,0,3.3,31,6,"21203Molcaxac",18.738,-97.911
2017-01-18,0,2.8,30,6,"21203Molcaxac",18.738,-97.911
2017-01-19,0,2.1,27,7,"21203Molcaxac",18.738,-97.911
2017-01-20,0,2.8,27,7,"21203Molcaxac",18.738,-97.911
2017-01-21,0,3.9,30,6,"21203Molcaxac",18.738,-97.911
2017-01-22,0,3.1,29,5,"21203Molcaxac",18.738,-97.911
2017-01-23,0,2.2,27,4,"21203Molcaxac",18.738,-97.911
2017-01-24,0,3.5,30,7,"21203Molcaxac",18.738,-97.911
2017-01-25,0,3.6,28,5,"21203Molcaxac",18.738,-97.911
2017-01-26,0,4.1,30,6,"21203Molcaxac",18.738,-97.911
2017-01-27,0,4.3,29,7,"21203Molcaxac",18.738,-97.911
2017-01-28,0,3.7,28,5,"21203Molcaxac",18.738,-97.911
2017-01-29,0,3.6,26,9,"21203Molcaxac",18.738,-97.911
2017-01-30,0,3.7,30,5,"21203Molcaxac",18.738,-97.911
2017-01-31,0,3.5,28,6,"21203Molcaxac",18.738,-97.911
2017-02-01,0,3.7,29,6,"21203Molcaxac",18.738,-97.911
2017-02-02,0,2.3,28,8,"21203Molcaxac",18.738,-97.911
2017-02-03,0,3.5,34,6,"21203Molcaxac",18.738,-97.911
2017-02-04,0,3.6,33,7.5,"21203Molcaxac",18.738,-97.911
2017-02-05,0,3.2,31,8,"21203Molcaxac",18.738,-97.911
2017-02-06,0,4.2,33,7,"21203Molcaxac",18.738,-97.911
2017-02-07,0,4.3,33,6,"21203Molcaxac",18.738,-97.911
2017-02-08,0,4.5,32,6,"21203Molcaxac",18.738,-97.911
2017-02-09,0,4.9,33,7,"21203Molcaxac",18.738,-97.911
2017-02-10,0,4.7,32,5,"21203Molcaxac",18.738,-97.911
2017-02-11,0,5.1,33,6,"21203Molcaxac",18.738,-97.911
2017-02-12,0,4.8,31,5,"21203Molcaxac",18.738,-97.911
2017-02-13,0,5.3,32,6,"21203Molcaxac",18.738,-97.911
2017-02-14,0,4.4,28,5,"21203Molcaxac",18.738,-97.911
2017-02-15,0,4.5,29,8,"21203Molcaxac",18.738,-97.911
2017-02-16,0,3.9,26,10,"21203Molcaxac",18.738,-97.911
2017-02-17,0,3.5,27,8,"21203Molcaxac",18.738,-97.911
2017-02-18,0,4.1,28,5,"21203Molcaxac",18.738,-97.911
2017-02-19,0,4.2,27,5,"21203Molcaxac",18.738,-97.911
2017-02-20,0,5.6,28,6,"21203Molcaxac",18.738,-97.911
2017-02-21,0,4.2,29,8,"21203Molcaxac",18.738,-97.911
2017-02-22,0,4.1,32,8,"21203Molcaxac",18.738,-97.911
2017-02-23,0,4.6,29,6,"21203Molcaxac",18.738,-97.911
2017-02-24,0,4.4,32,6,"21203Molcaxac",18.738,-97.911
2017-02-25,0,4.2,30,7,"21203Molcaxac",18.738,-97.911
2017-02-26,0,4.2,29,6,"21203Molcaxac",18.738,-97.911
2017-02-27,0,4.1,31,6,"21203Molcaxac",18.738,-97.911
2017-02-28,0,5.9,33,7,"21203Molcaxac",18.738,-97.911
2017-03-01,0,6.1,32,7,"21203Molcaxac",18.738,-97.911
2017-03-02,0,5.8,30,8,"21203Molcaxac",18.738,-97.911
2017-03-03,0,5.1,27,8,"21203Molcaxac",18.738,-97.911
2017-03-04,0,5.8,30,9,"21203Molcaxac",18.738,-97.911
2017-03-05,0,5.9,28,8,"21203Molcaxac",18.738,-97.911
2017-03-06,0,5.2,33,7,"21203Molcaxac",18.738,-97.911
2017-03-07,0,5.4,32,6,"21203Molcaxac",18.738,-97.911
2017-03-08,0,5.7,33,7,"21203Molcaxac",18.738,-97.911
2017-03-09,1.1,6.2,32,8,"21203Molcaxac",18.738,-97.911
2017-03-10,0,6,33,8,"21203Molcaxac",18.738,-97.911
2017-03-11,0,5.8,32,9,"21203Molcaxac",18.738,-97.911
2017-03-12,0,6,33,10,"21203Molcaxac",18.738,-97.911
2017-03-13,0,4.3,32,10,"21203Molcaxac",18.738,-97.911
2017-03-14,0.5,4.6,30,9,"21203Molcaxac",18.738,-97.911
2017-03-15,0,5.8,32,8,"21203Molcaxac",18.738,-97.911
2017-03-16,0,6,31,10,"21203Molcaxac",18.738,-97.911
2017-03-17,0,6.1,32,9,"21203Molcaxac",18.738,-97.911
2017-03-18,0,6.1,31,8,"21203Molcaxac",18.738,-97.911
2017-03-19,0,6,32,8,"21203Molcaxac",18.738,-97.911
2017-03-20,0,5.6,30,7,"21203Molcaxac",18.738,-97.911
2017-03-21,0,6.4,35,6,"21203Molcaxac",18.738,-97.911
2017-03-22,0,6.2,34,7,"21203Molcaxac",18.738,-97.911
2017-03-23,0,6.1,36,8,"21203Molcaxac",18.738,-97.911
2017-03-24,0,5,34,7,"21203Molcaxac",18.738,-97.911
2017-03-25,5,6,33,8,"21203Molcaxac",18.738,-97.911
2017-03-26,0,4.8,32,10,"21203Molcaxac",18.738,-97.911
2017-03-27,0,6.6,33,12,"21203Molcaxac",18.738,-97.911
2017-03-28,0,6.4,32,10,"21203Molcaxac",18.738,-97.911
2017-03-29,0,6.3,33,11,"21203Molcaxac",18.738,-97.911
2017-03-30,0,6.1,31,12,"21203Molcaxac",18.738,-97.911
2017-03-31,0,5.9,32,10,"21203Molcaxac",18.738,-97.911
2017-04-01,0,6.3,33,9,"21203Molcaxac",18.738,-97.911
2017-04-02,0,6.1,32,10,"21203Molcaxac",18.738,-97.911
2017-04-03,0,5.8,33,8,"21203Molcaxac",18.738,-97.911
2017-04-04,0,8.9,33,8,"21203Molcaxac",18.738,-97.911
2017-04-05,0,6.9,36,10,"21203Molcaxac",18.738,-97.911
2017-04-06,0,5.7,34,9,"21203Molcaxac",18.738,-97.911
2017-04-07,0,6.6,37,10,"21203Molcaxac",18.738,-97.911
2017-04-08,6.5,6.5,36,12,"21203Molcaxac",18.738,-97.911
2017-04-09,0,4.7,36,12,"21203Molcaxac",18.738,-97.911
2017-04-10,0,4.9,35,11,"21203Molcaxac",18.738,-97.911
2017-04-11,0,6.6,34,11,"21203Molcaxac",18.738,-97.911
2017-04-12,0,6.3,31,9,"21203Molcaxac",18.738,-97.911
2017-04-13,0,6.1,30,10,"21203Molcaxac",18.738,-97.911
2017-04-14,0,5.8,33,10,"21203Molcaxac",18.738,-97.911
