"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,5.1,22,7,"21242Capulac",19.093,-98.059
2017-01-02,0,7.5,24,7,"21242Capulac",19.093,-98.059
2017-01-03,0,5.8,24,7,"21242Capulac",19.093,-98.059
2017-01-04,0,4.8,26,8,"21242Capulac",19.093,-98.059
2017-01-05,0,9.9,25,7,"21242Capulac",19.093,-98.059
2017-01-06,0,3,24,8,"21242Capulac",19.093,-98.059
2017-01-07,0,3.4,22,7,"21242Capulac",19.093,-98.059
2017-01-08,0,4.7,18,4,"21242Capulac",19.093,-98.059
2017-01-09,0,3.3,16,0,"21242Capulac",19.093,-98.059
2017-01-10,0,5.2,21,4,"21242Capulac",19.093,-98.059
2017-01-11,0,6,23,3,"21242Capulac",19.093,-98.059
2017-01-12,0,5.7,22,5,"21242Capulac",19.093,-98.059
2017-01-13,0,4.7,21,6,"21242Capulac",19.093,-98.059
2017-01-14,0,2.3,16,2,"21242Capulac",19.093,-98.059
2017-01-15,0,6,21,0,"21242Capulac",19.093,-98.059
2017-01-16,0,4.7,23,3,"21242Capulac",19.093,-98.059
2017-01-17,0,2.3,20,6,"21242Capulac",19.093,-98.059
2017-01-18,0,4.8,21,4,"21242Capulac",19.093,-98.059
2017-01-19,0,4.7,21,6,"21242Capulac",19.093,-98.059
2017-01-20,0,3.2,28,6,"21242Capulac",19.093,-98.059
2017-01-21,0,4.5,25,7,"21242Capulac",19.093,-98.059
2017-01-22,0,4.4,25,5,"21242Capulac",19.093,-98.059
2017-01-23,0,5.1,25,4,"21242Capulac",19.093,-98.059
2017-01-24,0,4.7,22,6,"21242Capulac",19.093,-98.059
2017-01-25,0,4.3,23,5,"21242Capulac",19.093,-98.059
2017-01-26,0,4.8,25,7,"21242Capulac",19.093,-98.059
2017-01-27,0,5.2,24,4,"21242Capulac",19.093,-98.059
2017-01-28,0,4.9,24,6,"21242Capulac",19.093,-98.059
2017-01-29,0,4.2,20,6,"21242Capulac",19.093,-98.059
2017-01-30,0,4.9,20,2,"21242Capulac",19.093,-98.059
2017-01-31,0,5.5,22,5,"21242Capulac",19.093,-98.059
2017-02-01,0,6.1,23,6,"21242Capulac",19.093,-98.059
2017-02-02,0,5.9,25,7,"21242Capulac",19.093,-98.059
2017-02-03,0,6.2,23,5,"21242Capulac",19.093,-98.059
2017-02-04,0,4.4,26,6,"21242Capulac",19.093,-98.059
2017-02-05,0,4.7,22,8,"21242Capulac",19.093,-98.059
2017-02-06,0,4.6,23,5,"21242Capulac",19.093,-98.059
2017-02-07,0,6.4,25,7,"21242Capulac",19.093,-98.059
2017-02-08,0,7.2,27,8,"21242Capulac",19.093,-98.059
2017-02-09,0,4.9,22,10,"21242Capulac",19.093,-98.059
2017-02-10,0,4.2,24,3,"21242Capulac",19.093,-98.059
2017-02-11,0,1.9,22,6,"21242Capulac",19.093,-98.059
2017-02-12,0,3.2,25,4,"21242Capulac",19.093,-98.059
2017-02-13,0,4.7,25,5,"21242Capulac",19.093,-98.059
2017-02-14,0,4.8,24,8,"21242Capulac",19.093,-98.059
2017-02-15,0,5.2,23,6,"21242Capulac",19.093,-98.059
2017-02-16,0,5.6,23,9,"21242Capulac",19.093,-98.059
2017-02-17,0,2.4,21,8,"21242Capulac",19.093,-98.059
2017-02-18,0,5,22,5,"21242Capulac",19.093,-98.059
2017-02-19,0,4.9,21,5,"21242Capulac",19.093,-98.059
2017-02-20,0,4.9,24,6,"21242Capulac",19.093,-98.059
2017-02-21,0,4.1,23,6,"21242Capulac",19.093,-98.059
2017-02-22,0,4.7,20,5,"21242Capulac",19.093,-98.059
2017-02-23,0,4.4,25,4,"21242Capulac",19.093,-98.059
2017-02-24,0,4.7,25,6,"21242Capulac",19.093,-98.059
2017-02-25,0,4.5,25,7,"21242Capulac",19.093,-98.059
2017-02-26,0,4.4,20,8,"21242Capulac",19.093,-98.059
2017-02-27,0,5.2,27,7,"21242Capulac",19.093,-98.059
2017-02-28,0,5.2,27,9,"21242Capulac",19.093,-98.059
2017-03-01,0,5.7,28,8,"21242Capulac",19.093,-98.059
2017-03-02,0,3.2,21,6,"21242Capulac",19.093,-98.059
2017-03-03,0,4.6,25,6,"21242Capulac",19.093,-98.059
2017-03-04,0,5.6,24,6,"21242Capulac",19.093,-98.059
2017-03-05,0,4,22,6,"21242Capulac",19.093,-98.059
2017-03-06,0,4.7,23,9,"21242Capulac",19.093,-98.059
2017-03-07,0,3.7,24,5,"21242Capulac",19.093,-98.059
2017-03-08,0,4.2,24,7,"21242Capulac",19.093,-98.059
2017-03-09,11.4,3.6,28,8,"21242Capulac",19.093,-98.059
2017-03-10,21.8,6.7,25,5,"21242Capulac",19.093,-98.059
2017-03-11,0,10,22,8,"21242Capulac",19.093,-98.059
2017-03-12,0,4.7,23,6,"21242Capulac",19.093,-98.059
2017-03-13,0,4.9,24,4,"21242Capulac",19.093,-98.059
2017-03-14,4.7,4.3,21,4,"21242Capulac",19.093,-98.059
2017-03-15,0,3.8,21,9,"21242Capulac",19.093,-98.059
2017-03-16,0,4.3,23,7,"21242Capulac",19.093,-98.059
2017-03-17,0,6.3,27,6,"21242Capulac",19.093,-98.059
2017-03-18,0,5.8,24,6,"21242Capulac",19.093,-98.059
2017-03-19,0,5.7,24,4,"21242Capulac",19.093,-98.059
2017-03-20,0,7.8,24,5,"21242Capulac",19.093,-98.059
2017-03-21,0,4.4,25,6,"21242Capulac",19.093,-98.059
2017-03-22,0,6.3,25,8,"21242Capulac",19.093,-98.059
