"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.6,22,8,"21243Cemex",18.969,-97.958
2017-01-02,0,3.5,25,6,"21243Cemex",18.969,-97.958
2017-01-03,0,5.7,26,8,"21243Cemex",18.969,-97.958
2017-01-04,0,4.2,25,6,"21243Cemex",18.969,-97.958
2017-01-05,0,4.2,26,7,"21243Cemex",18.969,-97.958
2017-01-06,0,4.3,26,8,"21243Cemex",18.969,-97.958
2017-01-07,0,3.2,25,6,"21243Cemex",18.969,-97.958
2017-01-08,0,3.3,18,4,"21243Cemex",18.969,-97.958
2017-01-09,0,4.2,16,2,"21243Cemex",18.969,-97.958
2017-01-10,0,3.8,20,-2,"21243Cemex",18.969,-97.958
2017-01-11,0,4.6,22,-1,"21243Cemex",18.969,-97.958
2017-01-12,0,4.8,23,7,"21243Cemex",18.969,-97.958
2017-01-13,0,4.7,23,2,"21243Cemex",18.969,-97.958
2017-01-14,0,3.9,21,0,"21243Cemex",18.969,-97.958
2017-01-15,0,4.4,22,3,"21243Cemex",18.969,-97.958
2017-01-16,0,4.3,22,1,"21243Cemex",18.969,-97.958
2017-01-17,0,4.6,22,3,"21243Cemex",18.969,-97.958
2017-01-18,0,3.3,22,4,"21243Cemex",18.969,-97.958
2017-01-19,0,5.1,23,6,"21243Cemex",18.969,-97.958
2017-01-20,0,3.7,22,6,"21243Cemex",18.969,-97.958
2017-01-21,0,4.7,22,4,"21243Cemex",18.969,-97.958
2017-01-22,0,5.4,22,6,"21243Cemex",18.969,-97.958
2017-01-23,0,4.8,23,6,"21243Cemex",18.969,-97.958
2017-01-24,0,4.3,24,2,"21243Cemex",18.969,-97.958
2017-01-25,0,4.6,22,1,"21243Cemex",18.969,-97.958
2017-01-26,0,4.7,24,5,"21243Cemex",18.969,-97.958
2017-01-27,0,4.5,24,1,"21243Cemex",18.969,-97.958
2017-01-28,0,4.5,24,2,"21243Cemex",18.969,-97.958
2017-01-29,0,4.4,19,4,"21243Cemex",18.969,-97.958
2017-01-30,0,3.9,20,4,"21243Cemex",18.969,-97.958
2017-01-31,0,4.5,22,4,"21243Cemex",18.969,-97.958
2017-02-01,0,4.7,23,4,"21243Cemex",18.969,-97.958
2017-02-02,0,5.1,23,4,"21243Cemex",18.969,-97.958
2017-02-03,0,5.1,22,5,"21243Cemex",18.969,-97.958
2017-02-04,0,4.2,23,5,"21243Cemex",18.969,-97.958
2017-02-05,0,5.7,23,6,"21243Cemex",18.969,-97.958
2017-02-06,0,4,24,6,"21243Cemex",18.969,-97.958
2017-02-07,0,4.8,25,4,"21243Cemex",18.969,-97.958
2017-02-08,0,7.1,26,5,"21243Cemex",18.969,-97.958
2017-02-09,0,6.5,26,10,"21243Cemex",18.969,-97.958
2017-02-10,0,5.3,25,1,"21243Cemex",18.969,-97.958
