"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.4,24,6,"21244Tepeyahualco",19.49,-97.494
2017-01-02,0,3.5,25,3,"21244Tepeyahualco",19.49,-97.494
2017-01-03,0,3.4,25,2,"21244Tepeyahualco",19.49,-97.494
2017-01-04,0,3.6,27,-1,"21244Tepeyahualco",19.49,-97.494
2017-01-05,0,3.9,29,0,"21244Tepeyahualco",19.49,-97.494
2017-01-06,0,4.1,29,3,"21244Tepeyahualco",19.49,-97.494
2017-01-07,0,2.9,18,5,"21244Tepeyahualco",19.49,-97.494
2017-01-08,0,2.4,16,6,"21244Tepeyahualco",19.49,-97.494
2017-01-09,0,2.9,21,2,"21244Tepeyahualco",19.49,-97.494
2017-01-10,0,2.7,24,-1,"21244Tepeyahualco",19.49,-97.494
2017-01-11,0,2.8,25,0,"21244Tepeyahualco",19.49,-97.494
2017-01-12,0,2.7,24,-1,"21244Tepeyahualco",19.49,-97.494
2017-01-13,0,2.6,22,-2,"21244Tepeyahualco",19.49,-97.494
2017-01-14,0,2.4,21,-1,"21244Tepeyahualco",19.49,-97.494
2017-01-15,0,3.1,25,1,"21244Tepeyahualco",19.49,-97.494
2017-01-16,0,3.2,25,0,"21244Tepeyahualco",19.49,-97.494
2017-01-17,0,3.4,26,1,"21244Tepeyahualco",19.49,-97.494
2017-01-18,0,3.5,27,2,"21244Tepeyahualco",19.49,-97.494
2017-01-19,0,3.1,24,3,"21244Tepeyahualco",19.49,-97.494
2017-01-20,0,3.2,24,5,"21244Tepeyahualco",19.49,-97.494
2017-01-21,0,2.2,25,7,"21244Tepeyahualco",19.49,-97.494
2017-01-22,0,4.3,27,3,"21244Tepeyahualco",19.49,-97.494
2017-01-23,0,3.1,25,2,"21244Tepeyahualco",19.49,-97.494
2017-01-24,0,3.2,26,-3,"21244Tepeyahualco",19.49,-97.494
2017-01-25,0,3.6,27,2,"21244Tepeyahualco",19.49,-97.494
2017-01-26,0,3.7,28,1,"21244Tepeyahualco",19.49,-97.494
2017-01-27,0,3.6,28,4,"21244Tepeyahualco",19.49,-97.494
2017-01-28,0,3.4,26,1,"21244Tepeyahualco",19.49,-97.494
2017-01-29,0,3.3,26,3,"21244Tepeyahualco",19.49,-97.494
2017-01-30,0,2.9,21,1,"21244Tepeyahualco",19.49,-97.494
2017-01-31,0,3.3,25,2,"21244Tepeyahualco",19.49,-97.494
2017-02-01,0,3.4,26,3,"21244Tepeyahualco",19.49,-97.494
2017-02-02,0,3.3,24,2,"21244Tepeyahualco",19.49,-97.494
2017-02-03,0,3,22,4,"21244Tepeyahualco",19.49,-97.494
2017-02-04,0,3.1,24,9,"21244Tepeyahualco",19.49,-97.494
2017-02-05,0,3,24,3,"21244Tepeyahualco",19.49,-97.494
2017-02-06,0,3.1,24,3,"21244Tepeyahualco",19.49,-97.494
2017-02-07,0,3.2,25,2,"21244Tepeyahualco",19.49,-97.494
2017-02-08,0,3.2,26,2,"21244Tepeyahualco",19.49,-97.494
2017-02-09,0,2.8,21,-2,"21244Tepeyahualco",19.49,-97.494
2017-02-10,0,3.1,24,2,"21244Tepeyahualco",19.49,-97.494
2017-02-11,0,3.3,27,2,"21244Tepeyahualco",19.49,-97.494
2017-02-12,0,3.4,27,2,"21244Tepeyahualco",19.49,-97.494
2017-02-13,0,3.2,26,0,"21244Tepeyahualco",19.49,-97.494
2017-02-14,0,3.3,27,5,"21244Tepeyahualco",19.49,-97.494
2017-02-15,0,2.8,21,5,"21244Tepeyahualco",19.49,-97.494
2017-02-16,0,2.9,23,4,"21244Tepeyahualco",19.49,-97.494
2017-02-17,0,3.1,24,9,"21244Tepeyahualco",19.49,-97.494
2017-02-18,0,3.2,26,4,"21244Tepeyahualco",19.49,-97.494
2017-02-19,0,3.2,25,3,"21244Tepeyahualco",19.49,-97.494
2017-02-20,0,3.2,26,3,"21244Tepeyahualco",19.49,-97.494
2017-02-21,0,2.7,22,9,"21244Tepeyahualco",19.49,-97.494
2017-02-22,0,2.8,24,0,"21244Tepeyahualco",19.49,-97.494
2017-02-23,0,1.1,28,1,"21244Tepeyahualco",19.49,-97.494
2017-02-24,0,3.2,28,2,"21244Tepeyahualco",19.49,-97.494
2017-02-25,0,2.9,24,3,"21244Tepeyahualco",19.49,-97.494
2017-02-26,0,3.1,28,5,"21244Tepeyahualco",19.49,-97.494
2017-02-27,0,3.3,28,5,"21244Tepeyahualco",19.49,-97.494
2017-02-28,0,3.6,29,4,"21244Tepeyahualco",19.49,-97.494
2017-03-01,0,3.5,27,2,"21244Tepeyahualco",19.49,-97.494
2017-03-02,0,2.4,19,3,"21244Tepeyahualco",19.49,-97.494
2017-03-03,0,2.5,20,7,"21244Tepeyahualco",19.49,-97.494
2017-03-04,0,3.1,23,7,"21244Tepeyahualco",19.49,-97.494
2017-03-05,0,3.2,23,8,"21244Tepeyahualco",19.49,-97.494
2017-03-06,0,3.7,25,4,"21244Tepeyahualco",19.49,-97.494
2017-03-07,0,3.8,25,5,"21244Tepeyahualco",19.49,-97.494
2017-03-08,0,2.6,22,6,"21244Tepeyahualco",19.49,-97.494
2017-03-09,16,4.1,26,6,"21244Tepeyahualco",19.49,-97.494
2017-03-10,21,3.1,22,7,"21244Tepeyahualco",19.49,-97.494
2017-03-11,0,3.9,25,9,"21244Tepeyahualco",19.49,-97.494
2017-03-12,0,3.2,23,11,"21244Tepeyahualco",19.49,-97.494
2017-03-13,9,3.1,23,11,"21244Tepeyahualco",19.49,-97.494
2017-03-14,7,2.8,19,6,"21244Tepeyahualco",19.49,-97.494
2017-03-15,10,2.7,19,10,"21244Tepeyahualco",19.49,-97.494
2017-03-16,14,2.8,20,10,"21244Tepeyahualco",19.49,-97.494
2017-03-17,0,3.2,23,6,"21244Tepeyahualco",19.49,-97.494
2017-03-18,0,4.1,25,6,"21244Tepeyahualco",19.49,-97.494
2017-03-19,0,3.7,22,4,"21244Tepeyahualco",19.49,-97.494
2017-03-20,0,3.8,23,4,"21244Tepeyahualco",19.49,-97.494
