"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.8,25,9,"21247Cholula",19.069,-98.318
2017-01-02,0,2.6,27,11,"21247Cholula",19.069,-98.318
2017-01-03,0,3,28,7,"21247Cholula",19.069,-98.318
2017-01-04,0,3.1,28,6,"21247Cholula",19.069,-98.318
2017-01-05,0,3.8,25,7,"21247Cholula",19.069,-98.318
2017-01-06,0,2.4,26,8,"21247Cholula",19.069,-98.318
2017-01-07,0,2.3,23,8,"21247Cholula",19.069,-98.318
2017-01-08,0,3,21.5,5,"21247Cholula",19.069,-98.318
2017-01-09,0,3.1,20.5,7,"21247Cholula",19.069,-98.318
2017-01-10,0,3,25,4,"21247Cholula",19.069,-98.318
2017-01-11,0,5.1,25,4.5,"21247Cholula",19.069,-98.318
2017-01-12,0,4.2,27,9.5,"21247Cholula",19.069,-98.318
2017-01-13,0,2.9,27,4.5,"21247Cholula",19.069,-98.318
2017-01-14,0,3.7,27,2,"21247Cholula",19.069,-98.318
2017-01-15,0,2.5,27,2,"21247Cholula",19.069,-98.318
2017-01-16,0,3.5,25,2,"21247Cholula",19.069,-98.318
2017-01-17,0,2.7,24,5,"21247Cholula",19.069,-98.318
2017-01-18,0,2.5,25,6,"21247Cholula",19.069,-98.318
2017-01-19,0,2.9,23,5,"21247Cholula",19.069,-98.318
2017-01-20,0,4,22,6,"21247Cholula",19.069,-98.318
2017-01-21,0,4.9,23,5,"21247Cholula",19.069,-98.318
2017-01-22,0,1.7,30,5,"21247Cholula",19.069,-98.318
2017-01-23,0,4.8,29,4.5,"21247Cholula",19.069,-98.318
2017-01-24,0,3.5,24,4,"21247Cholula",19.069,-98.318
2017-01-25,0,3.4,25,4,"21247Cholula",19.069,-98.318
2017-01-26,0,3.6,28,4.5,"21247Cholula",19.069,-98.318
2017-01-27,0,4.7,26,4,"21247Cholula",19.069,-98.318
2017-01-28,0,3.6,25,5,"21247Cholula",19.069,-98.318
2017-01-29,0,2.4,25,5,"21247Cholula",19.069,-98.318
2017-01-30,0,2.9,24,3,"21247Cholula",19.069,-98.318
2017-01-31,0,3.5,25,5,"21247Cholula",19.069,-98.318
2017-02-01,0,2.8,26,6,"21247Cholula",19.069,-98.318
2017-02-02,0,2.7,26,6,"21247Cholula",19.069,-98.318
2017-02-03,0,5.1,26.5,7,"21247Cholula",19.069,-98.318
2017-02-04,0,4,26,8,"21247Cholula",19.069,-98.318
2017-02-05,0,3.8,27,6.5,"21247Cholula",19.069,-98.318
2017-02-06,0,4.1,27,6,"21247Cholula",19.069,-98.318
2017-02-07,0,4.8,29.5,7.5,"21247Cholula",19.069,-98.318
2017-02-08,0,5.3,31,7.5,"21247Cholula",19.069,-98.318
2017-02-09,0,4.9,30,9,"21247Cholula",19.069,-98.318
2017-02-10,0,5.4,27,4,"21247Cholula",19.069,-98.318
2017-02-11,0,3.7,28,5,"21247Cholula",19.069,-98.318
2017-02-12,0,4.7,29,6,"21247Cholula",19.069,-98.318
2017-02-13,0,4.2,7,5,"21247Cholula",19.069,-98.318
2017-02-14,0,4.7,25,7,"21247Cholula",19.069,-98.318
2017-02-15,0,3.8,25,6,"21247Cholula",19.069,-98.318
2017-02-16,0,3.5,22,7,"21247Cholula",19.069,-98.318
2017-02-17,0,3.9,23.5,10,"21247Cholula",19.069,-98.318
2017-02-18,0,5.8,24,9,"21247Cholula",19.069,-98.318
2017-02-19,0,2.9,23,4,"21247Cholula",19.069,-98.318
2017-02-20,0,6,25,5,"21247Cholula",19.069,-98.318
2017-02-21,0,3.4,28,7,"21247Cholula",19.069,-98.318
2017-02-22,0,5.6,30,8,"21247Cholula",19.069,-98.318
2017-02-23,0,5.6,26,6,"21247Cholula",19.069,-98.318
2017-02-24,0,6.3,27,5,"21247Cholula",19.069,-98.318
2017-02-25,0,3.5,26,6,"21247Cholula",19.069,-98.318
2017-02-26,0,5.3,28,7,"21247Cholula",19.069,-98.318
2017-02-27,0,4.7,30,6,"21247Cholula",19.069,-98.318
2017-02-28,0,5.1,30,8,"21247Cholula",19.069,-98.318
2017-03-01,0,5.8,31,8,"21247Cholula",19.069,-98.318
2017-03-02,0,4.8,29,9,"21247Cholula",19.069,-98.318
2017-03-03,0,4,27,8,"21247Cholula",19.069,-98.318
2017-03-04,0,4.4,28,8.5,"21247Cholula",19.069,-98.318
2017-03-05,0,4.3,30,8,"21247Cholula",19.069,-98.318
2017-03-06,0,5.4,28,9,"21247Cholula",19.069,-98.318
2017-03-07,0,4,29,8,"21247Cholula",19.069,-98.318
2017-03-08,1,4.5,28.5,9,"21247Cholula",19.069,-98.318
2017-03-09,5.3,4.4,28,8.5,"21247Cholula",19.069,-98.318
2017-03-10,1,4.3,28,8,"21247Cholula",19.069,-98.318
2017-03-11,0,5.6,27,9,"21247Cholula",19.069,-98.318
2017-03-12,5,3.8,25,9,"21247Cholula",19.069,-98.318
2017-03-13,0,5.7,26,10,"21247Cholula",19.069,-98.318
2017-03-14,5.5,4.9,24,8,"21247Cholula",19.069,-98.318
2017-03-15,2.5,1.8,22,10,"21247Cholula",19.069,-98.318
2017-03-16,0,5.2,26,7,"21247Cholula",19.069,-98.318
2017-03-17,0,4.7,27,7,"21247Cholula",19.069,-98.318
2017-03-18,0,5.4,30,8,"21247Cholula",19.069,-98.318
2017-03-19,0,4.3,28,7,"21247Cholula",19.069,-98.318
2017-03-20,0,7,30,6,"21247Cholula",19.069,-98.318
2017-03-21,0,7.6,30,7,"21247Cholula",19.069,-98.318
2017-03-22,0,7.2,30.5,8,"21247Cholula",19.069,-98.318
2017-03-23,0,5.1,31,4.5,"21247Cholula",19.069,-98.318
2017-03-24,0,4,28.5,6,"21247Cholula",19.069,-98.318
2017-03-25,0,5.2,29,9,"21247Cholula",19.069,-98.318
2017-03-26,0.2,5.3,29,9,"21247Cholula",19.069,-98.318
2017-03-27,0,5.6,30,8,"21247Cholula",19.069,-98.318
2017-03-28,0,5.1,29,10,"21247Cholula",19.069,-98.318
2017-03-29,0,8.1,28,9,"21247Cholula",19.069,-98.318
2017-03-30,0,5.5,29,8,"21247Cholula",19.069,-98.318
2017-03-31,0,5.9,23,9,"21247Cholula",19.069,-98.318
2017-04-01,0,6.3,28,8,"21247Cholula",19.069,-98.318
2017-04-02,0,7.6,27,9,"21247Cholula",19.069,-98.318
2017-04-03,0,6.9,29,8.5,"21247Cholula",19.069,-98.318
2017-04-04,0,4.7,29,8,"21247Cholula",19.069,-98.318
2017-04-05,0,7.3,32,8,"21247Cholula",19.069,-98.318
2017-04-06,0,6.4,29,10,"21247Cholula",19.069,-98.318
2017-04-07,0,4.6,30,9.5,"21247Cholula",19.069,-98.318
2017-04-08,3,4.1,28,10,"21247Cholula",19.069,-98.318
2017-04-09,0.5,4.3,27,10,"21247Cholula",19.069,-98.318
2017-04-10,0,4.4,29,10,"21247Cholula",19.069,-98.318
2017-04-11,1,4.6,29.5,11,"21247Cholula",19.069,-98.318
2017-04-12,0,5.5,28,8,"21247Cholula",19.069,-98.318
2017-04-13,0,5.9,27,8.5,"21247Cholula",19.069,-98.318
2017-04-14,5,4.7,30,8.5,"21247Cholula",19.069,-98.318
2017-04-15,0.5,4.1,28,9,"21247Cholula",19.069,-98.318
2017-04-16,0,5.9,29,9.5,"21247Cholula",19.069,-98.318
2017-04-17,3,5.2,27,9,"21247Cholula",19.069,-98.318
2017-04-18,0.3,3.8,24,10.5,"21247Cholula",19.069,-98.318
2017-04-19,0.5,4.3,24,7,"21247Cholula",19.069,-98.318
2017-04-20,0,5.2,27,7,"21247Cholula",19.069,-98.318
2017-04-21,0.5,4.4,27,8,"21247Cholula",19.069,-98.318
2017-04-22,0.5,7.3,29,9,"21247Cholula",19.069,-98.318
2017-04-23,0,4.8,29.5,8,"21247Cholula",19.069,-98.318
2017-04-24,1.5,5.3,27,9,"21247Cholula",19.069,-98.318
2017-04-25,0,6.1,27,9.5,"21247Cholula",19.069,-98.318
2017-04-26,0,6.4,27.5,10,"21247Cholula",19.069,-98.318
2017-04-27,0,5.9,29,10.5,"21247Cholula",19.069,-98.318
2017-04-28,0,3.9,26,11.5,"21247Cholula",19.069,-98.318
2017-04-29,0,7.1,29,11,"21247Cholula",19.069,-98.318
2017-04-30,0,6.8,31,11,"21247Cholula",19.069,-98.318
2017-05-01,0,5.2,31,11,"21247Cholula",19.069,-98.318
2017-05-02,0,4.9,30,10,"21247Cholula",19.069,-98.318
2017-05-03,0,5.3,29,13.5,"21247Cholula",19.069,-98.318
2017-05-04,7.5,3.3,28,12.5,"21247Cholula",19.069,-98.318
2017-05-05,10.5,2.8,29,10,"21247Cholula",19.069,-98.318
2017-05-06,0,8.5,27,9,"21247Cholula",19.069,-98.318
2017-05-07,0,2.1,27.5,9,"21247Cholula",19.069,-98.318
2017-05-08,0.5,5.1,28.5,12,"21247Cholula",19.069,-98.318
2017-05-09,0,4.6,28,11.5,"21247Cholula",19.069,-98.318
2017-05-10,0,5.8,30,12,"21247Cholula",19.069,-98.318
2017-05-11,5,6,29,12.5,"21247Cholula",19.069,-98.318
2017-05-12,0.5,4.8,28,12,"21247Cholula",19.069,-98.318
2017-05-13,0.7,4.2,26,13,"21247Cholula",19.069,-98.318
2017-05-14,0.3,4.7,28,13,"21247Cholula",19.069,-98.318
2017-05-15,0,5.7,30,12,"21247Cholula",19.069,-98.318
2017-05-16,0,5.6,31,13,"21247Cholula",19.069,-98.318
2017-05-17,0,5.8,31,15,"21247Cholula",19.069,-98.318
2017-05-18,2,6.2,31.5,14.5,"21247Cholula",19.069,-98.318
2017-05-19,0,5.3,31,13,"21247Cholula",19.069,-98.318
2017-05-20,2,6.2,30,9,"21247Cholula",19.069,-98.318
2017-05-21,0,5.4,30.5,8,"21247Cholula",19.069,-98.318
2017-05-22,0,5.9,31,13.5,"21247Cholula",19.069,-98.318
2017-05-23,0,4.6,29,14,"21247Cholula",19.069,-98.318
2017-05-24,0,4.2,30,16,"21247Cholula",19.069,-98.318
2017-05-25,0,6.4,26,15,"21247Cholula",19.069,-98.318
2017-05-26,0,5.4,31,12,"21247Cholula",19.069,-98.318
2017-05-27,18,5.3,29,13,"21247Cholula",19.069,-98.318
2017-05-28,6.5,3.6,29,13.5,"21247Cholula",19.069,-98.318
2017-05-29,10.5,5.8,25,13,"21247Cholula",19.069,-98.318
2017-05-30,6,4.2,25,12,"21247Cholula",19.069,-98.318
2017-05-31,12,2.3,21,13,"21247Cholula",19.069,-98.318
2017-06-01,12,2.8,22,13,"21247Cholula",19.069,-98.318
2017-06-02,1,2.4,26,12,"21247Cholula",19.069,-98.318
2017-06-03,0,6.7,26,8,"21247Cholula",19.069,-98.318
2017-06-04,0,3.2,28,13,"21247Cholula",19.069,-98.318
2017-06-05,0,6.3,26.5,14.5,"21247Cholula",19.069,-98.318
2017-06-06,4.5,6.3,26,13,"21247Cholula",19.069,-98.318
2017-06-07,21,8.6,26,11,"21247Cholula",19.069,-98.318
2017-06-08,0,4.4,27,12,"21247Cholula",19.069,-98.318
2017-06-09,0.5,4,25,13,"21247Cholula",19.069,-98.318
2017-06-10,6,4.4,24.5,14,"21247Cholula",19.069,-98.318
2017-06-11,20,6.6,23,13,"21247Cholula",19.069,-98.318
2017-06-12,4.7,4.3,27,12,"21247Cholula",19.069,-98.318
2017-06-13,5,6.4,26,12,"21247Cholula",19.069,-98.318
2017-06-14,20.5,4.8,15,13,"21247Cholula",19.069,-98.318
2017-06-15,23,8,26,12.5,"21247Cholula",19.069,-98.318
2017-06-16,2,5.3,27,12,"21247Cholula",19.069,-98.318
2017-06-17,4.8,6.9,26,11,"21247Cholula",19.069,-98.318
2017-06-18,5.5,6.3,27,11,"21247Cholula",19.069,-98.318
2017-06-19,24,8.5,27,12,"21247Cholula",19.069,-98.318
2017-06-20,0,6.3,27,11,"21247Cholula",19.069,-98.318
2017-06-21,0,5.1,27.5,10,"21247Cholula",19.069,-98.318
2017-06-22,4,6.8,27,11,"21247Cholula",19.069,-98.318
2017-06-23,3,4.8,26,10,"21247Cholula",19.069,-98.318
2017-06-24,1,2.7,27,11,"21247Cholula",19.069,-98.318
2017-06-25,28.5,5.7,24,11,"21247Cholula",19.069,-98.318
2017-06-26,36,8.8,25,12,"21247Cholula",19.069,-98.318
2017-06-27,27,NA,26,13,"21247Cholula",19.069,-98.318
2017-06-28,8.7,5.7,23,15,"21247Cholula",19.069,-98.318
2017-06-29,45.5,8.5,25,14,"21247Cholula",19.069,-98.318
2017-06-30,16,3.6,24,13,"21247Cholula",19.069,-98.318
2017-07-01,5,3.9,24,13,"21247Cholula",19.069,-98.318
2017-07-02,1,3.7,25,11,"21247Cholula",19.069,-98.318
2017-07-03,0.3,4,25.5,11,"21247Cholula",19.069,-98.318
2017-07-04,30.5,5.9,26,12,"21247Cholula",19.069,-98.318
2017-07-05,17,3.8,25,12,"21247Cholula",19.069,-98.318
2017-07-06,22.5,7.3,26,11.5,"21247Cholula",19.069,-98.318
2017-07-07,22,4.2,21,11.5,"21247Cholula",19.069,-98.318
2017-07-08,24,0.7,20.5,12,"21247Cholula",19.069,-98.318
2017-07-09,1.5,2,20,13,"21247Cholula",19.069,-98.318
2017-07-10,0,2.2,20,12,"21247Cholula",19.069,-98.318
2017-07-11,3,3.9,19.5,13,"21247Cholula",19.069,-98.318
2017-07-12,6.8,1.1,25,12,"21247Cholula",19.069,-98.318
2017-07-13,0,6.4,25,13,"21247Cholula",19.069,-98.318
2017-07-14,0,4.8,26,11,"21247Cholula",19.069,-98.318
2017-07-15,0.5,2.6,26,10,"21247Cholula",19.069,-98.318
2017-07-16,14.5,5.3,24.5,11,"21247Cholula",19.069,-98.318
2017-07-17,0,3.8,24,12,"21247Cholula",19.069,-98.318
2017-07-18,23,7.4,26,11,"21247Cholula",19.069,-98.318
2017-07-19,0,2.7,25.5,11.5,"21247Cholula",19.069,-98.318
2017-07-20,1,4.3,25,10,"21247Cholula",19.069,-98.318
