"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,3.5,21,4,"29004Cuamantzingo",19.52,-98.269
2017-01-02,0,4.2,24,0,"29004Cuamantzingo",19.52,-98.269
2017-01-03,0,2.6,24,1,"29004Cuamantzingo",19.52,-98.269
2017-01-04,0,3.1,24,4,"29004Cuamantzingo",19.52,-98.269
2017-01-05,0,3.5,26,0,"29004Cuamantzingo",19.52,-98.269
2017-01-06,0,3.2,26,1,"29004Cuamantzingo",19.52,-98.269
2017-01-07,0,3.1,22,3,"29004Cuamantzingo",19.52,-98.269
2017-01-08,0,4.6,29,2,"29004Cuamantzingo",19.52,-98.269
2017-01-09,0,3.4,21,4,"29004Cuamantzingo",19.52,-98.269
2017-01-10,0,4,21,4,"29004Cuamantzingo",19.52,-98.269
2017-01-11,0,3.5,19,1,"29004Cuamantzingo",19.52,-98.269
2017-01-12,0,3,20,-2,"29004Cuamantzingo",19.52,-98.269
2017-01-13,0,3.7,20,0,"29004Cuamantzingo",19.52,-98.269
2017-01-14,0,3.2,19,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-15,0,4,19,0,"29004Cuamantzingo",19.52,-98.269
2017-01-16,0,3.6,19,0,"29004Cuamantzingo",19.52,-98.269
2017-01-17,0,3.7,18,1,"29004Cuamantzingo",19.52,-98.269
2017-01-18,0,3.1,19,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-19,0,3.7,20,-2,"29004Cuamantzingo",19.52,-98.269
2017-01-20,0,5.1,20,-2,"29004Cuamantzingo",19.52,-98.269
2017-01-21,0,3,22,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-22,0,4.1,23,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-23,0,3.7,24,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-24,0,3.6,23,1,"29004Cuamantzingo",19.52,-98.269
2017-01-25,0,4.1,24,3,"29004Cuamantzingo",19.52,-98.269
2017-01-26,0,3.7,23,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-27,0,4,24,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-28,0,3.6,23,-1,"29004Cuamantzingo",19.52,-98.269
2017-01-29,0,3.7,22,1,"29004Cuamantzingo",19.52,-98.269
2017-01-30,0,3.8,22,0,"29004Cuamantzingo",19.52,-98.269
2017-01-31,0,4.1,23,0,"29004Cuamantzingo",19.52,-98.269
2017-02-01,0,4.7,21,1,"29004Cuamantzingo",19.52,-98.269
2017-02-02,0,4.8,20,2,"29004Cuamantzingo",19.52,-98.269
2017-02-03,0,3.7,23,1,"29004Cuamantzingo",19.52,-98.269
2017-02-04,0,3.8,21,1,"29004Cuamantzingo",19.52,-98.269
2017-02-05,0,4,23,0,"29004Cuamantzingo",19.52,-98.269
2017-02-06,0,3.7,23,1,"29004Cuamantzingo",19.52,-98.269
2017-02-07,0,4.3,25,1,"29004Cuamantzingo",19.52,-98.269
2017-02-08,0,4.3,24,1,"29004Cuamantzingo",19.52,-98.269
2017-02-09,0,4.2,23,1,"29004Cuamantzingo",19.52,-98.269
2017-02-10,0,4,23,-3,"29004Cuamantzingo",19.52,-98.269
2017-02-11,0,3.2,20,-1,"29004Cuamantzingo",19.52,-98.269
2017-02-12,0,4.1,23.5,-1,"29004Cuamantzingo",19.52,-98.269
2017-02-13,0,4,22,-1,"29004Cuamantzingo",19.52,-98.269
