"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2.4,22,5,"29041tepetitla",19.261,-98.371
2017-01-02,0,3.2,24,2,"29041tepetitla",19.261,-98.371
2017-01-03,0,3.7,21,3,"29041tepetitla",19.261,-98.371
2017-01-04,0,3.1,26,1,"29041tepetitla",19.261,-98.371
2017-01-05,0,3.9,26,1,"29041tepetitla",19.261,-98.371
2017-01-06,0,2.1,23,2,"29041tepetitla",19.261,-98.371
2017-01-07,0,6.4,20,4,"29041tepetitla",19.261,-98.371
2017-01-08,0,6.4,20,3,"29041tepetitla",19.261,-98.371
2017-01-09,0,6.8,19,0,"29041tepetitla",19.261,-98.371
2017-01-10,0,5,21,0,"29041tepetitla",19.261,-98.371
2017-01-11,0,3.1,22,1,"29041tepetitla",19.261,-98.371
2017-01-12,0,1.3,23,0,"29041tepetitla",19.261,-98.371
2017-01-13,0,0.7,23,0,"29041tepetitla",19.261,-98.371
2017-01-14,0,3.1,21,0,"29041tepetitla",19.261,-98.371
2017-01-15,0,1.3,22,0,"29041tepetitla",19.261,-98.371
2017-01-16,0,3,22,0,"29041tepetitla",19.261,-98.371
2017-01-17,0,3.1,21,1,"29041tepetitla",19.261,-98.371
2017-01-18,0,3,22,1,"29041tepetitla",19.261,-98.371
2017-01-19,0,4.2,19,1,"29041tepetitla",19.261,-98.371
2017-01-20,0,6.3,19,1,"29041tepetitla",19.261,-98.371
2017-01-21,0,3.5,20,1,"29041tepetitla",19.261,-98.371
2017-01-22,0,4.2,25,0,"29041tepetitla",19.261,-98.371
2017-01-23,0,2,24,0,"29041tepetitla",19.261,-98.371
2017-01-24,0,1.3,22,0,"29041tepetitla",19.261,-98.371
2017-01-25,0,7.1,21,0,"29041tepetitla",19.261,-98.371
2017-01-26,0,3.7,23,1,"29041tepetitla",19.261,-98.371
2017-01-27,0,3.9,22,1,"29041tepetitla",19.261,-98.371
2017-01-28,0,4.6,22,0,"29041tepetitla",19.261,-98.371
2017-01-29,0,3.3,19,0,"29041tepetitla",19.261,-98.371
2017-01-30,0,4.1,19,0,"29041tepetitla",19.261,-98.371
2017-01-31,0,NA,22,0,"29041tepetitla",19.261,-98.371
2017-02-01,NA,NA,NA,NA,"29041tepetitla",19.261,-98.371
2017-02-02,NA,NA,NA,NA,"29041tepetitla",19.261,-98.371
2017-02-03,NA,NA,NA,NA,"29041tepetitla",19.261,-98.371
2017-02-04,NA,NA,NA,NA,"29041tepetitla",19.261,-98.371
2017-02-05,NA,NA,NA,NA,"29041tepetitla",19.261,-98.371
2017-02-06,0,NA,27,NA,"29041tepetitla",19.261,-98.371
