"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
2017-01-01,0,2,20,6,"29169Zacatelco",19.219,-98.243
2017-01-02,0,8.4,17,7,"29169Zacatelco",19.219,-98.243
2017-01-03,0,3.8,22,2,"29169Zacatelco",19.219,-98.243
2017-01-04,0,2,20,8,"29169Zacatelco",19.219,-98.243
2017-01-05,0,3.8,20,3,"29169Zacatelco",19.219,-98.243
2017-01-06,0,4.8,21,3,"29169Zacatelco",19.219,-98.243
2017-01-07,0,5.6,20,3,"29169Zacatelco",19.219,-98.243
2017-01-08,0,9.4,21,-1,"29169Zacatelco",19.219,-98.243
2017-01-09,0,5.1,20,-3,"29169Zacatelco",19.219,-98.243
2017-01-10,0,7.3,22,-1,"29169Zacatelco",19.219,-98.243
2017-01-11,0,1.9,18,5,"29169Zacatelco",19.219,-98.243
2017-01-12,0,4.7,18,5,"29169Zacatelco",19.219,-98.243
2017-01-13,0,5.4,19,-2,"29169Zacatelco",19.219,-98.243
2017-01-14,0,4.7,20,-3,"29169Zacatelco",19.219,-98.243
2017-01-15,0,5.6,17,5,"29169Zacatelco",19.219,-98.243
2017-01-16,0,5,22,-3,"29169Zacatelco",19.219,-98.243
2017-01-17,0,4.4,21,7,"29169Zacatelco",19.219,-98.243
2017-01-18,0,5.3,21,3,"29169Zacatelco",19.219,-98.243
2017-01-19,0,4.7,20,5,"29169Zacatelco",19.219,-98.243
2017-01-20,0,1.6,20,-1,"29169Zacatelco",19.219,-98.243
2017-01-21,0,4.3,19,-1,"29169Zacatelco",19.219,-98.243
2017-01-22,0,5.3,22,4,"29169Zacatelco",19.219,-98.243
2017-01-23,0,4.8,23,8,"29169Zacatelco",19.219,-98.243
2017-01-24,0,1.1,21,8,"29169Zacatelco",19.219,-98.243
2017-01-25,0,8.9,26,5,"29169Zacatelco",19.219,-98.243
2017-01-26,0,5.3,20,11,"29169Zacatelco",19.219,-98.243
2017-01-27,0,4.8,19,8,"29169Zacatelco",19.219,-98.243
2017-01-28,0,5.5,19,7,"29169Zacatelco",19.219,-98.243
2017-01-29,0,5.4,20,6,"29169Zacatelco",19.219,-98.243
2017-01-30,0,5.3,19,4,"29169Zacatelco",19.219,-98.243
2017-01-31,0,NA,18,3,"29169Zacatelco",19.219,-98.243
2017-02-01,0,5,21,2,"29169Zacatelco",19.219,-98.243
2017-02-02,0,4.7,20,5,"29169Zacatelco",19.219,-98.243
2017-02-03,0,5.3,22,7,"29169Zacatelco",19.219,-98.243
2017-02-04,0,5.2,21,9,"29169Zacatelco",19.219,-98.243
2017-02-05,0,4.9,21,11,"29169Zacatelco",19.219,-98.243
2017-02-06,0,5.1,19,10,"29169Zacatelco",19.219,-98.243
2017-02-07,0,12.7,19,8,"29169Zacatelco",19.219,-98.243
2017-02-08,0,1.5,20,6,"29169Zacatelco",19.219,-98.243
2017-02-09,0,2.5,19,5,"29169Zacatelco",19.219,-98.243
2017-02-10,0,4.8,20,6,"29169Zacatelco",19.219,-98.243
2017-02-11,0,2.9,23,5,"29169Zacatelco",19.219,-98.243
2017-02-12,0,1.9,22,5,"29169Zacatelco",19.219,-98.243
2017-02-13,0,6.3,21,6,"29169Zacatelco",19.219,-98.243
2017-02-14,0,4.2,20,6,"29169Zacatelco",19.219,-98.243
2017-02-15,0,5,19,6,"29169Zacatelco",19.219,-98.243
2017-02-16,0,1.5,18,2,"29169Zacatelco",19.219,-98.243
2017-02-17,0,8.6,19,2,"29169Zacatelco",19.219,-98.243
2017-02-18,0,4.8,18,6,"29169Zacatelco",19.219,-98.243
2017-02-19,0,5.2,21,2,"29169Zacatelco",19.219,-98.243
2017-02-20,0,4.9,20,8,"29169Zacatelco",19.219,-98.243
2017-02-21,0,4.9,23,7,"29169Zacatelco",19.219,-98.243
2017-02-22,0,5.1,24,10,"29169Zacatelco",19.219,-98.243
2017-02-23,0,0.4,23,11,"29169Zacatelco",19.219,-98.243
2017-02-24,0,4.6,22,12,"29169Zacatelco",19.219,-98.243
2017-02-25,0,5,24,11,"29169Zacatelco",19.219,-98.243
2017-02-26,0,4.7,22,12,"29169Zacatelco",19.219,-98.243
