"Fecha","PRECIP","EVAP","TMAX","TMIN","nombre_estacion","x","y"
0,730,732,730,730,"17060Alponocan17",0,0
0,457,645,457,457,"21005Acatzingo",0,0
0,141,1095,141,140,"21007Ahuatepec",0,0
0,147,1095,147,147,"21009Alcomunga",0,0
0,141,151,141,140,"21012Atlixco",0,0
0,141,418,141,140,"21016Baldiablo",0,0
0,426,429,426,426,"21023Chapulco",0,0
0,141,149,141,140,"21024Chietla",0,0
0,141,144,141,140,"21026CDSerdan",0,0
0,214,1095,1095,1095,"21029Temextla",0,0
0,457,843,458,457,"21031CuestaBlanca",0,0
0,141,147,141,140,"21034Echeverria",0,0
0,141,145,141,140,"21035Puebla",0,0
0,201,1095,201,200,"21038Progreso",0,0
0,263,798,263,262,"21040GuadalupeB",0,0
0,474,1095,474,473,"21045Huehuetlan",0,0
0,141,161,141,140,"21046Huejotzingo",0,0
0,141,1095,141,140,"21047Ixtacamaxtitlan",0,0
0,141,185,145,144,"210521Alchichica",0,0
0,141,1095,141,140,"21053SanBernardinoL",0,0
0,607,640,607,607,"21060PalmarB",0,0
0,141,144,141,141,"21065Puebla2",0,0
0,141,162,142,141,"21067Quimixtlan",0,0
0,457,1095,1064,1064,"21072Texmelucan",0,0
0,457,1095,457,457,"21073IsidroCanoas",0,0
0,275,825,275,275,"21077Atexcac",0,0
0,141,1095,142,141,"21078texmelucan",0,0
0,457,1095,457,457,"21079Temamantla",0,0
0,141,388,141,140,"21080salvadorseco",0,0
0,458,1095,457,457,"21081Coyotepec",0,0
0,141,148,141,140,"21082Tecamachalco",0,0
0,180,254,177,176,"21083Tehucan",0,0
0,490,769,490,490,"21084Telpatlan",0,0
0,441,448,441,440,"21087Tepexi",0,0
0,141,148,141,140,"21096Tlahuapan",0,0
0,457,1095,457,457,"21100VistaHermosa",0,0
0,610,855,610,610,"21102Xochitlan",0,0
0,142,1095,142,140,"21117GuadalupeV",0,0
0,141,155,141,140,"21119Libres",0,0
0,141,145,141,140,"21123Huaquechula",0,0
0,214,1095,214,214,"21129FcoMadero",0,0
0,141,212,141,140,"21132Izucar",0,0
0,141,147,141,141,"21136Acajete",0,0
0,141,154,141,141,"21148Canoa",0,0
0,669,1095,669,669,"21154SCreyesincompleto",0,0
0,441,1095,441,440,"21165Ahuatempan",0,0
0,457,762,457,457,"21167Calpan",0,0
0,443,668,445,444,"21177Tepexco",0,0
0,610,654,610,608,"21192Huilango",0,0
0,443,1095,444,442,"21193SanPedro",0,0
0,443,1036,443,442,"21197Tochimilco",0,0
0,161,165,161,160,"21203Molcaxac",0,0
0,442,1095,442,441,"21205Tehuitzingo(Tejalpa)",0,0
0,435,497,435,434,"21221Atenco",0,0
0,487,1095,487,487,"21223Xalitzintla",0,0
0,141,145,141,140,"21230Coatzingo",0,0
0,442,920,443,442,"21231Teopantlan",0,0
0,146,1095,146,145,"21235Huilotepec",0,0
0,141,148,141,140,"21242Capulac",0,0
0,141,146,141,140,"21243Cemex",0,0
0,141,146,141,140,"21244Tepeyahualco",0,0
0,141,146,141,141,"21247Cholula",0,0
0,141,161,141,140,"21249Africam",0,0
0,731,742,733,732,"29002apizaco",0,0
0,730,745,730,732,"29003Atlanga",0,0
0,791,791,791,791,"29004Cuamantzingo",0,0
0,736,749,735,735,"29005Cuapixtla",0,0
0,730,743,730,730,"29007Elcarmen",0,0
0,791,1095,791,791,"29010hueyotlipan",0,0
0,764,796,764,764,"29011Huamantla",0,0
0,792,791,793,792,"29016nanacamilpa",0,0
0,730,739,731,731,"29025Huaquilpan",0,0
0,730,742,730,730,"29026Zitlaltepec",0,0
0,760,770,760,760,"29027Tocatlan",0,0
0,730,748,730,730,"29030Tlaxcala",0,0
0,730,742,731,730,"29032Tlaxco",0,0
0,791,792,791,791,"29034Zoquiapan",0,0
0,731,742,732,730,"29040Ixtacuixtla",0,0
0,737,748,739,739,"29041tepetitla",0,0
0,730,1095,730,731,"29047espanita",0,0
0,730,736,730,730,"29050teolocholco",0,0
0,732,746,733,732,"29051Toluca",0,0
0,731,760,732,731,"29052Rosario",0,0
0,730,744,730,730,"29151Altzayanca",0,0
0,730,738,730,731,"29161Acxotla",0,0
0,731,741,731,731,"29162BenitoJ",0,0
0,418,449,423,420,"29169Zacatelco",0,0
0,731,1095,731,731,"30486Lomadge",0,0
