,estacion,pct_missing,codigo,longitud,latitud
1,17060Alponocan17,66.66666667,1,-98.69,18.931
2,21005Acatzingo,41.73515982,2,-97.806,18.994
3,21007Ahuatepec,12.87671233,3,-97.92,18.869
4,21009Alcomunga,13.42465753,4,-97.025,18.431
5,21012Atlixco,12.87671233,5,-98.454,18.922
6,21016Baldiablo,12.87671233,6,-98.132,18.898
7,21023Chapulco,38.90410959,7,-97.411,18.62
8,21024Chietla,12.87671233,8,-98.582,18.527
9,21026CDSerdan,12.87671233,9,-97.442,18.984
10,21029Temextla,19.543379,10,-97.681,19.622
11,21031CuestaBlanca,41.73515982,11,-97.463,18.859
12,21034Echeverria,12.87671233,12,-98.275,18.956
13,21035Puebla,12.87671233,13,-98.193,19.013
14,21038Progreso,18.35616438,14,-97.289,19.385
15,21040GuadalupeB,24.01826484,15,-97.356,19.37
16,21045Huehuetlan,43.28767123,16,-98.169,18.749
17,21046Huejotzingo,12.87671233,17,-98.406,19.162
18,21047Ixtacamaxtitlan,12.87671233,18,-97.814,19.623
19,210521Alchichica,12.87671233,19,-97.394,19.412
20,21053SanBernardinoL,12.87671233,20,-97.273,18.604
21,21060PalmarB,55.43378995,21,-97.547,18.837
22,21065Puebla2,12.87671233,22,-98.167,19.05
23,21067Quimixtlan,12.87671233,23,-97.148,19.264
24,21072Texmelucan,41.73515982,24,-97.451,19.02
25,21073IsidroCanoas,41.73515982,25,-97.352,18.983
26,21077Atexcac,25.11415525,26,-97.456,19.346
27,21078texmelucan,12.87671233,27,-98.434,19.299
28,21079Temamantla,41.73515982,28,-97.511,18.928
29,21080salvadorseco,12.87671233,29,-97.663,19.134
30,21081Coyotepec,41.82648402,30,-97.567,19.023
31,21082Tecamachalco,12.87671233,31,-97.728,18.898
32,21083Tehucan,16.43835616,32,-97.393,18.464
33,21084Telpatlan,44.74885845,33,-97.145,18.528
34,21087Tepexi,40.2739726,34,-97.93,18.596
35,21096Tlahuapan,12.87671233,35,-98.581,19.346
36,21100VistaHermosa,41.73515982,36,-97.733,19.13
37,21102Xochitlan,55.70776256,37,-97.785,18.721
38,21117GuadalupeV,12.96803653,38,-97.342,19.291
39,21119Libres,12.87671233,39,-97.758,19.5
40,21123Huaquechula,12.87671233,40,-98.541,18.779
41,21129FcoMadero,19.543379,41,-97.501,19.615
42,21132Izucar,12.87671233,42,-98.468,18.612
43,21136Acajete,12.87671233,43,-97.956,19.113
44,21148Canoa,12.87671233,44,-98.078,19.132
45,21154SCreyesincompleto,61.09589041,45,-97.435,18.881
46,21165Ahuatempan,40.2739726,46,-98.017,18.415
47,21167Calpan,41.73515982,47,-98.464,19.106
48,21177Tepexco,40.456621,48,-98.691,18.643
49,21192Huilango,55.70776256,49,-98.595,18.858
50,21193SanPedro,40.456621,50,-98.551,18.922
51,21197Tochimilco,40.456621,51,-98.612,18.847
52,21203Molcaxac,14.70319635,52,-97.911,18.738
53,21205Tehuitzingo(Tejalpa),40.3652968,53,-98.363,18.376
54,21221Atenco,39.7260274,54,-97.541,19.085
55,21223Xalitzintla,44.47488584,55,-98.532,19.09
56,21230Coatzingo,12.87671233,56,-98.171,18.604
57,21231Teopantlan,40.3652968,57,-98.263,18.713
58,21235Huilotepec,13.33333333,58,-98.38,18.884
59,21242Capulac,12.87671233,59,-98.059,19.093
60,21243Cemex,12.87671233,60,-97.958,18.969
61,21244Tepeyahualco,12.87671233,61,-97.494,19.49
62,21247Cholula,12.87671233,62,-98.318,19.069
63,21249Africam,12.87671233,63,-98.135,18.939
64,29002apizaco,66.69708029,64,-98.14,19.416
65,29003Atlanga,66.66666667,65,-98.203,19.556
66,29004Cuamantzingo,72.23744292,66,-98.269,19.52
67,29005Cuapixtla,67.21461187,67,-97.77,19.299
68,29007Elcarmen,66.66666667,68,-97.647,19.318
69,29010hueyotlipan,72.23744292,69,-98.345,19.472
70,29011Huamantla,69.7716895,70,-97.911,19.316
71,29016nanacamilpa,72.32876712,71,-98.535,19.493
72,29025Huaquilpan,66.66666667,72,-98.632,19.597
73,29026Zitlaltepec,66.66666667,73,-97.908,19.2
74,29027Tocatlan,69.40639269,74,-98.021,19.389
75,29030Tlaxcala,66.66666667,75,-98.247,19.324
76,29032Tlaxco,66.66666667,76,-98.126,19.593
77,29034Zoquiapan,72.23744292,77,-98.478,19.585
78,29040Ixtacuixtla,66.75799087,78,-98.366,19.327
79,29041tepetitla,67.30593607,79,-98.371,19.261
80,29047espanita,66.66666667,80,-98.422,19.458
81,29050teolocholco,66.66666667,81,-98.191,19.243
82,29051Toluca,66.78832117,82,-97.958,19.465
83,29052Rosario,66.69708029,83,-98.229,19.655
84,29151Altzayanca,66.66666667,84,-97.799,19.428
85,29161Acxotla,66.66666667,85,-98.159,19.238
86,29162BenitoJ,66.75799087,86,-98.428,19.587
87,29169Zacatelco,38.17351598,87,-98.243,19.219
88,30486Lomadge,66.75799087,88,-97.233,18.929
